,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,78233161.92130072,81865461.31447615,79993892.26359834
1,1961-01-01,78368003.05634724,82242637.84131166,80316470.45059755
2,1962-01-01,78416380.02344526,82200593.48333068,80374655.22979254
3,1963-01-01,78152249.24922213,82265307.01865654,80225279.76994757
4,1964-01-01,77882452.11105184,81696696.10483858,79868358.54543257
5,1965-01-01,78313344.3648088,82140424.91380933,80190868.54798
6,1966-01-01,78206778.8068821,82110819.22441663,80248985.32901959
7,1967-01-01,78221362.7279341,82108470.3555814,80099283.77652241
8,1968-01-01,77807661.02085456,81716586.26205009,79742036.45935471
9,1969-01-01,78014029.74659523,81910709.55472709,79990245.41710868
10,1970-01-01,77981706.60237715,81922445.00670621,79973660.54381973
11,1971-01-01,77969983.21829143,81665127.20174491,79749515.43231577
12,1972-01-01,77275335.74338135,81218726.85363969,79317453.96402492
13,1973-01-01,77584632.7602563,81465505.17928745,79564686.04273988
14,1974-01-01,77553197.28130236,81522835.41899633,79547705.75309797
15,1975-01-01,77368493.43397757,81231924.79769953,79323165.22524105
16,1976-01-01,76824871.01271398,80714440.73073879,78891078.9318375
17,1977-01-01,77105770.9064426,81084747.07115875,79138286.11742568
18,1978-01-01,77284269.08731943,80905798.30995896,79121305.82747763
19,1979-01-01,77055824.7437421,80953061.7666261,78896765.2993146
20,1980-01-01,76471847.00580111,80427927.60800777,78464679.00604413
21,1981-01-01,76906832.17599009,80503059.90192206,78711886.1917664
22,1982-01-01,76737468.6052064,80563325.3019988,78694905.90030473
23,1983-01-01,76522046.52007797,80444495.09479512,78470365.370628
24,1984-01-01,76068660.28036135,79860163.00031132,78038279.07591744
25,1985-01-01,76206891.4136152,80156170.53986229,78285433.58417563
26,1986-01-01,76408655.38695431,80099375.50864333,78268400.76025327
27,1987-01-01,76145310.41225217,80061778.49822624,78037071.5413661
28,1988-01-01,75817206.75942987,79491997.86303723,77598196.5578073
29,1989-01-01,75853649.05538996,79712431.43369757,77837314.11837946
30,1990-01-01,75835174.84772827,79639200.84820747,77812266.30564593
31,1991-01-01,75595370.65585351,79489887.15538302,77579495.2246587
32,1992-01-01,75180500.4282875,79221042.53531969,77139178.3790012
33,1993-01-01,75423808.35075477,79257861.62118773,77378092.63140467
34,1994-01-01,75409343.30011845,79273721.66017951,77352842.06598698
35,1995-01-01,75271881.10209419,79022641.84046832,77120031.26238583
36,1996-01-01,74784934.0157287,78632406.78199299,76679674.69411364
37,1997-01-01,74913980.13327853,78907200.49393713,76918588.94603989
38,1998-01-01,74849035.40969858,78810374.66554506,76893338.38014553
39,1999-01-01,74607342.68077926,78473092.67171244,76660527.5753405
40,2000-01-01,74260821.0339559,78183069.25124098,76220171.00667843
41,2001-01-01,74628928.45210142,78500394.39560923,76459085.25872281
42,2002-01-01,74372477.46537974,78384761.36346945,76433848.77942644
43,2003-01-01,74377195.09012677,77985851.51338896,76201052.0619141
44,2004-01-01,73795544.0637706,77709103.7103836,75761082.3114869
45,2005-01-01,74088774.00166865,77927950.56349325,76000384.44153798
46,2006-01-01,74040207.26918906,78131156.49832577,75975900.93134281
47,2007-01-01,73908052.80992568,77660185.830491,75743857.18293506
48,2008-01-01,73376202.36935592,77310370.55426227,75304792.90035692
49,2009-01-01,73626677.54923055,77454034.97932859,75545002.97899413
50,2010-01-01,73732463.87687467,77449961.39972682,75521044.69930235
51,2011-01-01,73321228.42025395,77136088.17658232,75289526.18139453
52,2012-01-01,72916567.12876251,76750399.36412233,74850461.8988174
53,2013-01-01,73214340.66711004,77318533.03868568,75090671.97745387
54,2014-01-01,73055108.9769388,77101910.53729816,75066713.69776294
55,2015-01-01,73050181.1293562,76813778.88485096,74835195.17985518
56,2016-01-01,72350302.34647973,76316721.48553817,74396130.89727762
57,2017-01-01,72529838.21444114,76546291.60111374,74636340.97591488
58,2018-01-01,72722734.56280106,76514941.73204619,74612382.6962231
59,2019-01-01,72443160.69920497,76330936.08780281,74380864.17831607
60,2020-01-01,72081329.88107172,75726197.32045679,73941799.89573869
61,2021-01-01,72313592.64713304,76095327.55706252,74182009.97437647
62,2022-01-01,72145013.29503746,76018709.00492072,74158051.69468352
63,2023-01-01,71930139.6564246,75880143.87708127,73926533.1767762
64,2024-01-01,71632295.48070787,75414885.60260257,73487468.89419813
65,2025-01-01,71834081.17855488,75714591.66583979,73727678.97283438
66,2026-01-01,71706595.83406048,75644105.49292734,73703720.69314414
67,2027-01-01,71484037.87160033,75408210.7347731,73472202.17523661
68,2028-01-01,71123583.07861027,74910813.09589013,73033137.89265986
69,2029-01-01,71344705.24956499,75113003.32221395,73273347.97129722
70,2030-01-01,71398331.15293717,75198209.70031968,73249389.69160411
