,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,6526059.85310787,6958459.941406413,6742559.151797797
1,1961-01-01,6543880.681842769,6986846.397668039,6761651.3350167675
2,1962-01-01,6527611.222692995,6952143.519921122,6754865.028814793
3,1963-01-01,6527850.602599279,6950005.085387804,6738068.888959904
4,1964-01-01,6511861.098992817,6924846.191247751,6711252.277504413
5,1965-01-01,6507492.8693095,6953545.966202517,6730344.459433308
6,1966-01-01,6507575.226639479,6933892.190638578,6723558.151944794
7,1967-01-01,6476366.4221780645,6913387.2077824455,6706762.009778866
8,1968-01-01,6466656.016104422,6897087.917520792,6679945.396012323
9,1969-01-01,6483681.726066392,6914010.794760155,6699031.082587804
10,1970-01-01,6469007.924716784,6906158.237705675,6692238.290216397
11,1971-01-01,6461858.1489151465,6894463.271147765,6675435.665167227
12,1972-01-01,6431998.700453704,6863414.723611284,6648612.567229404
13,1973-01-01,6439604.197703006,6888473.761812275,6667698.245217024
14,1974-01-01,6444112.934053012,6878612.48747279,6660905.450948583
15,1975-01-01,6431757.645832236,6859434.708731379,6644102.824002376
16,1976-01-01,6396320.866398599,6840720.472876124,6617279.726027869
17,1977-01-01,6424113.2034237655,6835243.697587397,6636365.403978697
18,1978-01-01,6416785.938740257,6850170.963555133,6629575.224556093
19,1979-01-01,6406537.700054061,6842830.232299536,6612775.212455711
20,1980-01-01,6367430.1034124885,6809486.274445911,6586055.624128402
21,1981-01-01,6386804.743925301,6830793.121349873,6605245.095314537
22,1982-01-01,6415423.3597505335,6849659.345152334,6620543.179395857
23,1983-01-01,6412931.427083902,6854284.600433194,6625831.430799425
24,1984-01-01,6402844.16089916,6844186.034202217,6621146.007618912
25,1985-01-01,6456154.530653495,6885115.826853261,6662494.122198841
26,1986-01-01,6448054.046063562,6894288.26948443,6677902.938802153
27,1987-01-01,6464485.195488492,6901762.512645194,6683351.715899194
28,1988-01-01,6469268.133839344,6898232.019895134,6678780.021395523
29,1989-01-01,6499090.026930683,6929871.387137664,6720202.201706874
30,1990-01-01,6513300.525150766,6956774.935856662,6735684.88167629
31,1991-01-01,6533885.760695698,6947922.150733595,6741224.832332775
32,1992-01-01,6516956.2817434305,6947816.470789714,6736744.311388673
33,1993-01-01,6567296.055041361,6993357.963633783,6778347.806969429
34,1994-01-01,6585680.003763347,7027024.284524634,6794011.306811185
35,1995-01-01,6578020.966214726,7012134.669788202,6799697.710671997
36,1996-01-01,6571476.165608917,7014817.328900188,6795363.642932271
37,1997-01-01,6624820.818840817,7053280.608240666,6836999.971206992
38,1998-01-01,6649887.404811283,7063363.811621775,6852696.214035934
39,1999-01-01,6651393.4113298245,7077238.268669072,6858382.623952782
40,2000-01-01,6637008.50096383,7073751.304278661,6854048.563400704
41,2001-01-01,6668829.008397452,7106849.56634954,6895684.892575255
42,2002-01-01,6712397.183544633,7133946.251735077,6911381.136820124
43,2003-01-01,6697900.241398374,7135662.8594706245,6917067.548387125
44,2004-01-01,6688559.900184533,7131453.550654118,6912733.488774379
45,2005-01-01,6733235.876191951,7186049.102713366,6954369.818890635
46,2006-01-01,6762327.074817651,7183989.501740287,6970066.076317135
47,2007-01-01,6768189.53027115,7187453.987054645,6975752.501066128
48,2008-01-01,6858074.5265375385,7288324.7340812255,7075542.9527408
49,2009-01-01,7009785.110941972,7440308.746889627,7221589.066778275
50,2010-01-01,7141041.282747146,7559136.875047535,7341409.822731385
51,2011-01-01,7222029.974913578,7677245.03962744,7451220.746006622
52,2012-01-01,7341365.3834598595,7757405.139683465,7551011.197681401
53,2013-01-01,7477107.723856196,7923183.171002235,7697057.311718845
54,2014-01-01,7605417.396579387,8037788.789768591,7816878.067672048
55,2015-01-01,7708657.304689968,8134475.334915014,7926688.990947314
56,2016-01-01,7814615.090661323,8253776.159058481,8026479.442621982
57,2017-01-01,7959307.766211652,8384318.2100976985,8172525.556659549
58,2018-01-01,8081940.454662396,8504041.709359178,8292346.312612658
59,2019-01-01,8190270.525066212,8624146.984791446,8402157.235888096
60,2020-01-01,8273918.575465344,8727483.975541627,8501947.687562643
61,2021-01-01,8423441.125547219,8870644.809864242,8647993.801600285
62,2022-01-01,8539081.97003286,8988600.40956682,8767814.557553302
63,2023-01-01,8649244.306852916,9087631.502784336,8877625.480828598
64,2024-01-01,8747203.970869694,9197312.89871795,8977415.932503365
65,2025-01-01,8902067.214381423,9364395.753629433,9123462.046540698
66,2026-01-01,9020203.647774724,9458106.877517384,9243282.802493973
67,2027-01-01,9128015.853124483,9581968.667256499,9353093.72576936
68,2028-01-01,9216455.671647092,9671038.236266518,9452884.177443977
69,2029-01-01,9364466.30755043,9828239.20654661,9598930.291481558
70,2030-01-01,9489075.0141343,9963256.323293338,9718751.047434563
