,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,812321145.072551,852137161.7012215,831219599.4230609
1,1961-01-01,814371890.5044863,852874965.0244769,834243729.5384336
2,1962-01-01,816315367.1397945,852815003.0661372,834334587.2973554
3,1963-01-01,812471367.1910905,851915767.4428943,832205661.0857193
4,1964-01-01,809049965.572411,846376052.0141227,827856955.7444166
5,1965-01-01,812184731.2331753,849769625.2691612,830878866.3512595
6,1966-01-01,812596346.2535273,849962359.9490731,830967510.6658826
7,1967-01-01,810459621.7424494,847865880.539432,828835144.3515729
8,1968-01-01,805562121.5357333,844309505.5350947,824482998.9075923
9,1969-01-01,808727120.5573542,845105499.2399371,827499233.8728008
10,1970-01-01,807327617.9816202,846909942.6512041,827575654.9742305
11,1971-01-01,804937785.0477566,843968211.9872662,825432292.4848515
12,1972-01-01,801975879.4570501,840042268.790989,821066283.8906666
13,1973-01-01,805867245.8151865,844701292.2557046,824073062.9661989
14,1974-01-01,805525545.1063104,843990958.3267633,824146617.1986163
15,1975-01-01,804515499.7805269,841538810.6620826,822000387.8402249
16,1976-01-01,798308665.8321134,836930420.8020114,817634379.6498363
17,1977-01-01,800867209.5254326,839681560.5860373,820641159.130271
18,1978-01-01,801072115.2478935,839796900.6844254,820715895.1388958
19,1979-01-01,800609917.6572757,837563784.6090677,818570847.5567114
20,1980-01-01,795551096.5024589,832524868.0096965,814676883.6877844
21,1981-01-01,799096479.1770233,838061433.0347173,818157000.7617998
22,1982-01-01,800379486.3812902,838011926.1809802,818711307.1430291
23,1983-01-01,797702726.6133633,836885756.1175972,817045829.9334488
24,1984-01-01,793482745.4250317,831803298.3422084,813160573.7696915
25,1985-01-01,797157240.5748284,837069669.2081558,816649422.2157351
26,1986-01-01,797724402.945674,836612732.961291,817203728.5830982
27,1987-01-01,796358574.6954383,834964648.6548328,815538251.5867709
28,1988-01-01,791171789.2150574,830233877.2149174,811652995.4607599
29,1989-01-01,795479031.7675405,834861287.2206688,815141844.1128372
30,1990-01-01,795331274.0903783,834661693.2930827,815696150.6856863
31,1991-01-01,794353727.4548749,832574489.0366942,814030673.9423679
32,1992-01-01,791302744.045692,830895879.2974637,810145418.0693808
33,1993-01-01,793319281.9329569,831277401.1806422,813639818.8732103
34,1994-01-01,795625282.722905,834022941.3391865,814199662.427974
35,1995-01-01,793399043.8854778,832086097.4891092,812547627.4216316
36,1996-01-01,789039965.379859,826427342.4960586,808675813.2856134
37,1997-01-01,792962149.4899694,830882259.695462,812181391.8959385
38,1998-01-01,793774379.7930018,831145340.2940784,812752382.7167356
39,1999-01-01,791559441.1104717,829809542.3179045,811111469.8581747
40,2000-01-01,787333802.6131163,825694556.8291261,807260882.5812061
41,2001-01-01,792409584.7755711,829107914.1197773,810784495.0871842
42,2002-01-01,793640862.5912586,831803892.749206,811380612.8266708
43,2003-01-01,790790246.5484368,828981078.1518878,809756946.9753371
44,2004-01-01,788243174.9294887,826297568.8665633,807266084.7967308
45,2005-01-01,793083809.8966604,831871094.990908,812153147.6752692
46,2006-01-01,796181998.9556268,832730030.0305189,814112791.8799648
47,2007-01-01,795293694.154846,833181032.1246532,813852652.493879
48,2008-01-01,792429482.8542552,832795028.7805449,811376271.7657126
49,2009-01-01,797717101.3917124,834895635.8116136,816277855.7699314
50,2010-01-01,799122122.8701786,839022095.049346,818241037.7622538
51,2011-01-01,798212611.0476494,837898831.2091306,817984436.1637558
52,2012-01-01,798244325.5068849,835373357.7783695,815508055.4356008
53,2013-01-01,801026623.3215597,839395088.8758441,820409639.439812
54,2014-01-01,803984525.6063381,842650299.8643909,822372821.4321444
55,2015-01-01,802426473.309494,841760999.9527798,822116219.8336469
56,2016-01-01,800512480.6697336,839142284.5180348,819639839.105486
57,2017-01-01,805661280.9686888,844407336.354049,824541423.1097064
58,2018-01-01,808663451.866849,847392808.9452817,826504605.1020291
59,2019-01-01,805657354.7781994,844976894.3470327,826248003.5035415
60,2020-01-01,803553217.9732919,842985093.3940097,823771622.7753813
61,2021-01-01,809498810.2023181,850131474.1470069,828673206.7796078
62,2022-01-01,812276577.5385541,848967430.913688,830636388.7719176
63,2023-01-01,811122574.9345268,848936113.9099447,830379787.1734251
64,2024-01-01,808032424.0224841,847700344.1872749,827903406.4452606
65,2025-01-01,814462573.2081332,852634849.119839,832804990.4494675
66,2026-01-01,816429423.6953791,853533989.7712444,834768172.4418081
67,2027-01-01,815930918.3132411,855545976.132254,834511570.8433145
68,2028-01-01,812963072.880389,852320173.2150475,832035190.1151613
69,2029-01-01,817208189.7193104,855726716.9020519,836936774.1193831
70,2030-01-01,821929266.0488515,858742033.0138429,838899956.1116906
