,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,16375.022409514535,17140.3700064988,16768.752397317217
1,1961-01-01,16454.673532979057,17232.466457294086,16837.36806378734
2,1962-01-01,16462.190535471007,17215.558878348118,16845.72202910528
3,1963-01-01,16409.46459969629,17202.450346373753,16810.918621917997
4,1964-01-01,16320.898782703734,17128.86021400996,16732.957157658624
5,1965-01-01,16445.18880311512,17186.630368999737,16801.521063225893
6,1966-01-01,16410.11812836442,17175.194617218433,16809.82340906423
7,1967-01-01,16374.283599087437,17118.333442057425,16774.79743942622
8,1968-01-01,16272.945565063017,17067.051086295658,16696.61341271603
9,1969-01-01,16372.4892833208,17136.93227698745,16752.573382522158
10,1970-01-01,16347.962334954123,17157.082650942422,16748.123781932558
11,1971-01-01,16317.996479747077,17062.331830458374,16700.516809216377
12,1972-01-01,16235.669515084837,17010.469002981295,16609.671863177547
13,1973-01-01,16288.2781288518,17052.122616341258,16665.36875027824
14,1974-01-01,16279.513704752295,17033.21290997251,16660.839232324543
15,1975-01-01,16241.058245454851,17015.102892495583,16613.15234224424
16,1976-01-01,16133.749148166675,16861.93894538391,16522.30739558885
17,1977-01-01,16182.942036112401,16946.132062141547,16578.00428207129
18,1978-01-01,16189.622211980815,16955.83329509179,16573.538035208454
19,1979-01-01,16156.341698028004,16913.286683604438,16525.914416219013
20,1980-01-01,16056.707837182295,16845.656604226006,16450.638836488557
21,1981-01-01,16116.827466729395,16895.898774333,16521.94774569584
22,1982-01-01,16143.344954545213,16923.837452697007,16533.007541002888
23,1983-01-01,16100.540952234654,16871.265345496726,16500.90996418333
24,1984-01-01,16024.80204511115,16822.157712010216,16425.65433173418
25,1985-01-01,16145.14274403034,16894.877306253777,16496.98324392639
26,1986-01-01,16124.492621657084,16865.09871184937,16508.04304172649
27,1987-01-01,16094.304071086084,16865.26157197547,16475.9454669448
28,1988-01-01,16013.091435231201,16750.77330444291,16400.689835090685
29,1989-01-01,16068.996767443228,16845.138066102085,16472.018746755683
30,1990-01-01,16095.275268676427,16862.105903146898,16483.07854403029
31,1991-01-01,16056.621787140277,16814.937384461628,16450.980970857392
32,1992-01-01,15965.371261982727,16760.0321661095,16375.725340612355
33,1993-01-01,16064.432988899069,16827.568309155642,16447.126995500406
34,1994-01-01,16068.191115759688,16838.643763069635,16458.259337245603
35,1995-01-01,16023.968786975282,16783.666563127368,16426.443739413582
36,1996-01-01,15950.795585626798,16755.30548798355,16351.470084509298
37,1997-01-01,16049.727015790415,16814.987800917454,16423.110075135566
38,1998-01-01,16051.667467952195,16800.532483136427,16434.48010142832
39,1999-01-01,16012.440028980745,16783.774942159722,16403.09079445198
40,2000-01-01,15960.952959028213,16719.417634648682,16328.638300548542
41,2001-01-01,16008.9505883786,16785.89134933985,16400.77255061303
42,2002-01-01,16042.460931266898,16796.178535477393,16412.914937039983
43,2003-01-01,15998.57637292427,16769.89250192136,16381.899951340123
44,2004-01-01,15919.815880168911,16682.00146312599,16307.82597957606
45,2005-01-01,16028.975207838408,16752.07612233953,16380.339788826024
46,2006-01-01,16038.951565504316,16772.762006607023,16392.775731993486
47,2007-01-01,15991.724844647033,16734.566744981053,16362.054303034902
48,2008-01-01,15925.580633377143,16720.510635794064,16309.942526225243
49,2009-01-01,16007.552634653475,16762.63783193552,16404.4787008274
50,2010-01-01,16062.571861243561,16830.144148852636,16438.682353216696
51,2011-01-01,16027.244314197898,16823.383254077315,16429.728633479175
52,2012-01-01,15983.160426482522,16765.27294800023,16377.616856669745
53,2013-01-01,16065.535358162519,16873.76900175712,16472.15303127176
54,2014-01-01,16122.951312205152,16882.995665361934,16506.356683661255
55,2015-01-01,16110.094360194435,16874.39786999519,16497.40296392375
56,2016-01-01,16062.493951282664,16828.808955260414,16445.2911871142
57,2017-01-01,16163.581879401705,16913.96588656166,16539.827361716398
58,2018-01-01,16168.238168584945,16976.434511529464,16574.031014105698
59,2019-01-01,16194.353885916273,16964.655293555486,16565.077294368402
60,2020-01-01,16109.199102147128,16922.791598322434,16512.96551755885
61,2021-01-01,16222.442192353403,17000.380234404525,16607.501692161168
62,2022-01-01,16275.397675761697,17027.730493476476,16641.705344550217
63,2023-01-01,16261.396324253597,17022.87381535,16632.75162481281
64,2024-01-01,16221.683545866767,16987.966007114304,16580.639848003197
65,2025-01-01,16291.20194780428,17059.88132247877,16675.17602260512
66,2026-01-01,16312.50179539636,17084.53759911098,16709.379674994776
67,2027-01-01,16309.049260510938,17089.623514881772,16700.425955257357
68,2028-01-01,16246.727839790696,17055.80010308345,16648.31417844795
69,2029-01-01,16346.35601126093,17124.788344013035,16742.850353050173
70,2030-01-01,16366.710647570158,17151.161067128163,16777.054005439175
