,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,302722707.774209,316050286.58987355,309580856.449801
1,1961-01-01,304927847.0214644,317529323.9829833,311101333.3055198
2,1962-01-01,304841042.06408215,318326151.8253015,311469620.89696676
3,1963-01-01,304820867.05545944,317936348.615397,311045310.8790183
4,1964-01-01,303271149.7286741,316917954.7225796,309828328.7029929
5,1965-01-01,304439263.43790334,318596145.80345917,311348096.41676307
6,1966-01-01,304386606.779709,318433915.4230615,311715676.80380815
7,1967-01-01,303738149.8777204,318410045.92351097,310778450.5820888
8,1968-01-01,302323536.8815969,316188068.01497847,309048552.20229113
9,1969-01-01,303295370.7073869,316832338.09506065,310053362.1402028
10,1970-01-01,303466977.5334661,316977855.65078694,309906831.583113
11,1971-01-01,302594814.3655426,315710757.375116,308967703.41839623
12,1972-01-01,299671432.74883276,313683524.13450587,307233510.5740967
13,1973-01-01,301581044.971048,315225336.6624933,308235359.7442394
14,1974-01-01,300866525.9409793,315153990.3728926,308086436.66525596
15,1975-01-01,300528268.3321629,314549807.75878435,307144915.9786455
16,1976-01-01,298962765.86481756,312227693.2744265,305410723.1365139
17,1977-01-01,299638431.26145387,313473513.3792759,306412572.3088306
18,1978-01-01,298904174.4701209,313826752.83501077,306265318.64085287
19,1979-01-01,298284620.81739795,311976311.78891116,305325467.3652478
20,1980-01-01,297772156.2245409,311218494.1126364,303995446.16237557
21,1981-01-01,298338660.49631476,312123124.48804516,305402574.29351324
22,1982-01-01,298471670.171628,312649241.1733677,305658697.3965015
23,1983-01-01,298452723.252727,311755249.2673564,305122222.89186233
24,1984-01-01,297256038.88706744,310942324.2606815,303793175.39527845
25,1985-01-01,298139767.064095,312029870.9260433,305201279.904231
26,1986-01-01,298448902.7674301,312395622.5394448,305457502.17717683
27,1987-01-01,298505460.6277549,311663836.4578488,304921126.8399413
28,1988-01-01,296759840.7066616,310592105.47383636,303592079.34462255
29,1989-01-01,298802457.5793718,311878994.8826996,305000183.848799
30,1990-01-01,298950973.282294,312327262.8477022,305256406.1169871
31,1991-01-01,297811128.83096635,311641708.89623666,304720030.781771
32,1992-01-01,296526323.0204206,310037187.3960528,303390983.2884774
33,1993-01-01,297726183.8510928,312030591.4462358,304799730.95729995
34,1994-01-01,298513773.38422203,311656921.7505708,305056594.63284457
35,1995-01-01,297335669.9118005,311155869.94988185,304521892.2506048
36,1996-01-01,296726912.549991,309767222.3404739,303194517.7102856
37,1997-01-01,297557244.5537034,311089160.60426,304606555.3840017
38,1998-01-01,297554348.14922214,311931789.8276342,304866700.07535326
39,1999-01-01,297465888.7913061,311102153.9139222,304337058.4974579
40,2000-01-01,296231341.6337279,309741194.58922994,303016735.90705734
41,2001-01-01,297262464.46613777,311501663.91984725,304433589.22221696
42,2002-01-01,298052274.1355558,311398150.55097616,304701123.4594378
43,2003-01-01,297211219.49554324,311056056.60488874,304176060.08902705
44,2004-01-01,296635092.4198956,310172808.29075354,303592718.6205224
45,2005-01-01,299146857.7343016,313058559.8052257,305748572.18392336
46,2006-01-01,300004444.42847043,313782953.56604093,306754743.3019845
47,2007-01-01,300407981.71780586,313529989.7876878,306968316.81242937
48,2008-01-01,299725095.90522337,313235462.239583,306393157.0491076
49,2009-01-01,301327604.2164787,315802115.04086876,308557214.7333344
50,2010-01-01,302266153.8741549,317005741.8005111,309567324.73572165
51,2011-01-01,303089020.6818613,316813855.2807295,309784837.13047713
52,2012-01-01,302393236.3701579,316201995.2638767,309209677.3671599
53,2013-01-01,304769050.96441233,318704138.76233226,311373735.05138385
54,2014-01-01,305561010.3351788,319043927.11047125,312383845.0537751
55,2015-01-01,305823163.7107411,319426346.6491362,312601357.44853085
56,2016-01-01,304843559.65543485,319085208.1244306,312026197.68521106
57,2017-01-01,307243090.63876426,321458824.0135092,314190255.3694391
58,2018-01-01,307888224.8631089,321329821.72415394,315200365.37182623
59,2019-01-01,308824760.23263633,322284282.65516794,315417877.76658654
60,2020-01-01,307915584.6019079,321458100.8184305,314842718.0032661
61,2021-01-01,310214898.5984018,323659243.5651228,317006775.6874964
62,2022-01-01,310828716.64559394,325003820.80891097,318016885.6898788
63,2023-01-01,311687399.1444346,325183660.83489937,318234398.0846367
64,2024-01-01,310966618.62432545,324762976.91202354,317659238.32131636
65,2025-01-01,313182276.97147036,326852189.35160965,319823296.00553817
66,2026-01-01,313776284.6390533,327942618.67371947,320833406.00793236
67,2027-01-01,314427780.31719154,327926159.67600155,321050918.4026905
68,2028-01-01,313562410.6183636,327484252.98844427,320475758.63937265
69,2029-01-01,315627979.21562374,329690770.7174894,322639816.32360107
70,2030-01-01,317130367.8053345,330831521.7152234,323649926.3259828
