,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-263540601688.25635,64039283218.66507,-101353704899.22304
1,1961-01-01,-260145904319.91605,69800989250.38507,-85637338113.4176
2,1962-01-01,-224767123657.75888,102143272139.2296,-64520439136.413086
3,1963-01-01,-207358389893.95966,120885241971.44757,-41557187230.10672
4,1964-01-01,-180571317803.8368,130719482922.9465,-16749244359.303406
5,1965-01-01,-160434587254.318,157748268047.1907,-1032877504.200592
6,1966-01-01,-139605843734.76196,176060515515.9313,20084021541.9115
7,1967-01-01,-112592191596.69711,209225930386.07465,43047273519.741516
8,1968-01-01,-83707833009.30995,227754380770.93527,67855216462.07327
9,1969-01-01,-77023233891.39037,249836684162.9855,83571583444.90317
10,1970-01-01,-56591004667.14868,267061777947.07825,104688707128.017
11,1971-01-01,-33490199848.898903,281358468628.92426,127652183650.51675
12,1972-01-01,-6349936434.346352,311151857862.0641,152460372844.5044
13,1973-01-01,3690791725.849345,328915085979.5808,168176986718.51245
14,1974-01-01,34192224454.845657,352555271036.0027,189297267368.57233
15,1975-01-01,59079394069.96886,369538191492.7865,212263900858.01932
16,1976-01-01,72518911317.47125,398383653937.179,237078433852.4652
17,1977-01-01,94697744514.44867,415953202938.0062,252801408907.20715
18,1978-01-01,109682306844.94617,445229921737.3268,273927895034.82303
19,1979-01-01,134131597868.77519,457724001842.68494,296900734001.82684
20,1980-01-01,169193677534.05438,494442526499.74506,321732959041.9033
21,1981-01-01,180377944554.11337,507875084789.03253,337473674613.6283
22,1982-01-01,206871752120.43256,515683880955.6361,358627165962.3998
23,1983-01-01,221509437497.79968,538491153779.9377,381627010150.5604
24,1984-01-01,252499201179.95352,569295132700.7677,406489013480.5879
25,1985-01-01,262587137241.8217,579531732727.3467,422267995664.8331
26,1986-01-01,285283572792.7966,603412275772.2911,443447338959.96375
27,1987-01-01,302273962488.575,627758885776.5657,466492122935.66
28,1988-01-01,335396240212.6711,659411846101.2103,491381597875.8677
29,1989-01-01,352091407276.644,662493883605.9371,507180000183.9096
30,1990-01-01,359997733349.7184,683464412356.2874,528378710542.3812
31,1991-01-01,389378078756.5298,710708664412.7258,551433766989.9143
32,1992-01-01,428271169728.6179,732024228587.605,576333514401.9468
33,1993-01-01,438957039418.5632,751108428505.7166,592163394415.119
34,1994-01-01,448152675070.21344,771620618079.4546,613393496474.0798
35,1995-01-01,501453458793.2168,829509308564.7681,663904824230.3732
36,1996-01-01,538180546907.7537,872385044655.1975,716260842951.1779
37,1997-01-01,593386081271.3799,920474448825.746,759620837846.1003
38,1998-01-01,639669308180.9481,983027614611.6598,808305835893.7009
39,1999-01-01,690765494883.942,1017927277718.3956,858865796117.6329
40,2000-01-01,756575500489.6831,1088602603933.0542,911281277842.0887
41,2001-01-01,797087158364.7577,1113977388425.4397,954680820664.4131
42,2002-01-01,835513169606.6111,1172432865148.2783,1003416536837.7874
43,2003-01-01,888578733502.7233,1222909347059.0679,1053998605850.5537
44,2004-01-01,955477120177.7916,1265838772903.4385,1106425419531.2158
45,2005-01-01,997203366060.8685,1311246289955.5227,1149836325356.2617
46,2006-01-01,1029417057486.8291,1364603967260.5388,1198572095307.2905
47,2007-01-01,1095462863312.2726,1413876011706.5044,1249154218097.6904
48,2008-01-01,1137800930729.224,1456617668976.9753,1301581031946.1384
49,2009-01-01,1185655078297.1199,1508994835022.0266,1344991937939.3887
50,2010-01-01,1222184918770.5579,1552371414372.4949,1393727707983.9421
51,2011-01-01,1274146395427.8135,1600584316096.1855,1444309830867.8896
52,2012-01-01,1327890632650.0212,1667414745750.1953,1496736644716.3289
53,2013-01-01,1372727050813.6382,1712330825742.7568,1540147550709.5872
54,2014-01-01,1422215407015.6174,1747542067663.5044,1588883320754.1372
55,2015-01-01,1478369157631.5527,1798862409009.7537,1639465443638.082
56,2016-01-01,1534721812316.2205,1849688864681.7498,1691892257486.5203
57,2017-01-01,1566733333669.0864,1890226209411.9248,1735303163479.7754
58,2018-01-01,1624418505476.6252,1936294368692.2786,1784038933524.3289
59,2019-01-01,1662357819780.8972,2000109039209.2366,1834621056408.2769
60,2020-01-01,1716939408523.3108,2039598834659.2163,1887047870256.7046
61,2021-01-01,1764341812631.4983,2084226303614.1162,1930458776249.9602
62,2022-01-01,1826056480819.6807,2137400780188.2598,1979194546294.5227
63,2023-01-01,1877133192404.3752,2184849900290.0999,2029776669178.4636
64,2024-01-01,1926653234406.8022,2246294166245.8936,2082203483026.9158
65,2025-01-01,1968759991904.3477,2282493333436.0264,2125614389020.171
66,2026-01-01,2011220054174.7893,2333972417304.56,2174350159064.7148
67,2027-01-01,2071907505644.738,2389583313336.545,2224932281948.665
68,2028-01-01,2113113475397.9426,2435954630115.674,2277359095797.0884
69,2029-01-01,2159749775147.19,2501211685361.592,2320770001790.3467
70,2030-01-01,2199887180329.821,2541106669373.1904,2369505771834.905
