,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-5855401071132.961,639384306193.5155,-2749485454595.133
1,1961-01-01,-6406577272319.434,606217117087.4484,-2916138063795.8066
2,1962-01-01,-6129066695248.145,445252224879.8422,-2625209053029.969
3,1963-01-01,-5650951468823.328,1100395398920.1914,-2325688428210.63
4,1964-01-01,-5505153837516.83,1480256112746.1658,-2017717441653.165
5,1965-01-01,-5543402697841.285,1223300140337.7017,-2184370047489.716
6,1966-01-01,-5086529176589.203,1494118528805.473,-1893441033369.0203
7,1967-01-01,-5038289302334.871,1626513411147.5576,-1593920415517.171
8,1968-01-01,-4568327512630.276,2015185806123.6445,-1285949435927.1768
9,1969-01-01,-4911664768505.315,1993003334349.6523,-1452602049513.897
10,1970-01-01,-4470714268794.219,2071436229955.6628,-1161673040242.1443
11,1971-01-01,-4401056000831.58,2744395627957.839,-862152422587.6978
12,1972-01-01,-3799089289484.428,2860315569607.463,-554181443354.1611
13,1973-01-01,-4111835453239.825,2576414074315.8267,-720834054212.082
14,1974-01-01,-3749546726597.9097,3082020316075.148,-429905038825.68066
15,1975-01-01,-3612859179140.0273,3299952303153.044,-130384415056.35352
16,1976-01-01,-3390520886499.877,3558061636564.2744,177586573609.9878
17,1977-01-01,-3278707466529.542,3385035208597.9434,10933972210.769531
18,1978-01-01,-3036456290802.1445,3372034367664.782,301862996749.50684
19,1979-01-01,-2740643552327.201,4027782822525.837,601383629671.3481
20,1980-01-01,-2286085917025.9272,4414627742005.058,909372742120.2588
21,1981-01-01,-2597630524147.793,4306227414707.1006,742738314157.6494
22,1982-01-01,-2369005871240.4043,4350113588712.8945,1033738741689.5044
23,1983-01-01,-1927474184670.3345,4785577975888.596,1333330777604.2852
24,1984-01-01,-1541056203281.335,4922226429659.814,1641386190017.2056
25,1985-01-01,-1833970978664.2812,4907076363743.458,1474864521644.3022
26,1986-01-01,-1603449227946.617,5021664428365.744,1765924115475.6562
27,1987-01-01,-1318896564979.1235,5253829126700.633,2065732433693.8691
28,1988-01-01,-1102249839935.9502,5475262890547.072,2373991113650.378
29,1989-01-01,-1098748336314.871,5538793555310.819,2207685946829.209
30,1990-01-01,-1036226524302.6207,5829604654757.666,2498961450678.548
31,1991-01-01,-381344799804.7152,5920676696184.082,2798963645871.174
32,1992-01-01,-152047767087.29172,6490221936899.667,3107416202801.682
33,1993-01-01,-484243475357.0498,6301443564763.733,2941434466246.702
34,1994-01-01,-168155154390.3045,6758523607503.63,3233032516672.926
35,1995-01-01,61150206120.937096,6846634675682.237,3533433579668.545
36,1996-01-01,320893817664.84485,7365504454198.564,3842285004402.4644
37,1997-01-01,223680677520.96973,6972772179285.797,3676721545221.842
38,1998-01-01,565045711711.7135,7397901691956.067,3968736730188.095
39,1999-01-01,1010699643361.5582,7820622359106.975,4269511742794.889
40,2000-01-01,1217726874892.0583,7878951269348.223,4578874647330.652
41,2001-01-01,1052025649225.4811,7562281019400.33,4413617775266.769
42,2002-01-01,1564870343391.2183,8372943807557.568,4705987783238.328
43,2003-01-01,1761813660994.3184,8588711762848.736,5006949399592.611
44,2004-01-01,2053041974871.047,8734536858537.201,5316483167898.554
45,2005-01-01,1894836570576.1172,8582086818772.569,5151397627727.855
46,2006-01-01,1966985064432.3596,8656120426897.076,5443924396374.461
47,2007-01-01,2459796237874.0312,8844494878979.074,5745042773404.145
48,2008-01-01,2760805859518.367,9311763421529.473,6054655687866.831
49,2009-01-01,2527499350361.4175,9275847375522.094,5889649510690.176
50,2010-01-01,2735598098637.044,9520069846544.84,6182220455032.087
51,2011-01-01,3102412749101.592,9683458280980.943,6483383007756.939
52,2012-01-01,3326443564504.5776,10501438646016.244,6792995922219.375
53,2013-01-01,3322604447346.353,10252655079108.643,6627989745042.805
54,2014-01-01,3789204994122.879,10466302951570.111,6920560689385.082
55,2015-01-01,3803609798123.6807,10525274036364.473,7221723242109.504
56,2016-01-01,4156894287351.3096,10745357859462.717,7531336156571.98
57,2017-01-01,4045811327164.698,10652733091484.291,7366329979395.355
58,2018-01-01,4211083791181.0444,11020810035480.25,7658900923737.264
59,2019-01-01,4528125310496.049,11499923337087.256,7960063476462.178
60,2020-01-01,5079020753933.0625,11579852679507.344,8269676390924.343
61,2021-01-01,4770725383867.794,11481203332947.348,8104670213748.099
62,2022-01-01,5220186916409.324,11813369569567.748,8397241158089.977
63,2023-01-01,5478089944646.706,12197256665584.992,8698403710814.484
64,2024-01-01,5744759886287.95,12463995525379.23,9008016625277.258
65,2025-01-01,5724289459466.709,12029559495907.781,8843010448100.502
66,2026-01-01,5997200392347.189,12344379286646.916,9135581392442.645
67,2027-01-01,6197753688747.793,12691776989202.482,9436743945167.465
68,2028-01-01,6108990750904.815,12961906966127.303,9746356859629.398
69,2029-01-01,6387292741072.532,13052248837633.63,9581350682453.273
70,2030-01-01,6348529771101.902,13123464917747.803,9873921626794.443
