,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-415332924834.6745,14666969746.032331,-200379148450.1122
1,1961-01-01,-428331575912.20703,17288414799.624702,-206548197310.3375
2,1962-01-01,-403409624615.2647,37042541824.72059,-185057646671.97885
3,1963-01-01,-367794737017.54095,57331337293.1631,-162063339705.1887
4,1964-01-01,-364515067467.88525,77467352823.39291,-137574111056.74713
5,1965-01-01,-361430545146.22723,60519983181.51375,-143743159889.38123
6,1966-01-01,-344930798820.6381,95980749808.0889,-122252609223.51086
7,1967-01-01,-326992463860.5268,114511641203.20163,-99258302215.97992
8,1968-01-01,-309583400484.6639,139744350231.60464,-74769073526.79416
9,1969-01-01,-290967675494.53284,143494271899.12646,-80938122330.72687
10,1970-01-01,-281795151200.5155,158901305013.3511,-59447571606.64133
11,1971-01-01,-264778330226.98987,169063796846.5477,-36453264558.0849
12,1972-01-01,-230275200549.93378,200046849310.2545,-11964035834.573029
13,1973-01-01,-241098747315.80273,221220409390.71454,-18133084615.530334
14,1974-01-01,-212706121743.5428,209738024103.99814,3357466130.6209717
15,1975-01-01,-197810582272.4626,253704381925.05573,26351773201.256622
16,1976-01-01,-167766469190.4043,266111600500.87195,50841001981.01553
17,1977-01-01,-171913363401.80606,267397945046.9428,44671953256.4624
18,1978-01-01,-153959305717.0436,269914256015.5033,66163763375.2616
19,1979-01-01,-121078247132.43176,301374646261.1717,89159329818.55539
20,1980-01-01,-91014464216.23874,327541631608.86884,113649834888.09366
21,1981-01-01,-124267484207.58025,323881790331.05493,107482065949.99304
22,1982-01-01,-95261279244.97498,335119940721.8035,128979763045.00116
23,1983-01-01,-72140103764.85982,345011458799.44275,151981216464.4955
24,1984-01-01,-50928405176.23571,380032376284.37665,176481006328.67978
25,1985-01-01,-28415015414.70576,388190165898.97284,170333377181.41345
26,1986-01-01,-37194059491.462524,384699490844.3134,191845289008.9071
27,1987-01-01,-6252103248.510774,439266764305.7408,214863275872.57538
28,1988-01-01,32768952695.49077,443065080860.3108,239376184417.9112
29,1989-01-01,16660013791.99057,456111903235.8541,233239691402.07013
30,1990-01-01,48438411875.06947,480347176627.726,254762708934.42593
31,1991-01-01,66992732173.90233,492273907418.93463,277802990609.5972
32,1992-01-01,90649822141.76811,536836750130.4014,302338193966.4071
33,1993-01-01,70416578186.3447,507022245093.34357,296233595996.1677
34,1994-01-01,83647766257.92354,535448114062.5591,317788421429.1975
35,1995-01-01,128681369198.40698,552125352902.4847,340873597093.7213
36,1996-01-01,142630534446.79407,569835693374.5907,365453694439.9164
37,1997-01-01,141448970693.79272,587250860551.597,359396724509.95245
38,1998-01-01,154645449674.65372,585925629396.9808,380999047852.009
39,1999-01-01,181072662876.352,609745024854.1704,404119536829.43787
40,2000-01-01,203581139629.19907,643886210257.6549,428747115469.2664
41,2001-01-01,210174538148.32147,630893254051.0482,422716795645.3504
42,2002-01-01,230287474083.43558,667449528151.1471,444351005427.9033
43,2003-01-01,243650250141.10303,667362016326.2672,467488971534.9321
44,2004-01-01,270557776975.53925,719421662111.8417,492130426935.3808
45,2005-01-01,269773227957.851,715861364662.5908,486114021890.8085
46,2006-01-01,293196173272.7578,720962289271.9153,507756840907.06177
47,2007-01-01,324160823023.0417,738837787989.1832,530903416247.8021
48,2008-01-01,331425365904.5479,765137085099.9791,555544922193.0671
49,2009-01-01,350752022775.7133,763070941569.975,549528567831.6863
50,2010-01-01,357813794468.5641,786870974947.4498,571171395770.8254
51,2011-01-01,372316963591.38745,827048446698.6624,594317980034.4529
52,2012-01-01,410521929306.4055,837933814761.2913,618959485979.7004
53,2013-01-01,399094584665.7304,845429844197.5598,612943131618.329
54,2014-01-01,410946647970.4421,866083488744.0413,634585959557.4873
55,2015-01-01,428105496189.17004,851473165118.2764,657732543821.0905
56,2016-01-01,468889041681.1818,911536015534.8331,682374049766.3384
57,2017-01-01,472368582194.6156,879477766663.6443,676357695404.9634
58,2018-01-01,479291536820.5838,915885778309.1366,698000523344.1025
59,2019-01-01,509247497920.1214,943316221989.4463,721147107607.7365
60,2020-01-01,531224434618.21265,947312765762.2378,745788613552.9592
61,2021-01-01,525868684336.5432,942115369675.6884,739772259191.6063
62,2022-01-01,532243745904.37354,963946899047.5989,761415087130.7478
63,2023-01-01,565608759181.683,1004794629437.7299,784561671394.3542
64,2024-01-01,585700661527.3633,1035026405553.6846,809203177339.6277
65,2025-01-01,586664035466.7651,1003066497320.958,803186822978.2424
66,2026-01-01,616110683376.0101,1049980472304.6464,824829650917.3907
67,2027-01-01,639377968285.6116,1062017579613.8583,847976235181.0209
68,2028-01-01,663004516462.5356,1107147319273.7607,872617741126.2292
69,2029-01-01,641448782610.3324,1087170780863.324,866601386764.8828
70,2030-01-01,658352450864.6333,1101847311764.5654,888244214703.9839
