,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-200957822608.54968,30554159280.79929,-87409514067.93329
1,1961-01-01,-165769425829.44266,64770721984.44546,-56781543118.675354
2,1962-01-01,-169403967166.22687,53218803303.26514,-53289574807.86008
3,1963-01-01,-165389487873.96927,68489031141.94239,-46588615697.289734
4,1964-01-01,-152739458156.22675,76836504490.66339,-36669635654.5668
5,1965-01-01,-127491958934.65579,114965864089.94463,-6041664725.243103
6,1966-01-01,-123380861138.46994,104770760986.31876,-2549696434.304718
7,1967-01-01,-109632485636.93343,123618535625.21951,4151262660.3263855
8,1968-01-01,-92772766193.96461,130477526854.08003,14070242687.117493
9,1969-01-01,-69701060766.57613,171713248703.41394,44698213617.01367
10,1970-01-01,-68466898144.61696,162381598871.4856,48190181904.015015
11,1971-01-01,-62702535540.74828,174209714693.59894,54891140998.5921
12,1972-01-01,-51029144485.8577,184918464385.9285,64810352502.84155
13,1973-01-01,-18132705054.84137,206687633319.48657,95438555539.8905
14,1974-01-01,-19849848705.128845,213303899922.10272,98930798830.91388
15,1975-01-01,807700685.4605992,221853321149.27472,105632032929.49649
16,1976-01-01,-3855553694.9220357,230661040947.68176,115552358247.76144
17,1977-01-01,35748036609.18069,256115471531.04028,146181678150.36835
18,1978-01-01,41074474664.27191,274072336660.19913,149677661294.2216
19,1979-01-01,41633795663.75466,267102385782.57324,156382635245.62097
20,1980-01-01,59841080536.7746,277664918604.9511,166312030394.1134
21,1981-01-01,79755589945.44489,321980200312.7174,196950444975.79825
22,1982-01-01,85603588411.60396,314354589188.5902,200456330403.52625
23,1983-01-01,93775038826.06946,308271936139.99695,207171206638.8176
24,1984-01-01,100186774978.73264,339154099618.1337,217104966804.78067
25,1985-01-01,135217121835.44778,359211965060.73755,247757637466.4039
26,1986-01-01,132463218970.6045,369436700082.77374,251274238004.08606
27,1987-01-01,146946243024.39514,366159955718.5524,258010527153.5446
28,1988-01-01,151913900620.0213,379504713287.9729,267964837235.1721
29,1989-01-01,205728651197.82523,434171143548.63184,317996615037.7361
30,1990-01-01,229990489425.36963,452109244289.2259,340839374336.128
31,1991-01-01,247846682091.59766,487089516837.3852,366891150386.08704
32,1992-01-01,282644407620.9124,508802284446.964,396160947368.2211
33,1993-01-01,325104000475.5767,556738708064.5513,446195270398.59656
34,1994-01-01,359593666810.51715,581253819907.6132,469040567970.6723
35,1995-01-01,378187721726.5095,605242051748.2788,495097663937.18475
36,1996-01-01,397987235830.7527,628868703151.2722,524372780835.8627
37,1997-01-01,455128421415.22614,685320534659.9965,574409919151.9132
38,1998-01-01,483167260837.61554,722897740909.9971,597258024317.6403
39,1999-01-01,503665574719.41437,742368771904.5626,623315120299.3586
40,2000-01-01,537567324693.4663,771331571679.8508,652590237212.0981
41,2001-01-01,587035594088.2395,817854484028.6969,702627375535.5631
42,2002-01-01,604557778726.4705,835270017843.0233,725475480694.6187
43,2003-01-01,637797606053.5325,862726557549.9387,751532576661.2649
44,2004-01-01,667784843949.6503,892283524973.0226,780807693544.0386
45,2005-01-01,716786163973.0085,942261020818.6804,830844831837.3135
46,2006-01-01,731220763098.6534,974791175073.5305,853692936985.2856
47,2007-01-01,770901188900.0005,999053310376.6443,879750032940.7627
48,2008-01-01,793004663454.1241,1019565695343.4417,909025149829.8708
49,2009-01-01,842972742379.9703,1079508887827.371,959062288129.5444
50,2010-01-01,867543033977.4447,1094971931183.4712,981910393278.897
51,2011-01-01,900413830178.606,1120066827674.524,1007967489235.8243
52,2012-01-01,919258345985.19,1159404043475.357,1037242606124.9321
53,2013-01-01,969965590871.9448,1199593960145.7014,1087279744424.6152
54,2014-01-01,988344331275.2285,1219699705879.6082,1110127849573.9275
55,2015-01-01,1021914184099.6545,1245795400568.283,1136184945530.8857
56,2016-01-01,1046110896576.1431,1281184219905.1821,1165460062419.9924
57,2017-01-01,1101655265855.4082,1324525159550.088,1215497200719.669
58,2018-01-01,1123347559531.619,1352031163998.4358,1238345305869.0225
59,2019-01-01,1153806868433.773,1379390132565.5334,1264402401825.938
60,2020-01-01,1181488469461.5764,1405282264878.5173,1293677518715.058
61,2021-01-01,1224987598708.7651,1456594131862.3452,1343714657014.6985
62,2022-01-01,1248868032195.542,1481828653783.721,1366562762164.075
63,2023-01-01,1279002164399.0315,1512522633664.674,1392619858121.0178
64,2024-01-01,1304385222122.009,1541315348416.846,1421894975010.124
65,2025-01-01,1361727134178.0366,1587294740141.8994,1471932113309.82
66,2026-01-01,1372425709284.6953,1609852464669.5554,1494780218459.1277
67,2027-01-01,1404928969928.0205,1633030348261.507,1520837314416.0596
68,2028-01-01,1441414309644.2896,1663237611821.9114,1550112431305.1858
69,2029-01-01,1482227327867.42,1718160551446.1648,1600149569604.8235
70,2030-01-01,1502426621023.8123,1744170307507.016,1622997674754.2527
