,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-9033907902.553368,1118194739.1036487,-3786755518.630352
1,1961-01-01,-8787025988.447145,1065775738.734139,-3952462966.10565
2,1962-01-01,-8717965895.979675,2164925625.6909366,-3463447451.142193
3,1963-01-01,-7859811413.151025,1813285484.8303812,-2953624070.181034
4,1964-01-01,-7400459447.124451,2894618752.8637304,-2423195192.8407826
5,1965-01-01,-7458551628.343107,2090895854.5820482,-2588902639.4587955
6,1966-01-01,-7156459272.285005,2793847514.7057567,-2099887123.6405
7,1967-01-01,-6787905957.799123,3268472002.1571636,-1590063737.647128
8,1968-01-01,-5910185518.15929,3883620612.785468,-1059634855.27462
9,1969-01-01,-5936803467.731541,3756840972.9401712,-1225342300.4151368
10,1970-01-01,-5717006998.590447,4067015792.157492,-736326782.3791447
11,1971-01-01,-5566747035.207438,4978872717.442078,-226503396.6838951
12,1972-01-01,-4906226355.270814,5057353840.157771,303925489.8291006
13,1973-01-01,-4979641220.44974,5019708499.099961,138218049.88612843
14,1974-01-01,-4351597537.987706,5876520999.781397,627233638.4636478
15,1975-01-01,-4049091333.562172,6248469528.548566,1137057094.7007542
16,1976-01-01,-3302803977.7617316,6975939897.1070385,1667486049.7263536
17,1977-01-01,-3731685734.511675,6483286205.157997,1501778678.483758
18,1978-01-01,-3397397953.63984,7143362437.908964,1990794277.6607351
19,1979-01-01,-2532001603.7674747,7552124274.359724,2500617744.49755
20,1980-01-01,-1988360725.2238936,8056796822.965371,3031068733.096258
21,1981-01-01,-2303759227.840678,8126651789.402209,2865383455.7924814
22,1982-01-01,-1683589032.127881,8686143227.502098,3354421129.3901234
23,1983-01-01,-1641785327.2706656,9025532448.266577,3864266670.6473627
24,1984-01-01,-982596439.9468226,9003439435.918627,4394788693.256232
25,1985-01-01,-566393939.1837611,9337653854.325047,4229176353.6980286
26,1986-01-01,-306227131.74957037,9814675706.37793,4718286716.720339
27,1987-01-01,-1890036.2666715407,10128749552.214615,5228216937.31179
28,1988-01-01,537275367.8577764,10592549053.504736,5758752654.282638
29,1989-01-01,627582099.0796225,10699193234.528269,5593275663.220152
30,1990-01-01,1057521244.9563756,11224232709.453356,6082521004.934253
31,1991-01-01,1262659970.568765,11723768472.355623,6592804476.138089
32,1992-01-01,2073191673.2514076,12117537801.805166,7123693443.720699
33,1993-01-01,1676248436.0920646,11843612506.592062,6958755881.809761
34,1994-01-01,2539032539.201785,12368609321.727295,7448539178.825288
35,1995-01-01,2938112785.357851,12872772962.957443,7959486437.102174
36,1996-01-01,3323096908.3356276,13447324445.612995,8491039191.758468
37,1997-01-01,3317403790.06865,13616995649.334347,8326838393.8967705
38,1998-01-01,3733805335.260924,13926163254.4032,8817356441.945091
39,1999-01-01,4018259829.3308344,14434933914.28459,9329045711.76913
40,2000-01-01,4883080306.589591,15127697835.828384,9861677308.97068
41,2001-01-01,4483803421.959601,14461865509.06739,9698178614.536871
42,2002-01-01,4538148908.34666,15519268041.668318,10189629373.828094
43,2003-01-01,5707978689.287813,15431012495.671305,10701888000.77866
44,2004-01-01,6416262340.73185,16368921753.144203,11234805122.273777
45,2005-01-01,5795705894.980612,15847872769.005795,11071592734.396393
46,2006-01-01,6375749412.381132,16332864752.196987,11563204725.53865
47,2007-01-01,6963334796.757667,17141370558.97102,12075624584.340631
48,2008-01-01,7710967535.640924,17405293707.15928,12608657927.117592
49,2009-01-01,7557101196.638327,17361213300.64111,12445562078.934296
50,2010-01-01,8345967581.715875,18286608567.727318,12937182057.672916
51,2011-01-01,8870356593.09571,18595894208.985695,13449609904.071175
52,2012-01-01,9204189269.76824,19122035282.420452,13982643246.847761
53,2013-01-01,8768680526.873966,19032504575.84318,13819547398.66462
54,2014-01-01,9515492513.151033,19219803501.088337,14311167377.403732
55,2015-01-01,9724752155.520477,19682624933.828842,14823595223.801384
56,2016-01-01,10660895555.814348,20172805325.04556,15356628566.578018
57,2017-01-01,9974120241.407568,20245147315.751526,15193532718.394787
58,2018-01-01,10680994374.802238,20756542506.426445,15685152697.133411
59,2019-01-01,11087586819.961538,21398076732.34823,16197580543.531757
60,2020-01-01,11612659233.185265,21615906512.36352,16730613886.307907
61,2021-01-01,11290873073.814665,21091296758.313786,16567518038.125206
62,2022-01-01,12096775178.087439,21857412342.140415,17059138016.863827
63,2023-01-01,12097121582.497204,23149142034.473938,17571565863.261585
64,2024-01-01,13368691164.670643,23350755456.71999,18104599206.03869
65,2025-01-01,12522314762.776855,23108251722.74034,17941503357.85528
66,2026-01-01,13055358289.340004,23559733868.325962,18433123336.59417
67,2027-01-01,13897076027.649723,23721698916.10759,18945551182.99241
68,2028-01-01,14091418145.138737,24634106609.55061,19478584525.768215
69,2029-01-01,14093659246.7829,24303714577.794624,19315488677.585686
70,2030-01-01,14907813827.284204,25109404300.4192,19807108656.32331
