,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-17678844801.2603,10890878813.009546,-3818549076.6524982
1,1961-01-01,-17459047199.03691,12522417012.484528,-2577300127.7919993
2,1962-01-01,-17161238192.821236,14008594445.49038,-1554496087.4437795
3,1963-01-01,-15626422292.869299,14260007768.886497,-503637265.95652294
4,1964-01-01,-15147228244.562792,15345570442.987112,575378349.7553654
5,1965-01-01,-13835062933.429392,16670371459.238419,1816627306.909814
6,1966-01-01,-12780730769.381718,17240782878.9042,2839431355.5293417
7,1967-01-01,-12840346484.7316,19934472648.14524,3890290178.0589867
8,1968-01-01,-11121551518.323324,19881720938.21675,4969305794.813305
9,1969-01-01,-8681186589.53148,23197263826.825256,6210554745.925058
10,1970-01-01,-8045352643.982745,22574491954.8055,7233358793.578685
11,1971-01-01,-7323938011.462479,24220877155.406704,8284217617.9520445
12,1972-01-01,-6357123663.776712,25485798285.822906,9363233236.256218
13,1973-01-01,-3748330818.6650414,26756353121.258087,10604482192.147264
14,1974-01-01,-3253599392.7104135,26260141072.38492,11627290423.392786
15,1975-01-01,-2761535048.530616,28069874291.61129,12678153431.357914
16,1976-01-01,-1253687410.4070315,28472396004.74865,13757208446.043499
17,1977-01-01,-611681630.6102242,30730829928.794964,14998496906.251232
18,1978-01-01,1498986766.3621163,30898433349.01596,16021498709.683315
19,1979-01-01,863905419.2625802,31955031293.58155,17072555289.834888
20,1980-01-01,3497368707.8607855,35456436307.93162,18152106149.72818
21,1981-01-01,4636075422.428823,35851551891.30415,19393891813.62365
22,1982-01-01,5159815060.551069,36094039541.51331,20418870207.166397
23,1983-01-01,7747240058.893532,37086567022.47334,21471903377.428734
24,1984-01-01,6864188676.285858,37506836522.31002,22553203957.399734
25,1985-01-01,7961901351.100807,38868440852.09728,23798816585.17874
26,1986-01-01,9920737527.547192,40593601034.65673,24825972381.825924
27,1987-01-01,11049656381.36688,41434351886.71132,25882850233.167507
28,1988-01-01,12160078976.801765,43533995270.82441,26967884878.73391
29,1989-01-01,13744424695.759924,43867724205.15101,28218200702.327778
30,1990-01-01,13832356197.064804,45719391384.37494,29250046844.52745
31,1991-01-01,16266065402.756504,47508343417.67981,32372825107.713234
32,1992-01-01,19306711281.49888,51454487924.919716,35523760165.12379
33,1993-01-01,23732152648.482315,54451764587.004425,38845413298.54932
34,1994-01-01,26922842369.519993,57003140175.77292,41942937359.02419
35,1995-01-01,29897054688.707474,59880570492.017784,45070981611.053535
36,1996-01-01,32024505769.96778,63810943707.464005,48227182657.30742
37,1997-01-01,36378124153.03189,67645097092.22256,51552435307.15541
38,1998-01-01,39083400313.804924,70131040430.82571,54653549049.30847
39,1999-01-01,42608873850.21309,72873511886.41083,57784161564.97687
40,2000-01-01,45986320459.55206,77122758220.08723,60945183550.88012
41,2001-01-01,48016165828.516464,78943343735.4373,64274143001.40564
42,2002-01-01,56873952278.284485,86676710210.43756,72299712592.7484
43,2003-01-01,64660945693.53723,95798555711.07645,80353336960.81113
44,2004-01-01,72689296571.56268,102482171707.99823,88437002406.37337
45,2005-01-01,81181351803.56778,112517244584.45226,96702092010.96663
46,2006-01-01,89621893603.64218,119757491601.42148,104730912169.59344
47,2007-01-01,98759811415.63977,128625085558.21446,112787787104.93912
48,2008-01-01,104882834153.17293,136047983460.70462,120872818840.03569
49,2009-01-01,113867931346.58789,144647602973.72348,129139278477.42267
50,2010-01-01,120802741923.95276,152068068012.66522,137168098641.57454
51,2011-01-01,130572763298.59183,161359298580.85748,145224973582.44635
52,2012-01-01,138627922991.19614,168534918043.51318,153310005317.54272
53,2013-01-01,146163730660.40176,176835422025.13358,161576464954.92984
54,2014-01-01,153574214020.79993,184909366206.69937,169605285119.0813
55,2015-01-01,161882209752.15872,192630522013.8104,177662160059.95322
56,2016-01-01,169994073113.43073,201840686058.61044,185747191795.04977
57,2017-01-01,179398319122.0865,209118905991.62415,194013651432.43668
58,2018-01-01,187921525434.972,217185850474.52344,202042471596.58853
59,2019-01-01,194423131062.63333,224556266934.5188,210099346537.4599
60,2020-01-01,202593241086.3136,233137243820.0269,218184378272.5568
61,2021-01-01,210450522805.59866,241488942097.2395,226450837909.9432
62,2022-01-01,218972479282.62427,250141523636.07822,234479658074.09546
63,2023-01-01,227214522853.6384,257671829357.60532,242536533014.96722
64,2024-01-01,235900383069.3916,267273283086.4508,250621564750.0636
65,2025-01-01,244136099915.09818,274336103644.34174,258888024387.45093
66,2026-01-01,251344799236.4608,282514689706.0602,266916844551.60233
67,2027-01-01,258862729710.0942,291156136566.46436,274973719492.4739
68,2028-01-01,266534362381.07538,298604625736.88477,283058751227.57074
69,2029-01-01,274884256521.16345,307989146969.50806,291325210864.9572
70,2030-01-01,282876622440.253,315909266442.90515,299354031029.1099
