,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-728021391027.997,117682847625.36847,-289511497665.68274
1,1961-01-01,-714042544806.6863,180294997453.75647,-277626666844.7634
2,1962-01-01,-684202395516.1217,181015946426.50867,-248063085565.60376
3,1963-01-01,-638523784380.765,224575536276.43576,-213690310566.8233
4,1964-01-01,-639234658998.2676,259547911200.57428,-174514850019.53998
5,1965-01-01,-612976020687.1049,282013709196.9529,-162630019349.93604
6,1966-01-01,-587378886569.0415,325358715634.28064,-133066438221.68176
7,1967-01-01,-545605192187.3774,386853952492.7266,-98693663361.13971
8,1968-01-01,-500249905208.67065,388200054463.66174,-59518202952.08649
9,1969-01-01,-515441107736.10046,404618843349.65826,-47633371995.53375
10,1970-01-01,-482681271760.3315,453136512822.3116,-18069790321.887146
11,1971-01-01,-438848377124.6864,492524265056.5935,16302985051.382935
12,1972-01-01,-396673761310.82764,494535825001.8592,55478445971.151184
13,1973-01-01,-393825808429.6247,516827814563.09955,67363277185.628784
14,1974-01-01,-338120910998.48315,571337146084.0155,96926858712.69635
15,1975-01-01,-301816735652.03955,575072488799.7426,131299633939.39429
16,1976-01-01,-240278860257.81677,628779860280.3616,170475095041.43103
17,1977-01-01,-222459806598.19443,634644958029.5126,182359926438.67975
18,1978-01-01,-236794491735.60092,646857051584.6025,211923574823.80054
19,1979-01-01,-212154026291.58078,689226157336.186,246296416908.55554
20,1980-01-01,-135726411834.24419,736826345898.8601,285471944744.50574
21,1981-01-01,-144007925231.81314,737025136409.6438,297356843058.48413
22,1982-01-01,-140047377055.30856,760331267579.093,326920491865.6256
23,1983-01-01,-57419527802.81603,813426196652.2966,361293334372.40533
24,1984-01-01,-26733718941.181087,830348588865.7136,400472529645.5571
25,1985-01-01,-12703295911.05757,847860787221.2751,412370017836.50244
26,1986-01-01,-14138185868.555515,897377725290.5309,441946221902.72766
27,1987-01-01,34075975865.13024,946293123540.5824,476334146243.804
28,1988-01-01,80117948874.01076,958976380208.4028,515524756133.4151
29,1989-01-01,84745403005.48172,967309811101.6945,527427325356.38776
30,1990-01-01,114047955830.96484,987954651691.1733,557008596572.0237
31,1991-01-01,140697336160.6341,1021195059300.1991,591400412295.6938
32,1992-01-01,181371231710.88217,1095610478352.9996,630594913567.8672
33,1993-01-01,161601808706.09476,1084319271034.1401,642506074119.1998
34,1994-01-01,221494969303.6278,1116006945404.0103,672095913189.6675
35,1995-01-01,265503793194.0201,1132694969484.4358,706505884459.3787
36,1996-01-01,286328013365.3427,1192267587718.048,745718541277.6389
37,1997-01-01,289136939792.3387,1224739604573.051,757651712680.2611
38,1998-01-01,354040369655.7896,1219025043139.4792,787263502463.1075
39,1999-01-01,363885774191.0778,1263804808022.199,821690896202.1992
40,2000-01-01,387447766452.11945,1317197126964.9907,860922706405.9204
41,2001-01-01,391067946049.4395,1301164209095.3113,872864041285.8187
42,2002-01-01,455563137101.16925,1352602880403.6868,902485560231.1914
43,2003-01-01,510738244055.1063,1401191403743.5244,936916272876.2029
44,2004-01-01,523403032090.8627,1418914659665.6377,976149671444.9752
45,2005-01-01,532041125552.9125,1416249671290.737,988092599041.7882
46,2006-01-01,542420991270.4137,1424489184551.564,1017714118683.3032
47,2007-01-01,602472567679.9419,1484289903694.2761,1052144832024.4209
48,2008-01-01,648901787605.7711,1533804350312.0237,1091378231063.1414
49,2009-01-01,649608624989.8394,1520442556794.5789,1103321159131.0767
50,2010-01-01,712813384495.9376,1580065474449.5159,1132942678921.6465
51,2011-01-01,721910986629.4608,1627797588531.7712,1167373392411.8596
52,2012-01-01,777025203037.437,1636908972708.8962,1206606791450.56
53,2013-01-01,758183587637.4536,1661404635389.534,1218549719518.5176
54,2014-01-01,804681293719.917,1707629401401.0923,1248171239309.0845
55,2015-01-01,827221615062.198,1702629775689.1926,1282601952799.29
56,2016-01-01,882006038338.915,1768760959312.1536,1321835351837.9841
57,2017-01-01,857161376849.3661,1787084813642.5288,1333778279905.9363
58,2018-01-01,911787109410.5566,1776540224753.5518,1363399799696.5059
59,2019-01-01,959720887781.7252,1831908788205.579,1397830513186.7314
60,2020-01-01,974375570332.8296,1881125472647.6067,1437063912225.389
61,2021-01-01,1022062515056.3124,1908732765090.7773,1449006840293.3499
62,2022-01-01,1006190759267.675,1924776888980.8594,1478628360083.9382
63,2023-01-01,1075714064452.1543,1976987783895.4045,1513059073574.1362
64,2024-01-01,1129057242521.119,2003079605073.1248,1552292472612.8743
65,2025-01-01,1101816848255.5627,2028795857260.775,1564235400680.8154
66,2026-01-01,1145917681203.3237,2074130734753.8704,1593856920471.3682
67,2027-01-01,1195928169252.6118,2061478933620.458,1628287633961.5989
68,2028-01-01,1218429241901.7568,2115661271418.6406,1667521033000.2432
69,2029-01-01,1219929386923.1245,2107443643059.312,1679463961068.208
70,2030-01-01,1254610581191.7637,2162814030898.3284,1709085480858.7783
