,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-51136810861.28893,13749377121.812902,-19108774752.489105
1,1961-01-01,-52983933833.717834,10484613550.137402,-19881655224.359802
2,1962-01-01,-52715013328.12817,13435640748.505945,-16719710401.901726
3,1963-01-01,-44571863894.69299,18176144432.74558,-12443111679.478905
4,1964-01-01,-40395454222.735085,24353766357.170464,-7053498790.035446
5,1965-01-01,-42307434493.656006,26091879888.749855,-7826379257.832603
6,1966-01-01,-36334449893.552956,30101249547.182945,-4664434431.312515
7,1967-01-01,-33283864328.7629,31494092976.61496,-387835702.1731415
8,1968-01-01,-28552632073.2897,40947231680.08978,5001777193.989929
9,1969-01-01,-26540263786.665623,36523444528.46128,4228896737.6881866
10,1970-01-01,-24972778874.49121,39163412999.183784,7390841577.707703
11,1971-01-01,-21551762505.676178,44277456871.14832,11667440316.553207
12,1972-01-01,-15529350148.053198,50406734584.73983,17057053226.916626
13,1973-01-01,-16778841011.68214,48694687961.48146,16284172777.163956
14,1974-01-01,-14677946349.098377,52036062384.45848,19446138944.045517
15,1975-01-01,-7087609675.1746025,56016231583.30134,23722759009.754593
16,1976-01-01,-496350633.90347654,62747342034.36173,29113728981.076645
17,1977-01-01,-5332700837.749178,60568767104.252106,28342209310.257965
18,1978-01-01,-1320959791.141039,65877443761.88576,31505940016.85771
19,1979-01-01,2227222292.044829,69988310258.22601,35784324622.285736
20,1980-01-01,8785434853.594316,72484441302.85751,41177195885.83954
21,1981-01-01,7421272226.393216,72544860988.22604,40407582716.26909
22,1982-01-01,8448700549.931643,77569495951.39633,44824759202.80638
23,1983-01-01,19415636869.80263,83524768452.82562,50356589588.17308
24,1984-01-01,20802930428.668407,87791659961.74413,57005655569.451126
25,1985-01-01,24362393492.412617,92952546150.80956,57503593460.36519
26,1986-01-01,28850000744.46752,95524671118.86575,61932884464.293564
27,1987-01-01,31033402988.747128,99022145103.87656,67483463979.52673
28,1988-01-01,40909838218.58523,105011159695.49638,74147057661.7882
29,1989-01-01,43705108790.81058,110024361768.80478,77838810877.0544
30,1990-01-01,54036292651.716675,118340656412.98222,85453190933.95422
31,1991-01-01,62791550903.884766,127052689838.43176,94187837717.49603
32,1992-01-01,73484890115.99234,136928449381.05774,104035498668.05963
33,1993-01-01,73702051563.70573,139514113206.39868,107734704136.85886
34,1994-01-01,81570363268.03114,144437891637.6302,115356516085.95215
35,1995-01-01,92306637620.2049,155346329373.21735,124093188856.06705
36,1996-01-01,98615342075.32501,165652707101.53854,133942875793.2148
37,1997-01-01,102462654382.6965,168739182592.08133,137644492583.6435
38,1998-01-01,114957149561.08633,179723720374.081,145268709266.06372
39,1999-01-01,121597031222.51218,183906991276.0269,154013115733.57742
40,2000-01-01,132780228909.56548,194788917056.06592,163875657151.46567
41,2001-01-01,135498727728.11809,199007379929.8058,167587959807.85776
42,2002-01-01,149040779174.56448,214051538162.66183,182986197042.15692
43,2003-01-01,167471301211.36142,232336124410.10144,199499088175.28476
44,2004-01-01,184936549619.1843,249758932002.4616,217127281381.19452
45,2005-01-01,195857740977.78415,258020377305.58063,228626511583.9733
46,2006-01-01,213770182042.6145,277249673663.1849,244027281533.5514
47,2007-01-01,227634321069.5181,291338223144.1591,260542705381.95215
48,2008-01-01,244712704800.08685,309293990215.9799,278171143401.21515
49,2009-01-01,257289461176.64087,322237226571.0478,289670619088.0409
50,2010-01-01,270735015770.66144,337590368543.44,305071389041.451
51,2011-01-01,288340740897.32947,355084451697.86694,321586812893.6911
52,2012-01-01,306267868949.6854,372118261714.0708,339215250912.9497
53,2013-01-01,321080166061.5686,384124180551.5883,350714726599.78076
54,2014-01-01,332943613649.4059,396737718138.58923,366115496553.1912
55,2015-01-01,348790296892.4549,415659406877.3419,382630920405.4293
56,2016-01-01,365870975850.87415,433085811970.70294,400259358424.6857
57,2017-01-01,380243961294.73254,446097138422.0956,411758834111.5167
58,2018-01-01,395416507965.91895,460453441353.2086,427159604064.92676
59,2019-01-01,410536981397.55524,477820361788.75714,443675027917.1714
60,2020-01-01,429627621041.56036,495542791186.1241,461303465936.4176
61,2021-01-01,439678310264.8793,505253611757.9807,472802941623.251
62,2022-01-01,456921712992.129,523293111752.039,488203711576.6654
63,2023-01-01,471818656228.45483,537886996817.53345,504719135428.90204
64,2024-01-01,488344095647.68713,554263719611.6876,522347573448.17004
65,2025-01-01,501040467491.62006,567108752657.7367,533847049134.9962
66,2026-01-01,516114855576.83673,581076087290.2621,549247819088.40344
67,2027-01-01,534397888816.6731,598539733039.5212,565763242940.6489
68,2028-01-01,550587598400.4075,616397568117.8148,583391680959.8923
69,2029-01-01,560239144869.6334,627270016529.8202,594891156646.727
70,2030-01-01,574072327614.0955,643847034279.1158,610291926600.1367
