,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-93279287.77843224,149045194.22323552,26023577.14288114
1,1961-01-01,-70820101.94866927,158425672.24548155,45866363.59226369
2,1962-01-01,-80039509.0173757,159176195.65042377,37498788.20244357
3,1963-01-01,-83185980.31231597,153956799.83455622,31251871.129976496
4,1964-01-01,-87894738.23697445,147533786.7191353,27133528.132515848
5,1965-01-01,-71852679.925461,168374197.24243143,46976314.5817483
6,1966-01-01,-83279506.52005939,155620981.08491713,38608739.19178481
7,1967-01-01,-81053340.42542438,139588428.15793285,32361822.119309932
8,1968-01-01,-81191237.55207306,148600142.45715952,28243479.121846363
9,1969-01-01,-77686392.10850166,164376458.9032808,48086265.57091043
10,1970-01-01,-77219573.91266322,158881939.92782843,39718690.18115453
11,1971-01-01,-83507482.92639987,147826333.811579,33471773.10996577
12,1972-01-01,-86456334.45788841,140979357.1176355,29353430.114329368
13,1973-01-01,-61875025.08664911,161451290.98784938,49196216.56428882
14,1974-01-01,-75119857.34897456,160055595.00350007,40828641.175544076
15,1975-01-01,-81168718.85746364,150892339.49252608,34581724.105349556
16,1976-01-01,-84625215.75950985,148951470.87760332,30463381.109195128
17,1977-01-01,-63194057.305569276,176537459.2333208,50306167.55863187
18,1978-01-01,-78927831.27605902,161347385.13250914,41938592.16868181
19,1979-01-01,-88541062.98821507,148898766.10144395,35691675.09726955
20,1980-01-01,-94521923.90872228,146246433.76685727,31573332.10171865
21,1981-01-01,-66935638.336927645,167398297.8925054,51416118.55176358
22,1982-01-01,-79157191.27928683,153840787.48634017,43048543.16148358
23,1983-01-01,-78755800.73706926,159215077.10824043,36801626.08975811
24,1984-01-01,-86724817.4511379,139508913.26565668,32683283.092688024
25,1985-01-01,-59862483.90461054,172842384.4101238,52526069.54086578
26,1986-01-01,-71850016.05938591,154310855.46953937,44158494.1498935
27,1987-01-01,-82470929.4701753,160069095.80501354,37911577.076584205
28,1988-01-01,-85171834.00417642,150614529.7651848,33793234.07828598
29,1989-01-01,-67084133.81752986,155507275.99330425,53635730.798290916
30,1990-01-01,-70692025.01848376,167261869.9021211,45267866.47069824
31,1991-01-01,-72493242.32529293,170671087.29876631,39020659.196626976
32,1992-01-01,-81219090.63222593,143757197.7151221,34902025.99758473
33,1993-01-01,-47889636.56688257,186158615.3829431,54744521.44846272
34,1994-01-01,-67387057.65308231,164984567.18082327,46376655.855240606
35,1995-01-01,-81575704.88345435,165379167.6714596,40128486.63441527
36,1996-01-01,-83364046.4611203,148516060.01583713,36008891.48861158
37,1997-01-01,-60874085.22059795,179141865.02613854,55850422.35642614
38,1998-01-01,-72598423.44564828,162916604.28587437,47481594.81562902
39,1999-01-01,-68549357.80292207,166029734.37824497,41233425.59299329
40,2000-01-01,-77665453.41355458,154646369.88333598,37113830.4443609
41,2001-01-01,-64603776.11296605,181484839.53077352,56955361.31087209
42,2002-01-01,-58058656.78845798,175970262.98778078,48586533.767093234
43,2003-01-01,-75270091.92030208,162456801.3688933,42338364.54188551
44,2004-01-01,-76954026.62627408,154375302.82668352,38218769.391406104
45,2005-01-01,-60577182.117032014,173962962.15649864,58060300.255912475
46,2006-01-01,-74156322.67240375,160083988.97702768,49691472.71232297
47,2007-01-01,-78534725.40041193,153345049.70580098,43443303.487256646
48,2008-01-01,-77201963.99867812,150979010.06676528,39323708.33777593
49,2009-01-01,-61595417.95173532,175074650.65098062,59165239.203337975
50,2010-01-01,-65890672.297324724,165793639.91561395,50796411.66026434
51,2011-01-01,-73024154.44632554,153167918.2558963,44548242.43574734
52,2012-01-01,-78945096.37176813,155628985.08340475,40428647.28627561
53,2013-01-01,-68616891.79160792,173136039.5186197,60270178.15184352
54,2014-01-01,-68438408.64930618,178212723.05578142,51901350.60873959
55,2015-01-01,-68392887.5176561,159905215.3150183,45653181.38425408
56,2016-01-01,-72584248.9160358,166612433.74507964,41533586.23477389
57,2017-01-01,-58983515.09986867,180647261.97854978,61375117.10034435
58,2018-01-01,-67633840.48501088,174916559.1889043,53006289.55727162
59,2019-01-01,-72784706.85747223,170618345.54555994,46758120.33275843
60,2020-01-01,-84007088.77096488,164363426.24014392,42638525.18328209
61,2021-01-01,-57961387.37761452,179743510.6107598,62480056.04882633
62,2022-01-01,-63367227.98024476,177302878.13682073,54111228.505766355
63,2023-01-01,-72715300.20534293,160239565.26102847,47863059.28126907
64,2024-01-01,-73497282.3509137,158598925.46114925,43743464.13179162
65,2025-01-01,-59251933.30373349,176238040.5609693,63584994.99736509
66,2026-01-01,-66010566.85080189,166271524.79747334,55216167.4542633
67,2027-01-01,-73021742.23117484,167307768.23098987,48967998.22976099
68,2028-01-01,-83757855.47551958,163298610.12044477,44848403.08029653
69,2029-01-01,-59672495.793340616,183436757.73892298,64689933.94583343
70,2030-01-01,-61875976.776977725,165022628.79614884,56321106.402822435
