,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-151261201632.38873,55511716615.97299,-48222558531.107544
1,1961-01-01,-188701100449.81458,9802521916.236181,-87885320235.86342
2,1962-01-01,-171870886308.09656,18863183920.69354,-67905086433.99118
3,1963-01-01,-139135034292.3149,57271624152.456055,-48545190266.48364
4,1964-01-01,-128351934859.54716,72162487181.93106,-29823764878.582676
5,1965-01-01,-171016833537.71793,36724287302.78036,-69486526595.22067
6,1966-01-01,-151491506941.06656,48355904687.454254,-49506292805.20797
7,1967-01-01,-137471947258.22687,73952610936.99872,-30146396630.326725
8,1968-01-01,-108958770735.05835,88094239348.61865,-11424971235.053467
9,1969-01-01,-149632906749.21396,50455345277.01195,-51087732948.79071
10,1970-01-01,-134528417762.2309,67207082366.58997,-31107499088.38224
11,1971-01-01,-117267564969.30408,85194367266.05508,-11747602913.734089
12,1972-01-01,-92960674526.42076,117785879386.05939,6973822476.372826
13,1973-01-01,-133926855429.66243,70085384719.03738,-32688939174.575436
14,1974-01-01,-107233714578.32469,90556989409.16406,-12708705234.072514
15,1975-01-01,-91851182365.95837,107388945336.10664,6651191020.701412
16,1976-01-01,-75567184650.42761,129211427825.90334,25372616490.684063
17,1977-01-01,-116265117547.31691,83676412336.28394,-14290145080.162582
18,1978-01-01,-94351640936.82176,104684195284.29848,5690088809.070221
19,1979-01-01,-72254076286.79742,126778280016.96518,25049985012.598637
20,1980-01-01,-60054536732.21774,142525422386.65436,43771410455.89906
21,1981-01-01,-94800774670.2608,112021730010.09196,4108648858.2796097
22,1982-01-01,-78708946595.6337,121658505841.73221,24088882784.525978
23,1983-01-01,-60191546482.27398,140632231878.5307,43448779025.04092
24,1984-01-01,-35349729798.9629,159113358658.58447,62170237314.27756
25,1985-01-01,-81621635753.25787,130325565992.47214,22507508673.169716
26,1986-01-01,-60351118123.67525,141686172974.3629,42487775448.28222
27,1987-01-01,-34473108144.21154,162370586078.49176,61847704980.0188
28,1988-01-01,-23876591000.31513,180331370215.32098,80569163732.16037
29,1989-01-01,-57175240009.66592,134841514009.57127,40906435840.657074
30,1990-01-01,-34839275255.49483,157692535685.73502,60886703363.410065
31,1991-01-01,-13059186132.196516,182357392463.29633,80246930433.61877
32,1992-01-01,-1050749084.0393255,211873465580.8107,98968686724.18503
33,1993-01-01,-38755318396.10042,162534389820.47647,59306257128.43344
34,1994-01-01,-21082921116.44047,183205738937.1949,79286822131.89856
35,1995-01-01,1425379694.0827045,202293525397.9718,98647106905.25586
36,1996-01-01,19056551656.064056,221381706031.91586,117368920899.01552
37,1997-01-01,-23732240728.43398,173417472727.3126,77707000581.05838
38,1998-01-01,-8412263676.700401,198649115589.6254,97688073470.84229
39,1999-01-01,17517681786.404675,213697150764.32553,117049599603.79723
40,2000-01-01,36095343463.112,233594233437.64566,135773331246.14711
41,2001-01-01,-10925123419.192522,197733615328.46948,96112882165.67722
42,2002-01-01,16561070059.133757,215669033252.85114,116095434660.04608
43,2003-01-01,38412983855.53952,241735501160.92822,135457649468.65332
44,2004-01-01,55600499526.96823,243667854744.35062,154181393522.09177
45,2005-01-01,12582437380.754011,222467260718.17255,114520956887.09125
46,2006-01-01,36185585820.25243,234854425958.72266,134503509429.89703
47,2007-01-01,56328151206.86161,256525503235.3537,153865724287.00775
48,2008-01-01,69686742238.49518,275815278500.44354,172589468366.78403
49,2009-01-01,36363511018.8124,231283362840.1037,132929031758.02335
50,2010-01-01,52253364199.95486,255678623721.9511,152911584303.1827
51,2011-01-01,78492263488.48943,271219487110.06833,172273799162.60977
52,2012-01-01,99263147116.17392,285085535346.49866,190997543242.35828
53,2013-01-01,51513108532.63172,255589575151.37537,151337106633.6021
54,2014-01-01,75697248904.5987,274916883893.0765,171319659178.8157
55,2015-01-01,90821997171.33255,293638774410.0689,190681874038.18372
56,2016-01-01,108652652910.82657,309043064631.36194,209405618117.9398
57,2017-01-01,73100881860.7291,271489181945.60968,169745181509.17767
58,2018-01-01,88774606789.70096,283380179368.689,189727734054.33734
59,2019-01-01,105615767969.2038,300249312717.3905,209089948913.77008
60,2020-01-01,129555751401.93376,331984344313.17395,227813692993.49326
61,2021-01-01,88715701288.58508,287351523681.19385,188153256384.78403
62,2022-01-01,103211036049.95474,307230897258.6107,208135808929.93152
63,2023-01-01,127094727531.29439,322812760353.727,227498023789.3149
64,2024-01-01,147109379540.8839,346241738972.975,246221767869.0984
65,2025-01-01,106680076942.6044,301548530525.3385,206561331260.3203
66,2026-01-01,128473141671.33063,323885387430.7691,226543883805.52042
67,2027-01-01,148112455817.2389,341954889404.988,245906098664.93765
68,2028-01-01,165332415328.7445,365778652023.2375,264629842744.63248
69,2029-01-01,135425749050.51105,326988502634.51685,224969406135.9384
70,2030-01-01,151391627895.9901,348173691024.1607,244951958680.9896
