,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-19643515329.334885,12481022375.123787,-2884126459.02985
1,1961-01-01,-14737972391.453999,18643773360.567375,2223081689.9816093
2,1962-01-01,-14901028832.050316,18465590241.003376,1938471673.075245
3,1963-01-01,-14734247543.547596,18620456829.46353,1062449602.4834595
4,1964-01-01,-16841220355.209742,16154514781.483839,-403112660.1855316
5,1965-01-01,-11014318310.200989,20910410135.873455,4704095488.908176
6,1966-01-01,-12687678320.699957,20643010208.377125,4419485472.084713
7,1967-01-01,-12522083421.910837,19432607160.652695,3543463401.520607
8,1968-01-01,-14989785393.058594,18830235958.41613,2077901138.8778648
9,1969-01-01,-9644423794.383282,23340029284.023037,7185109287.9193
10,1970-01-01,-10278186622.122276,23703955311.030582,6900499271.019226
11,1971-01-01,-10424402458.151123,22426471391.4139,6024477200.410072
12,1972-01-01,-12164352410.448656,21241969266.767563,4558914937.666794
13,1973-01-01,-8576771997.037026,26363383979.37848,9666123086.624683
14,1974-01-01,-6242512776.952567,24784693903.211987,9381513069.62999
15,1975-01-01,-8714022004.63864,24813875032.94476,8505490998.924042
16,1976-01-01,-9951633259.062933,24003070740.775497,7039928736.256981
17,1977-01-01,-5417762771.535582,28964604225.752,12147136885.290916
18,1978-01-01,-4309337512.526791,27274392369.424236,11862526868.493793
19,1979-01-01,-5820732089.820754,26018713705.444828,10986504797.983274
20,1980-01-01,-7473583576.25413,26648870978.11137,9520942535.618242
21,1981-01-01,-1593238091.2151492,30343189813.030697,14628150684.95771
22,1982-01-01,-3463247459.0482216,30991457877.27195,14343540668.446735
23,1983-01-01,-3066174594.3722887,29740219577.707806,13467518598.223438
24,1984-01-01,-4394976748.7966175,27487979069.60858,12001956335.918926
25,1985-01-01,1471466519.8305867,34962304838.64369,17109164485.500776
26,1986-01-01,209128352.7614613,33962566595.543217,16824554469.164104
27,1987-01-01,-713201380.122326,32617462697.01043,15948532399.066326
28,1988-01-01,-2117075358.5674472,30005255218.94942,14482970136.886456
29,1989-01-01,2987062854.126582,36265739543.79861,19590185504.324455
30,1990-01-01,3149429841.9172325,35529208407.74934,19305582686.12062
31,1991-01-01,1532158124.104495,35351709997.2603,18429567814.27909
32,1992-01-01,-1362871725.8339741,33916050825.72309,16964012750.361816
33,1993-01-01,5387094996.921324,39124511949.02402,22071228117.8471
34,1994-01-01,4631581246.951631,39313819063.731895,21786625299.68614
35,1995-01-01,4017710066.392899,36984371968.65841,20910610427.780235
36,1996-01-01,2702190615.6720023,35051128360.61427,19445055363.789745
37,1997-01-01,7621821768.058376,42958841568.39384,24552270731.34047
38,1998-01-01,7635840292.474086,41059327154.85996,24267667913.241146
39,1999-01-01,8224798261.103111,41115936418.45176,23391653041.468323
40,2000-01-01,6991582946.980805,38033333707.46622,21926097977.596844
41,2001-01-01,8763127589.223063,44552088010.023735,27033313345.180996
42,2002-01-01,10379096753.737556,42622947069.13605,26748710527.089165
43,2003-01-01,9140388493.802923,42476064895.83272,25872695655.286816
44,2004-01-01,6948940740.225952,41725347386.91792,24407140591.487434
45,2005-01-01,12858032386.934273,45492470837.2255,29514355959.1003
46,2006-01-01,12178084950.316338,45638072929.24411,29229753141.12592
47,2007-01-01,12066480085.56691,43490585297.64606,28353738269.4412
48,2008-01-01,11908908479.211847,44220607580.17534,26888183205.717102
49,2009-01-01,15481742598.938055,48649830844.26037,31995398573.429504
50,2010-01-01,14944565195.410141,48646964648.16442,31710795755.494022
51,2011-01-01,14672899046.721802,48248714970.00266,30834780883.845825
52,2012-01-01,13088446391.682293,46133213061.671875,29369225820.125496
53,2013-01-01,18001598654.206226,50932439585.74844,34476441187.83473
54,2014-01-01,17152455328.589602,50870801177.24317,34191838369.89634
55,2015-01-01,17681324883.870308,49964649142.93478,33315823498.252068
56,2016-01-01,15749601216.657948,47612046547.97406,31850268434.5327
57,2017-01-01,20676907430.83753,53620563321.85322,36957483802.24243
58,2018-01-01,20609214989.05948,53081501638.26535,36672880984.30689
59,2019-01-01,20999036499.019596,52737136251.6431,35796866112.655785
60,2020-01-01,18511081903.627174,52063730705.61714,34331311048.943825
61,2021-01-01,22780397254.472538,56414466323.237595,39438526416.64925
62,2022-01-01,22131488413.990112,55682052144.13463,39153923598.71196
63,2023-01-01,20806328724.721222,54652888949.65769,38277908727.06792
64,2024-01-01,20509340604.998108,54709959711.077415,36812353663.34057
65,2025-01-01,24548427538.966644,58330712757.81084,41919569031.053604
66,2026-01-01,24352040092.446133,57574123765.36078,41634966213.11773
67,2027-01-01,24275822710.607292,58142330052.022514,40758951341.46702
68,2028-01-01,23081933211.708622,54847741360.57146,39293396277.75775
69,2029-01-01,28765562329.41795,61113043811.6662,44400611645.46213
70,2030-01-01,27205730139.2655,60751716882.74654,44116008827.53234
