,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-445955845.3286818,175098649.66355234,-128318925.42646837
1,1961-01-01,-512548368.6891851,173533741.36283526,-164201669.82463583
2,1962-01-01,-454427808.5874352,184512538.66428673,-128067814.46825096
3,1963-01-01,-432017708.2045542,262856201.82422498,-93813867.02362765
4,1964-01-01,-382641905.8558163,246855122.95277572,-61461082.79190162
5,1965-01-01,-434518567.12178695,221270566.3800106,-97343827.19201918
6,1966-01-01,-365518611.1271468,247588712.46784252,-61209971.83759132
7,1967-01-01,-366152138.72576344,289399211.4972632,-26956024.393087305
8,1968-01-01,-335100837.589962,332781510.1896469,5396759.838515095
9,1969-01-01,-371484096.63769126,287013324.3996952,-30485984.562000528
10,1970-01-01,-304432691.84568715,330441637.23081654,5647870.793293633
11,1971-01-01,-289155310.5272742,349225157.20538145,39901818.237151645
12,1972-01-01,-267578978.90066013,381862098.42613775,72254602.46773389
13,1973-01-01,-280265564.01783836,361203138.7940745,36371858.06816989
14,1974-01-01,-259048456.03108668,372953405.36147404,72505713.42500664
15,1975-01-01,-240895496.0222486,421141260.94481003,106759660.87044644
16,1976-01-01,-204757682.34612483,481097297.55221343,139112445.10493574
17,1977-01-01,-229813901.55984408,434694013.1125967,103229700.70929681
18,1978-01-01,-215271334.6395534,478056716.7743553,139363556.06801525
19,1979-01-01,-162492633.19932285,491730487.30467206,173617503.5153667
20,1980-01-01,-99980167.16344947,548528367.8097348,205970287.7483719
21,1981-01-01,-167202647.551624,495807389.6843952,170087543.35122758
22,1982-01-01,-127226373.95405437,534355775.4574738,206221398.710957
23,1983-01-01,-100953156.50827056,564306743.0452868,240475346.15928322
24,1984-01-01,-48548992.86867708,593272622.5338824,272828130.3983707
25,1985-01-01,-89777799.9883496,547845338.4679173,236945386.0098905
26,1986-01-01,-64675163.31604952,615845294.5683417,273079241.3758414
27,1987-01-01,-9461430.046561258,624187055.8734931,307333188.8318286
28,1988-01-01,13018983.438051663,698903164.5165589,339685973.0749264
29,1989-01-01,-28886565.47129887,640288072.6770486,303803228.6879268
30,1990-01-01,4324987.678720111,664659802.3408307,339937084.05546474
31,1991-01-01,34110650.922801934,717932946.8799726,374191031.5739298
32,1992-01-01,79108074.19084634,759731365.9028424,406543815.8794506
33,1993-01-01,49846551.85815373,696066317.1133281,370661071.5565032
34,1994-01-01,93614092.03061767,736383070.994059,406794926.9878788
35,1995-01-01,95823457.08658145,756970504.445245,441048874.5090886
36,1996-01-01,143051335.36738428,805410932.1944718,473401658.81739914
37,1997-01-01,91774274.1281156,768014055.9381123,437518914.4950416
38,1998-01-01,152272186.19085616,802816064.6267962,473652769.9269893
39,1999-01-01,164753103.10971615,845241780.5802252,507906717.45234925
40,2000-01-01,211150520.20763984,872170666.307878,540259501.763508
41,2001-01-01,210529651.6951494,850492467.5913745,504376757.44443566
42,2002-01-01,206442449.2695029,887237638.4258094,540510612.8784878
43,2003-01-01,251457370.4033347,924308315.4696512,574764560.4010992
44,2004-01-01,259335788.3247533,949107487.7973559,607117344.7104933
45,2005-01-01,239111393.81452417,903922350.7818825,571234600.3900912
46,2006-01-01,274257461.30552137,946336407.8480576,607368455.8229519
47,2007-01-01,287926839.9271954,984507543.5156723,641622403.3444606
48,2008-01-01,360397572.6578916,987030546.6194721,673975187.6533537
49,2009-01-01,303366789.90207964,980052287.7990434,638092443.332259
50,2010-01-01,379445401.73909193,1034405462.0582078,674226298.7655118
51,2011-01-01,369397187.30825263,1023593246.4071876,708480246.2873601
52,2012-01-01,415642812.5013737,1066612318.8844995,740833030.596221
53,2013-01-01,373696719.121251,1029444342.1443648,704950286.2751274
54,2014-01-01,399819872.2270479,1053677519.6418598,741084141.7084478
55,2015-01-01,458772202.63654363,1081667434.0427618,775338089.2302231
56,2016-01-01,468159062.8707642,1101259401.5717514,807690873.539096
57,2017-01-01,445778651.37756944,1101728669.2582593,771808129.2179943
58,2018-01-01,467620170.54962105,1140914990.948471,807941984.6512468
59,2019-01-01,525485703.5951328,1180145756.2647963,842195932.1730958
60,2020-01-01,537324291.3509328,1224608912.142932,874548716.48194
61,2021-01-01,483645110.52554655,1182569239.653778,838665972.1609018
62,2022-01-01,565975053.216376,1198641937.173778,874799827.594135
63,2023-01-01,570339191.6944182,1237971535.4649315,909053775.1159315
64,2024-01-01,620054884.6657243,1286450293.4107842,941406559.424827
65,2025-01-01,578380617.5010967,1253791209.2336838,905523815.1037114
66,2026-01-01,609288205.9253746,1256067895.2137175,941657670.5370175
67,2027-01-01,672853259.0649409,1300945755.0800653,975911618.0588458
68,2028-01-01,685860120.3529862,1344067310.9924128,1008264402.3676561
69,2029-01-01,665784262.9321415,1299040286.8191996,972381658.0466367
70,2030-01-01,680812722.5827866,1319801375.4210994,1008515513.4797522
