,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-326546090957.97797,352544650449.36975,14476112080.272583
1,1961-01-01,-237942507861.05054,427747750841.16113,90748685082.45093
2,1962-01-01,-250442037868.3628,405021998251.723,74933747322.78632
3,1963-01-01,-298624101373.28076,382323632184.78503,49378196968.051025
4,1964-01-01,-336829097485.5642,365872583672.6451,14115657738.70166
5,1965-01-01,-231713192131.8838,426646980492.5669,90388230716.2428
6,1966-01-01,-244051000422.5766,410820952232.28516,74573292932.01624
7,1967-01-01,-278206711247.55707,405965952812.436,49017742574.9574
8,1968-01-01,-322529317877.879,328241632502.6814,13755203343.264465
9,1969-01-01,-248418125318.28238,430007036307.91394,90027776311.39398
10,1970-01-01,-249428703133.9054,420731664423.907,74212838504.01794
11,1971-01-01,-320128284810.52405,367424266249.44104,48657288112.415955
12,1972-01-01,-324734850259.20746,349269964361.5351,13394748851.308655
13,1973-01-01,-239886373688.21893,419219056713.2998,89667321810.71967
14,1974-01-01,-252190579741.0241,430286867870.0841,73852383980.29816
15,1975-01-01,-296571129080.5176,385958259849.5698,48296833565.61377
16,1976-01-01,-340016181003.2348,343320122600.2837,13034294294.226807
17,1977-01-01,-264981706137.77188,417485071380.17316,89306867243.31989
18,1978-01-01,-222008881202.20938,413927923277.9887,73491929404.06244
19,1979-01-01,-276958115216.1563,365849940221.3567,47936378980.510864
20,1980-01-01,-299557508407.6619,357911566601.253,12673839675.894165
21,1981-01-01,-239673018266.4992,407844261783.98444,88946412591.71667
22,1982-01-01,-266860754584.05896,421677815526.8608,73131474750.94403
23,1983-01-01,-288978020831.7541,377970111240.9636,47575924325.88745
24,1984-01-01,-335588798755.2119,344950776684.46173,12313384997.631958
25,1985-01-01,-246113460596.88245,420449993002.5742,88585957885.74396
26,1986-01-01,-257380432544.01062,406128463450.065,72771020012.33685
27,1987-01-01,-279196778790.1876,375239814783.106,47215469536.20105
28,1988-01-01,-357215977480.1697,369889886455.7119,11952930185.378357
29,1989-01-01,-273671696876.40515,408811824307.3501,88224701987.08722
30,1990-01-01,-255614397511.1513,414396562735.3989,72408965215.99084
31,1991-01-01,-290667216219.71985,395657947800.0282,46851954292.7052
32,1992-01-01,-315508181458.9736,339354186308.1787,11587954494.828491
33,1993-01-01,-267406668892.9725,408203805847.17896,87858222796.58594
34,1994-01-01,-269972876415.94443,414651919731.4311,72040986633.4024
35,1995-01-01,-312475158173.0393,397602930962.7179,46483137870.18036
36,1996-01-01,-312446787479.64124,368516498141.0443,11218300232.215576
37,1997-01-01,-254305703675.58383,433797942242.0182,87488568517.03815
38,1998-01-01,-257440755273.36304,399993294275.86255,71671332336.89099
39,1999-01-01,-299596285532.0884,387715792100.3105,46113483561.42273
40,2000-01-01,-317570342463.5013,351645884316.55084,10848645886.67334
41,2001-01-01,-249538536336.5995,449746344624.68005,87118914135.95874
42,2002-01-01,-271768667871.40582,390351874692.92645,71301677907.22223
43,2003-01-01,-276615796228.9991,395637391758.44415,45743829094.24487
44,2004-01-01,-325405952718.45917,356201767483.1085,10478991426.559631
45,2005-01-01,-241756933727.2014,427380528330.87024,86749259682.18018
46,2006-01-01,-270342325213.86737,400476557752.7629,70932023463.44897
47,2007-01-01,-297394926236.77167,378423106739.2093,45374174660.44751
48,2008-01-01,-340016398738.75287,355082365726.94745,10109336962.244385
49,2009-01-01,-215052614391.60367,410797321192.722,86379605187.68298
50,2010-01-01,-279626042344.82135,391794394057.20154,70562368948.35541
51,2011-01-01,-288538444750.0602,381022630765.79114,45004520124.74817
52,2012-01-01,-325137492892.87384,337130260891.2794,9739682426.605774
53,2013-01-01,-256254801840.97586,396442789892.3163,86009950651.99072
54,2014-01-01,-272493389577.05203,409699471598.6368,70192714412.60516
55,2015-01-01,-292388090165.4771,388858326488.65845,44634865589.067444
56,2016-01-01,-338372303165.3154,347112598921.86975,9370027890.947449
57,2017-01-01,-239327042088.00854,427348318862.2895,85640296116.33331
58,2018-01-01,-261383694619.39465,419781425679.57855,69823059877.00385
59,2019-01-01,-272840360940.65524,363011284219.8886,44265211053.33075
60,2020-01-01,-343955482129.12854,369632573299.07996,9000373355.351501
61,2021-01-01,-264243864110.8474,417553879147.9143,85270641580.65692
62,2022-01-01,-266104334913.15292,409710203418.4822,69453405341.30817
63,2023-01-01,-301854373462.02136,366730403692.59344,43895556517.77002
64,2024-01-01,-322931192860.397,339371311826.05304,8630718819.503662
65,2025-01-01,-238454589081.16437,416223656755.78424,84900987044.9646
66,2026-01-01,-265996842134.31754,410291772437.7599,69083750805.6164
67,2027-01-01,-282778092488.20416,378178233374.7709,43525901981.95514
68,2028-01-01,-338774668051.3534,343843443257.991,8261064284.016724
69,2029-01-01,-237489446078.62598,415959031518.5974,84531332509.30676
70,2030-01-01,-268697511968.19705,403385787903.31573,68714096270.08771
