,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-3410405219.545279,4546001469.145194,401827788.5160066
1,1961-01-01,-3495413981.2916646,4545985179.271759,604972886.3074214
2,1962-01-01,-3191302963.594785,4621749209.2007265,694186800.2669446
3,1963-01-01,-2936216206.0856924,4670964915.891025,807213041.224027
4,1964-01-01,-2965670071.12769,4796505580.311525,944096375.9764558
5,1965-01-01,-2751655384.0156155,4936182201.432893,1147241473.7802281
6,1966-01-01,-2785116001.8479724,5189290580.457059,1236455387.7521024
7,1967-01-01,-2619771547.233262,5236745025.057849,1349481628.7242613
8,1968-01-01,-2534608837.955135,5507615592.916705,1486364963.4918094
9,1969-01-01,-2007407930.0793555,5747624993.581582,1689510061.2935092
10,1970-01-01,-2129884716.5258589,5754507210.065397,1778723975.2721446
11,1971-01-01,-1947636365.4154847,5949914893.784348,1891750216.2445707
12,1972-01-01,-1699859353.1544025,5995919350.500657,2028633551.0169039
13,1973-01-01,-1877454718.0438654,6168993708.657928,2231778648.8318825
14,1974-01-01,-1414286055.390658,6541173415.090156,2320984349.0098863
15,1975-01-01,-1448211497.8638148,6028334690.317337,2434002376.1816087
16,1976-01-01,-1303298685.5269825,6387794474.270388,2570877497.157784
17,1977-01-01,-960259053.4627244,6614213672.211367,2774014358.673037
18,1978-01-01,-913854112.6821675,6843812285.12283,2863220058.8632007
19,1979-01-01,-922654743.2824726,7183759276.625377,2976238086.047021
20,1980-01-01,-836026802.3688654,6919047477.05607,3113113207.019397
21,1981-01-01,-441591871.0850336,7057918018.857433,3316250068.5308185
22,1982-01-01,-624197887.361325,7339927250.779398,3405455768.719555
23,1983-01-01,-613596852.0133655,7354091735.153104,3518473795.902035
24,1984-01-01,-410676022.498171,7459482494.162724,3655348916.879687
25,1985-01-01,-207045888.20143658,7935449627.613975,3858485778.3977604
26,1986-01-01,-69483300.05596131,7861536412.632662,3947691478.5877504
27,1987-01-01,-66486703.108662926,8000389045.375332,4060709505.7767467
28,1988-01-01,428548271.4733731,8105882190.104248,4197584626.7612257
29,1989-01-01,277492988.8847528,8313094402.366322,4400721488.267529
30,1990-01-01,569341190.7103426,8252304677.881537,4489927188.445394
31,1991-01-01,449798275.26620495,8157277976.859417,4602945215.613712
32,1992-01-01,850439285.2922407,8456233822.891103,4739820336.57749
33,1993-01-01,782602255.31443,9104276246.4449,4942957198.068192
34,1994-01-01,1220840514.5755641,9066407521.644505,5032162898.2308445
35,1995-01-01,1502454248.5383177,9249374181.37906,5145180925.37805
36,1996-01-01,1524282558.004797,9165379795.785645,5282056046.320689
37,1997-01-01,1568549883.1251178,9418444164.733883,5485192907.786945
38,1998-01-01,1616820013.615583,9500942359.888933,5574398607.925305
39,1999-01-01,1846261055.33864,9713206550.959837,5687416635.068436
40,2000-01-01,1938188931.7334573,9385976452.176199,5824291756.017158
41,2001-01-01,2156733767.2171016,9963547752.6253,6027428617.505228
42,2002-01-01,1892919227.5321348,10173160217.16396,6116634317.664467
43,2003-01-01,2479463961.630631,10113982778.11028,6229652344.817631
44,2004-01-01,2239213206.644791,10299765952.805801,6366527465.773699
45,2005-01-01,2845034351.764919,10544576794.025303,6569664327.268611
46,2006-01-01,2789548991.232069,10794846624.940874,6658870027.439943
47,2007-01-01,2978410411.1633077,10599268044.86406,6771888054.604595
48,2008-01-01,3134555775.3514543,10743416802.949207,6908763175.553302
49,2009-01-01,3027563884.567202,11114750351.968792,7111900037.04093
50,2010-01-01,3159681646.741537,10893017015.973166,7201105737.20031
51,2011-01-01,3064416959.661147,11396995798.29948,7314123764.353532
52,2012-01-01,3557671111.2554417,11308120176.604265,7450998885.302185
53,2013-01-01,3738791848.9617577,11699135638.22128,7654135746.789904
54,2014-01-01,3871853962.973246,11614898284.639519,7743341446.9490385
55,2015-01-01,3739253773.7029467,12166719267.611473,7856359474.102397
56,2016-01-01,3892043419.01053,11954395165.219664,7993234595.05108
57,2017-01-01,4488216349.533271,12141492934.947063,8196371456.538716
58,2018-01-01,4099914455.3109674,12424264404.920914,8285577156.698097
59,2019-01-01,4604538218.298481,12226127001.67808,8398595183.851204
60,2020-01-01,4773161197.51923,12489263086.942099,8535470304.799951
61,2021-01-01,4864737286.687929,12452318362.359241,8738607166.287384
62,2022-01-01,4892922142.56267,12842847512.046583,8827812866.446941
63,2023-01-01,4802910273.781962,13221786554.284134,8940830893.600203
64,2024-01-01,5164328001.586666,13061674171.968496,9077706014.548883
65,2025-01-01,5426689303.312548,13326071480.6716,9280842876.036703
66,2026-01-01,5662474146.87479,13059677344.610064,9370048576.195765
67,2027-01-01,5657494994.783602,13598778396.87881,9483066603.34897
68,2028-01-01,6043798286.374127,13390968220.22108,9619941724.297728
69,2029-01-01,5698389623.027062,13835040810.63158,9823078585.785166
70,2030-01-01,6107548268.082813,13790325354.940746,9912284285.944983
