,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-725987850603.9734,576620189103.0809,-75238332556.2179
1,1961-01-01,-481337241588.184,767498464257.878,152947574322.198
2,1962-01-01,-610575274582.8352,703171205525.8009,66042164956.879395
3,1963-01-01,-650187996111.2306,654150759324.1885,-5078908173.847656
4,1964-01-01,-694421314196.6461,583753855073.7721,-60326283871.13818
5,1965-01-01,-416011668785.096,821727234650.8494,167859623012.01672
6,1966-01-01,-563427503276.6825,727624063736.2639,80954213651.47583
7,1967-01-01,-655971320217.4972,637981816862.1423,9833140527.717407
8,1968-01-01,-690775971229.0222,595204378425.7008,-45414235162.56909
9,1969-01-01,-456080558752.47363,824070083969.0635,182771671727.03528
10,1970-01-01,-531616188694.6964,698827815842.439,95866262368.60376
11,1971-01-01,-611959981422.6979,653102237639.4158,24745189245.507446
12,1972-01-01,-648896572617.977,592213689882.2986,-30502186441.476685
13,1973-01-01,-419283431932.8924,838052183612.0293,197683720446.17737
14,1974-01-01,-532826323030.0407,768833183495.5986,110778311092.7074
15,1975-01-01,-595255927571.9989,704743694782.732,39657237974.40149
16,1976-01-01,-659889272752.4849,606521144752.4993,-15590137709.002441
17,1977-01-01,-424159775548.94086,868869214547.2678,212595769182.20886
18,1978-01-01,-502011134482.88385,794803938889.5237,125690359825.4353
19,1979-01-01,-547133674265.9016,702251954627.1898,54569286703.68469
20,1980-01-01,-663433090672.4324,628570690176.9058,-678088983.5123291
21,1981-01-01,-428385077912.33093,867728531651.1619,227507817903.9535
22,1982-01-01,-475627604811.72943,779282788180.5243,140602408541.7406
23,1983-01-01,-575200721492.4114,695385153399.7401,69481335414.72437
24,1984-01-01,-622168519031.9108,608553000333.5908,14233959718.749023
25,1985-01-01,-374930712644.6697,901339428314.4258,242419866594.3446
26,1986-01-01,-454588222572.8292,772389752445.7627,155514457226.6858
27,1987-01-01,-529809633981.61383,673950192392.2457,84393384096.62769
28,1988-01-01,-595135484632.0166,687325389338.0928,29146008400.010742
29,1989-01-01,-325160956021.40533,903376806179.921,257331915280.41248
30,1990-01-01,-432174807357.79,820303484374.0261,170426505917.00793
31,1991-01-01,-495860299258.7705,723836198601.8333,99305214706.1482
32,1992-01-01,-573937733987.2338,700303427506.9333,44057620928.94678
33,1993-01-01,-355074955550.6853,907645902297.5905,272243270951.47034
34,1994-01-01,-463167658282.4732,792667525505.8503,185337605432.22375
35,1995-01-01,-488804866774.0796,722183465204.9092,114216276078.34741
36,1996-01-01,-582305753915.6388,639429791881.5365,58968644157.99255
37,1997-01-01,-316138292447.16693,983257136997.2711,287154257604.87695
38,1998-01-01,-496950602392.80414,819263329809.1422,200248555610.04785
39,1999-01-01,-488330119295.80005,732533646442.4521,129127189835.74146
40,2000-01-01,-563871215286.093,701011343591.9967,73879521488.99219
41,2001-01-01,-319543031058.6137,981403521122.0562,302065134916.3115
42,2002-01-01,-381760498982.2196,865100876344.4507,215159432900.88733
43,2003-01-01,-492699307600.495,742552013771.4429,144038067120.82544
44,2004-01-01,-558212308317.5181,736110874666.6664,88790398775.41113
45,2005-01-01,-305030636392.94995,942265355211.325,316976012202.26196
46,2006-01-01,-465344232396.88257,883933610824.8156,230070310185.4032
47,2007-01-01,-463266518799.6175,776524304074.1016,158948944403.4723
48,2008-01-01,-489959979883.79596,712736597624.5837,103701276051.98877
49,2009-01-01,-295809391356.03436,951999028787.685,331886889473.4758
50,2010-01-01,-387643126869.9516,881411327262.3953,244981187453.06226
51,2011-01-01,-443873917200.9684,792030936244.7778,173859821667.85388
52,2012-01-01,-546462724320.31805,799462447266.0039,118612153316.49951
53,2013-01-01,-302669079925.88007,992602387363.3741,346797766738.016
54,2014-01-01,-396311900606.1864,905160313523.8912,259892064717.29272
55,2015-01-01,-450340367815.4312,853229935259.9569,188770698932.42273
56,2016-01-01,-490071818485.7673,733063214555.154,133523030580.98743
57,2017-01-01,-281551635820.2965,1024297106590.896,361708644002.54004
58,2018-01-01,-354517946593.69116,920732810160.3529,274802941982.13086
59,2019-01-01,-424960977385.47107,790661986141.7974,203681576196.95532
60,2020-01-01,-504127283336.14655,808369152514.1562,148433907845.59326
61,2021-01-01,-231272316730.4149,997666168219.0327,376619521266.86597
62,2022-01-01,-393654516814.15594,972707025917.8351,289713819246.5697
63,2023-01-01,-457837034881.9505,899994602939.9376,218592453461.5924
64,2024-01-01,-476066862200.19946,784880759290.0488,163344785110.13013
65,2025-01-01,-252982712673.55322,1031215712394.0154,391530398531.7141
66,2026-01-01,-367157235137.6512,926074489578.1321,304624696511.0416
67,2027-01-01,-406972912430.54565,833009892024.5074,233503330725.9657
68,2028-01-01,-490822282877.5895,808002444845.2067,178255662374.74622
69,2029-01-01,-266301385997.47675,1065362218515.751,406441275795.9364
70,2030-01-01,-298546505104.6553,942625588381.6312,319535573776.1698
