,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-7301706653.552761,3305891682.40314,-2131014121.962478
1,1961-01-01,-7925367830.1236,2509029807.1282897,-2686780354.108863
2,1962-01-01,-7609761683.891543,2644970445.502546,-2307661111.629141
3,1963-01-01,-6742971966.760232,3653529929.126781,-1899348071.6444094
4,1964-01-01,-6654380126.310561,3728370537.1890182,-1462136378.4343753
5,1965-01-01,-7492920354.967995,3538993434.3268776,-2017902607.5688488
6,1966-01-01,-7010482730.378153,3627133666.8595157,-1638783362.0855956
7,1967-01-01,-6190744204.575756,4393498367.643887,-1230470318.3282237
8,1968-01-01,-6365778539.083308,4415984276.103671,-793258621.3454862
9,1969-01-01,-6757113501.376892,3762490623.945083,-1349024854.2764468
10,1970-01-01,-6218012411.5609,4663011256.727592,-969905609.7798982
11,1971-01-01,-6103717386.065656,4488724136.262685,-561592565.9523473
12,1972-01-01,-5565286677.485736,5114361742.416389,-124380868.32496452
13,1973-01-01,-5787637415.139446,4907168225.402583,-680147097.8720884
14,1974-01-01,-6175734950.618448,5621411206.703846,-301027850.90258455
15,1975-01-01,-4931644587.660295,5332100331.31204,107285195.3983717
16,1976-01-01,-4771706919.963961,6268530522.400259,544496900.9810109
17,1977-01-01,-4931255692.284206,5271739025.950658,-11269320.588970661
18,1978-01-01,-5013639810.785051,5956800523.920107,367849929.4936576
19,1979-01-01,-4777574952.255505,6406117472.173619,776162978.9081082
20,1980-01-01,-4370804871.006706,6650602416.238376,1213374687.5994806
21,1981-01-01,-5002988216.81058,6577704769.659499,657608469.1464176
22,1982-01-01,-4195595595.6493692,6183916538.9734535,1036727731.4922218
23,1983-01-01,-3970883677.192689,6803875861.318584,1445040793.169517
24,1984-01-01,-3634767932.266268,6841078891.887772,1882252513.9854774
25,1985-01-01,-4006843956.015577,6661363265.156492,1326486309.175633
26,1986-01-01,-3445321342.5549493,6795730674.611216,1705605578.9164228
27,1987-01-01,-2982026084.948726,7689472910.209048,2113918654.1609817
28,1988-01-01,-3104731620.974575,7692882577.86672,2551130382.631255
29,1989-01-01,-3707153735.317079,7581645103.383022,1995394608.1899424
30,1990-01-01,-2884304223.433013,7953934189.300268,2374544225.1571984
31,1991-01-01,-2746871480.801771,8246128949.01034,2782887643.185397
32,1992-01-01,-2080745673.5244865,9047735019.75706,3220129714.438437
33,1993-01-01,-2693605988.584851,7671911953.097365,2664401427.065612
34,1994-01-01,-2258901754.30804,8302508720.559724,3043558510.6448836
35,1995-01-01,-1970242890.670999,8666755257.543846,3451917833.5087757
36,1996-01-01,-1269255998.3098805,9328762592.771349,3889175809.5984616
37,1997-01-01,-1874984345.7762613,8764639516.137173,3333455983.620035
38,1998-01-01,-1673179169.7835145,8965560484.871908,3712621505.475291
39,1999-01-01,-1417466054.9313953,9360295611.405247,4120980830.819054
40,2000-01-01,-293501536.5559634,10052790311.246231,4558238810.88077
41,2001-01-01,-1217994111.692693,9769826496.64209,4002518990.564587
42,2002-01-01,-1068068303.4883981,9822792075.654858,4381684523.145678
43,2003-01-01,-744428954.0554101,10290729043.710888,4790043855.05784
44,2004-01-01,-208279876.25207335,11102368323.76923,5227301846.600561
45,2005-01-01,-1005201391.4843438,9814659399.101553,4671582037.803315
46,2006-01-01,-403688656.8833794,10893860218.675812,5050747579.682209
47,2007-01-01,-36287754.82860911,11286710036.433891,5459106920.892818
48,2008-01-01,1066951732.8900893,11031698212.40225,5896364914.300987
49,2009-01-01,67804203.59540719,11051755395.885763,5340645107.371111
50,2010-01-01,501243558.79914105,11129156732.94948,5719810648.223009
51,2011-01-01,977340698.3353297,11608701429.284391,6128169988.406414
52,2012-01-01,679080992.516237,12093262459.677956,6565427981.814059
53,2013-01-01,660742164.3434135,11367685738.537022,6009708174.884413
54,2014-01-01,1314577216.376065,11913534938.704365,6388873715.737033
55,2015-01-01,1667938966.4473147,12269709149.505672,6797233055.91959
56,2016-01-01,1914352453.7352889,12377099368.19829,7234491049.327274
57,2017-01-01,1656545662.1619563,12184877145.256702,6678771242.39753
58,2018-01-01,1923227506.3626995,12482993946.832613,7057936783.249426
59,2019-01-01,1902109880.1625338,12885897016.231153,7466296123.433027
60,2020-01-01,2667810358.475931,13118534113.538422,7903554116.839966
61,2021-01-01,1984030372.8054047,12281811847.209948,7347834309.910998
62,2022-01-01,2487011086.853993,12914543046.780941,7726999850.762878
63,2023-01-01,2632728719.320455,13604799861.587242,8135359190.945587
64,2024-01-01,2763651017.976737,13763050386.521498,8572617184.354005
65,2025-01-01,2774513033.9552965,13351921224.268654,8016897377.4239235
66,2026-01-01,2995104558.8589835,13552623797.111008,8396062918.276245
67,2027-01-01,3767447284.0919094,13771331528.336395,8804422258.459677
68,2028-01-01,3872729203.2589326,14493280119.695797,9241680251.866144
69,2029-01-01,3159164492.313428,14255330518.1521,8685960444.937412
70,2030-01-01,3617226925.244439,14662383007.655735,9065125985.78786
