,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,498414.437551982,510963.6723954944,504850.0257467048
1,1961-01-01,505158.93544169574,518705.3434027867,512169.2245148482
2,1962-01-01,510695.3420946826,523278.99637524283,517322.638526722
3,1963-01-01,515485.5546753603,527797.75409282,521644.78456317086
4,1964-01-01,519033.3695626398,531372.1707956479,525133.0982971423
5,1965-01-01,520723.289958161,533515.7554166041,527401.3125632792
6,1966-01-01,521329.1510922922,533369.6320441728,527517.5425772525
7,1967-01-01,520914.3601872611,533415.170870418,526797.6541111218
8,1968-01-01,519086.69428948214,531398.4135667863,525243.9333425142
9,1969-01-01,521207.05418947485,533783.7442556056,527503.1961052939
10,1970-01-01,520909.55687848345,533719.1370828707,527604.0744653881
11,1971-01-01,520545.54639538284,533152.2103832563,526874.5008492629
12,1972-01-01,519101.91079473094,531695.6864795263,525309.0496497779
13,1973-01-01,521409.30985666905,533658.5578600615,527559.8193183161
14,1974-01-01,521403.03291462414,533362.8020994256,527657.5411762546
15,1975-01-01,520758.69518024265,533017.2194677342,526924.8110579738
16,1976-01-01,518945.2873281202,531605.0287925663,525355.6799549124
17,1977-01-01,521435.75160459644,534107.0370423653,527602.7596379461
18,1978-01-01,520967.64278557943,534202.393580515,527695.6101248567
19,1979-01-01,520195.7995030424,532774.9791641231,526958.0086355471
20,1980-01-01,518770.8113369983,531324.5737477837,525386.566313237
21,1981-01-01,521412.8553982648,533896.7814228388,527631.3284449168
22,1982-01-01,521039.2003501933,533919.5781253775,527724.170402453
23,1983-01-01,520627.11192933226,533588.3372458357,526986.5603837753
24,1984-01-01,519871.69428701326,531462.729334177,525415.1180635254
25,1985-01-01,521409.95250174636,533700.7550161518,527659.8801971453
26,1986-01-01,521398.42383739556,533643.2095966653,527752.722155462
27,1987-01-01,520873.9629457379,533323.8973606387,527015.1121389105
28,1988-01-01,519026.10917611385,531922.5103389958,525443.6698198679
29,1989-01-01,521063.35506290244,533883.3440212954,527688.4319521113
30,1990-01-01,521779.9140569364,534403.0037895786,527781.2739090652
31,1991-01-01,520973.75107604277,533252.1783913976,527043.6638887457
32,1992-01-01,519156.462398982,531678.293837787,525472.2215659528
33,1993-01-01,521306.2441872427,534210.9022928772,527716.9836950074
34,1994-01-01,521734.8300099037,534127.5269023699,527809.825648758
35,1995-01-01,521341.5058564454,532910.025060491,527072.215628211
36,1996-01-01,519579.8306160782,531920.0805688358,525500.7733052091
37,1997-01-01,521171.8510785025,533577.6291995299,527745.5354373665
38,1998-01-01,521217.8535957027,533513.7033264794,527838.3773942263
39,1999-01-01,520532.99701267993,533709.857647709,527100.8183460546
40,2000-01-01,519035.1758048362,531929.4536319841,525529.4782916225
41,2001-01-01,521439.34644329414,534094.3837622672,527774.3429713615
42,2002-01-01,521793.0470851691,534521.9558176041,527867.6518285256
43,2003-01-01,520821.61417128885,533288.8659185574,527130.5087094507
44,2004-01-01,519336.75623929664,531672.5883511422,525564.0811079273
45,2005-01-01,521567.8747339251,533260.8198987573,527813.8716993516
46,2006-01-01,521779.51498659124,534218.1293935007,528045.1573091123
47,2007-01-01,521555.7027883053,533986.808161687,527445.990942701
48,2008-01-01,519912.35279413767,532618.8189746746,526016.1702216105
49,2009-01-01,522139.37933608476,534484.2348798522,528402.9419588941
50,2010-01-01,522779.52695788455,534912.7894945615,528637.4055165092
51,2011-01-01,521332.1679532066,534413.4909593891,528041.4170978874
52,2012-01-01,520369.608711173,532993.4048164804,526611.5963768145
53,2013-01-01,523137.3677347752,535178.7807368286,528998.3681140946
54,2014-01-01,523292.63065415144,535421.9343119294,529232.8316717285
55,2015-01-01,522453.29909514386,534862.7788097536,528636.8432531114
56,2016-01-01,520949.2197923474,533165.022405554,527207.0225320163
57,2017-01-01,523399.02745271975,535988.2228702916,529593.7942693196
58,2018-01-01,523666.89164566714,536355.6064169774,529828.2578269348
59,2019-01-01,523431.5481449247,535544.910332159,529232.2694083551
60,2020-01-01,521972.5998214255,533805.9066977262,527802.4486872287
61,2021-01-01,523853.5496956454,535888.6808788243,530189.2204245494
62,2022-01-01,524371.6922904077,536500.6113772689,530423.6839821496
63,2023-01-01,523543.7187276561,536346.0236346712,529827.6955635365
64,2024-01-01,521961.33130264276,534461.1719789207,528397.8748424685
65,2025-01-01,524075.4786633411,537208.2390663497,530784.6465797231
66,2026-01-01,524600.2178426503,537579.5591308827,531019.1101373691
67,2027-01-01,524059.1038974663,536929.3572166136,530423.1217187806
68,2028-01-01,521853.42170631536,536227.9985577092,528993.3009976654
69,2029-01-01,523865.5084499131,538245.2137602217,531380.072734975
70,2030-01-01,524259.53024762665,538629.4289234213,531614.5362925701
