,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,887850217.6421349,910433280.9202431,899407724.5956326
1,1961-01-01,900338057.9430213,923839017.0445844,912451348.3410289
2,1962-01-01,910739814.2846338,932542336.9432526,921636147.269723
3,1963-01-01,918539408.1192559,939726336.792757,929335737.4039699
4,1964-01-01,923635626.7148979,946353333.3202724,935548682.8828871
5,1965-01-01,928492112.4737502,950877106.7841178,939579714.946381
6,1966-01-01,928851510.8495361,950797652.0809917,939776546.7606131
7,1967-01-01,928142945.1824278,950274052.0284227,938482014.636709
8,1968-01-01,924378561.1691036,947027602.9477563,935700837.8574767
9,1969-01-01,928382141.5428234,950949183.0609967,939716250.0339355
10,1970-01-01,929389774.0655918,950834816.6799772,939891921.820385
11,1971-01-01,927179863.0341877,949297046.7561287,938586952.0610352
12,1972-01-01,924032028.5285335,946598509.9322882,935792928.8810276
13,1973-01-01,929482197.6541188,951278407.8752564,939800327.5793699
14,1974-01-01,928677700.3873829,951868012.8113889,939973217.1206282
15,1975-01-01,928280338.2057065,949600770.8293536,938665465.116087
16,1976-01-01,925026972.6786735,946724146.5515887,935866378.1211485
17,1977-01-01,928093803.4685669,951202828.9388939,939868699.1310936
18,1978-01-01,928591528.7603133,950646492.8295324,940036251.9384173
19,1979-01-01,927516885.704967,950021330.4870002,938723163.1999397
20,1980-01-01,924677572.7809715,947244159.3482558,935923429.7102385
21,1981-01-01,929681978.281193,951338748.6102848,939925102.4542066
22,1982-01-01,928546976.0443448,951230534.3033239,940092655.149424
23,1983-01-01,927620463.674728,950002990.4887266,938779566.298851
24,1984-01-01,925102763.1822349,947226201.4220902,935979832.7972603
25,1985-01-01,928392222.3738642,950510060.3781034,939981505.5234628
26,1986-01-01,929394531.8191209,951405054.8652409,940149058.2171651
27,1987-01-01,927360679.9127866,949902043.8925947,938835969.3684784
28,1988-01-01,925198849.8494792,947059210.2158577,936036235.8644388
29,1989-01-01,928814682.4377217,951163177.915349,940037908.5831255
30,1990-01-01,928561606.4178951,952256087.9882917,940205461.2693499
31,1991-01-01,927865933.7459018,950445691.4928565,938892372.4191796
32,1992-01-01,925592028.5080756,947211929.2336341,936092638.9136873
33,1993-01-01,929556478.6918585,951358686.9803494,940094311.6396512
34,1994-01-01,929374298.5355465,950860055.9858958,940261864.333092
35,1995-01-01,928253297.4405389,950334745.3452686,938948775.4936574
36,1996-01-01,925013484.466371,947335481.770237,936149041.9989336
37,1997-01-01,928688319.0559483,951460766.4465711,940150714.7502602
38,1998-01-01,929119460.0701523,952309572.7564331,940318267.4690204
39,1999-01-01,928539273.6742802,950023786.7866117,939005186.2282776
40,2000-01-01,924394654.6702001,947271476.8928907,936206430.817477
41,2001-01-01,929446214.3621199,951163460.5099845,940209084.3200049
42,2002-01-01,929580386.1545199,951185384.228275,940378538.1871295
43,2003-01-01,927521668.2918593,950711072.6148431,939067350.5084198
44,2004-01-01,925667940.1125579,947104916.9925985,936273491.8741541
45,2005-01-01,929211445.7490656,951627990.4119864,940281055.5690472
46,2006-01-01,929361549.3646088,951566835.0185459,940674056.5709608
47,2007-01-01,928567003.7658172,950653300.1028967,939586416.0271595
48,2008-01-01,925665999.9460074,947244380.983216,937043258.717086
49,2009-01-01,929824849.4951084,952378016.0650201,941302210.5891143
50,2010-01-01,930685746.6397454,953663713.145919,941726339.4801852
51,2011-01-01,928939239.1905036,952703411.5624698,940669826.8254249
52,2012-01-01,927418168.5552392,949046731.7088864,938126669.5153828
53,2013-01-01,931514888.7828445,952910059.2076572,942385621.3874047
54,2014-01-01,931337112.1010773,953364425.2321467,942809750.278509
55,2015-01-01,929691558.0139818,952939320.1403604,941753237.6237574
56,2016-01-01,927918925.1609852,950080232.6896579,939210080.3136758
57,2017-01-01,931766347.6446358,954658642.1963575,943469032.185739
58,2018-01-01,933160952.7363241,955522814.2227894,943893161.0768099
59,2019-01-01,931121031.3265623,953883601.5080279,942836648.4221251
60,2020-01-01,929057502.844813,950971282.9214691,940293491.1119876
61,2021-01-01,933626574.6394962,954940946.9630218,944552442.9840819
62,2022-01-01,933732359.6226966,956478547.2892923,944976571.8751262
63,2023-01-01,931562238.5445374,955491493.1756916,943920059.2203817
64,2024-01-01,928954999.9161314,952879208.0260657,941376901.9103483
65,2025-01-01,934257745.2407788,957513031.0657123,945635853.782325
66,2026-01-01,934392427.1829832,957767200.0966759,946059982.6734505
67,2027-01-01,932341416.8565031,957585288.7702734,945003470.0187497
68,2028-01-01,930310832.5471237,954045186.746355,942460312.7086326
69,2029-01-01,932848835.6380117,959448961.4048223,946719264.580707
70,2030-01-01,933719054.0072688,959965722.8854859,947143393.4717422
