,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,171346988.0844013,175639522.9984816,173532967.66710788
1,1961-01-01,173933005.11208886,178358931.7923298,176054976.26072294
2,1962-01-01,175721811.79226622,180044354.27136678,177831993.13728073
3,1963-01-01,177171675.94785517,181387911.37739483,179322237.12937093
4,1964-01-01,178346413.01216075,182705499.44121358,180526138.91581622
5,1965-01-01,179180910.37798545,183506328.45651737,181304062.70590174
6,1966-01-01,179176215.2319977,183581666.4752917,181341760.03795677
7,1967-01-01,178912345.84032935,183342451.243711,181092669.8037491
8,1968-01-01,178383772.57840064,182784269.22817716,180557237.36389673
9,1969-01-01,179167103.94290426,183475405.624723,181332760.00625458
10,1970-01-01,179380043.85281837,183622037.71854103,181367071.86005557
11,1971-01-01,178827343.69748998,183241183.8577873,181116205.02420446
12,1972-01-01,178571259.9690667,182815102.80174208,180577987.36817238
13,1973-01-01,179181152.8582628,183350580.7406906,181351505.02685678
14,1974-01-01,179250695.40169048,183517903.62787104,181383168.17432058
15,1975-01-01,179086083.54541543,183316388.11735937,181129652.63213205
16,1976-01-01,178453050.9105923,182714546.97691435,180589740.42541015
17,1977-01-01,179211437.41067934,183539549.02147982,181361558.89079997
18,1978-01-01,179290346.80307323,183502669.26242867,181393166.48128688
19,1979-01-01,179033327.95670396,183424243.8892096,181139595.3821212
20,1980-01-01,178365913.79291728,182775423.20255572,180599682.07445306
21,1981-01-01,179263634.18143612,183558623.3184169,181371499.43588123
22,1982-01-01,179210893.25706625,183499157.79498443,181403107.02216235
23,1983-01-01,179031564.77567238,183156837.83740976,181149535.91879296
24,1984-01-01,178398530.43115717,182697458.48203364,180609622.60907328
25,1985-01-01,179460824.72946993,183740154.1840769,181381439.96603227
26,1986-01-01,179166378.25820777,183459406.19327968,181413047.54920286
27,1987-01-01,178921100.87044182,183359700.5603725,181159476.44324753
28,1988-01-01,178497094.69176984,182691829.5171013,180619563.13164264
29,1989-01-01,179189101.01096535,183485679.3514362,181391380.4907731
30,1990-01-01,179125704.26183063,183732242.98521507,181422988.07611263
31,1991-01-01,178878776.1138052,183264327.110026,181169416.9738063
32,1992-01-01,178498769.6558619,182891455.64115962,180629503.6658565
33,1993-01-01,179280906.50353345,183457153.27117175,181401321.02574173
34,1994-01-01,179281761.88848248,183598587.80497697,181432928.611826
35,1995-01-01,178815518.7090817,183323657.69309103,181179357.50789076
36,1996-01-01,178438271.89998418,182995022.32554275,180639444.1983183
37,1997-01-01,179192610.642776,183532499.3266709,181411261.5598427
38,1998-01-01,179293778.58733734,183624872.30247334,181442869.1475668
39,1999-01-01,179165653.35687736,183137957.53091532,181189532.43524423
40,2000-01-01,178602902.0053952,182966937.1478218,180650275.49176398
41,2001-01-01,179164668.08056504,183463885.3094599,181422751.01563632
42,2002-01-01,179425457.6649285,183658135.47842598,181455297.7395843
43,2003-01-01,179145452.24306247,183422642.0196078,181202665.7738732
44,2004-01-01,178483292.51154634,182779197.62911996,180664225.82190928
45,2005-01-01,179196542.3141711,183480946.59612596,181437520.5756315
46,2006-01-01,179278969.0950042,183528951.33389834,181513577.2819361
47,2007-01-01,179191810.26765686,183516660.9730674,181304455.29860482
48,2008-01-01,178707015.48815322,183007615.57449195,180814301.18231902
49,2009-01-01,179564866.40559366,183791787.906959,181636014.06168017
50,2010-01-01,179742924.89527792,183870024.91910702,181717380.8406946
51,2011-01-01,179328844.13229227,183663538.05316484,181513568.93005067
52,2012-01-01,178923720.38054395,183155177.27010453,181023414.81377095
53,2013-01-01,179738611.9882039,184051444.50335243,181845127.69313085
54,2014-01-01,179933275.10652575,183975586.3846581,181926494.47215176
55,2015-01-01,179536069.33120957,183916004.98423046,181722682.56150946
56,2016-01-01,179096054.75063875,183271291.94445232,181232528.44522208
57,2017-01-01,179907012.97529185,184147631.47096536,182054241.32459003
58,2018-01-01,180039173.97930968,184280345.83006662,182135608.10360444
59,2019-01-01,179772661.35163653,183942591.2848301,181931796.1929751
60,2020-01-01,179232176.1157946,183600098.16031495,181441642.07667688
61,2021-01-01,180137253.1581102,184410815.58947548,182263354.95605087
62,2022-01-01,180180059.16470888,184326454.71003035,182344721.73506013
63,2023-01-01,180047594.0635446,184362728.7541044,182140909.8244192
64,2024-01-01,179564006.8745705,183862934.45788485,181650755.70814115
65,2025-01-01,180513773.92663205,184709335.78731537,182472468.58749235
66,2026-01-01,180279506.6420402,184949172.15355077,182553835.36651736
67,2027-01-01,180026517.17554462,184528395.69911557,182350023.4558849
68,2028-01-01,179277999.7593286,184139488.27392393,181859869.33959058
69,2029-01-01,180152042.990178,185218230.02887392,182681582.21896076
70,2030-01-01,180017165.90314397,185432598.9131001,182762948.99796826
