,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,34913773.31967475,35931754.31431674,35426246.15568003
1,1961-01-01,35256170.810443625,36254128.46863222,35772089.71582298
2,1962-01-01,35513081.285439484,36464770.34827754,35981597.76056518
3,1963-01-01,35632164.1932841,36590161.11279682,36123946.946888454
4,1964-01-01,35711974.20968826,36714044.55345523,36198904.054314986
5,1965-01-01,36073660.09592762,37013864.349594906,36544135.509959534
6,1966-01-01,36287446.464014806,37246502.78183711,36753033.12262012
7,1967-01-01,36200890.02963201,37158412.136190966,36695547.277180955
8,1968-01-01,36107289.332265355,37058377.99407484,36570669.35284508
9,1969-01-01,36299143.99367844,37166082.864371374,36715756.612491906
10,1970-01-01,36226067.498819515,37187212.38997901,36724700.127295494
11,1971-01-01,36162041.27658486,37146795.417076156,36666494.082266405
12,1972-01-01,36052033.14577724,37038674.8286733,36540651.072202265
13,1973-01-01,36206811.43277659,37190563.63270077,36685135.05348424
14,1974-01-01,36218726.26590493,37179369.124874026,36693830.40755626
15,1975-01-01,36147239.66394432,37106034.79814939,36635376.20179561
16,1976-01-01,36027491.795117944,36969172.329432495,36509529.917315446
17,1977-01-01,36142344.121243484,37135404.28110337,36654010.615210384
18,1978-01-01,36170395.85870355,37167337.81706494,36662705.96998411
19,1979-01-01,36147850.395903215,37099378.14806191,36604251.764925115
20,1980-01-01,36026256.215863846,36953666.089675784,36478405.4803856
21,1981-01-01,36133611.2709964,37086945.59490939,36622886.178221196
22,1982-01-01,36153706.004374996,37116177.57168116,36631581.53322911
23,1983-01-01,36069242.321432285,37034160.18319267,36573127.32840472
24,1984-01-01,35964083.994465634,36897824.08787718,36447281.04493848
25,1985-01-01,36088635.81481947,37035976.91142287,36591761.74393093
26,1986-01-01,36086544.70274649,37092692.7368878,36600457.09927413
27,1987-01-01,36021357.41725879,37019592.68806144,36542005.58232757
28,1988-01-01,35909960.90580192,36894866.080070496,36416161.98648328
29,1989-01-01,36045762.70814706,37006411.85350667,36560796.53640945
30,1990-01-01,36095325.5211143,37069528.12073648,36569645.32232943
31,1991-01-01,36034745.104984164,37034158.062640406,36511746.014876544
32,1992-01-01,35928095.776814304,36876421.800459564,36386454.62852719
33,1993-01-01,36024758.809805885,37018656.520431414,36531810.149124414
34,1994-01-01,36065040.57439832,37013913.841642566,36541377.935848504
35,1995-01-01,35942627.00609126,36974233.94516217,36484267.329906575
36,1996-01-01,35881686.56577155,36848363.271022394,36359764.645069435
37,1997-01-01,36013242.92000118,36991030.02762123,36505740.35831256
38,1998-01-01,36068196.17385238,37033093.40779215,36515926.643168114
39,1999-01-01,35951664.893402025,36912402.641596034,36459377.65495023
40,2000-01-01,35849445.398260094,36847158.40171578,36335684.42928335
41,2001-01-01,36022789.39640652,36972754.65178764,36482324.08478266
42,2002-01-01,36031139.163460515,36965608.01102217,36493485.19141362
43,2003-01-01,35933208.06646433,36888809.29741213,36437496.738210484
44,2004-01-01,35851207.46715048,36805309.56851527,36329261.61962478
45,2005-01-01,36024561.99972948,36988956.16549495,36491401.73318373
46,2006-01-01,36006404.96487719,36971516.68652006,36518230.45856096
47,2007-01-01,35970132.23972009,36975706.86834908,36477909.62410897
48,2008-01-01,35925210.48058232,36858753.074456535,36370772.71766314
49,2009-01-01,36052487.20587277,37042702.44170735,36534014.05216241
50,2010-01-01,36078837.938791715,37072656.45606596,36561418.784446664
51,2011-01-01,36060524.26387589,37024852.11803784,36521673.956896976
52,2012-01-01,35909722.9514834,36872810.38795863,36414537.05045241
53,2013-01-01,36150460.56458014,37117513.89183206,36577778.3849514
54,2014-01-01,36121931.720411845,37080013.178306505,36605183.117237024
55,2015-01-01,36068962.92509153,37046032.81360829,36565438.28968763
56,2016-01-01,35968142.430703506,36950682.36474622,36458301.38324152
57,2017-01-01,36137745.089079574,37097797.475749016,36621542.71774216
58,2018-01-01,36163645.44060378,37168938.75829977,36648947.4500264
59,2019-01-01,36121885.538787216,37064858.240959145,36609202.62247971
60,2020-01-01,36022779.888008416,36956190.28892242,36502065.71603138
61,2021-01-01,36176113.74748597,37158202.80481587,36665307.050533295
62,2022-01-01,36213576.810027055,37150857.83215527,36692711.78281643
63,2023-01-01,36177247.26016713,37111844.43730843,36652966.95526737
64,2024-01-01,36032307.96667682,37028903.624659,36545830.04882311
65,2025-01-01,36205820.89076867,37204405.05967866,36709071.383320294
66,2026-01-01,36253753.301545694,37205809.6715211,36736476.115606785
67,2027-01-01,36213922.340463504,37181208.79877749,36696731.28805943
68,2028-01-01,36089966.35773493,37100738.91633559,36589594.38161191
69,2029-01-01,36238950.57671146,37236990.401642516,36752835.71611304
70,2030-01-01,36270518.06244147,37268795.72906992,36780240.44839578
