,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,31085963.144734472,31864772.373297267,31474462.382535316
1,1961-01-01,31560929.622237373,32320919.192456946,31931089.45280122
2,1962-01-01,31880012.34593123,32640771.820850406,32252742.02209717
3,1963-01-01,32133829.908526555,32904325.364670675,32522338.477020506
4,1964-01-01,32343434.67788484,33135033.987241216,32739944.119529866
5,1965-01-01,32505675.042741943,33245114.14561571,32880943.47180327
6,1966-01-01,32480522.999931432,33268581.97640153,32887830.69392104
7,1967-01-01,32474971.01791815,33249892.531439655,32842655.883114785
8,1968-01-01,32345388.719166208,33146706.905528817,32745490.2598946
9,1969-01-01,32496485.349244278,33275692.019220043,32886178.373161327
10,1970-01-01,32479589.94375461,33272703.174276326,32892407.400130212
11,1971-01-01,32468056.33910091,33238556.244622905,32846856.074107505
12,1972-01-01,32358505.105592053,33143215.546473198,32749159.603558823
13,1973-01-01,32490069.346449226,33314029.01118148,32889344.20246909
14,1974-01-01,32508677.90768422,33263453.57733655,32895385.26693422
15,1975-01-01,32474565.029690776,33250572.506198943,32849645.97840775
16,1976-01-01,32360658.91740593,33160182.32488602,32751779.081193734
17,1977-01-01,32514215.65246097,33286136.474973265,32891792.786516286
18,1978-01-01,32498680.230858315,33317366.110536296,32897637.62724178
19,1979-01-01,32452175.927496754,33232611.88406206,32851702.114975616
20,1980-01-01,32370021.915212654,33148037.461948093,32753775.789719995
21,1981-01-01,32495772.45196467,33290753.71535528,32893729.904184546
22,1982-01-01,32506641.68386822,33297740.22325048,32899574.744435433
23,1983-01-01,32483944.919283584,33216228.815458722,32853639.23169505
24,1984-01-01,32334470.953941397,33134401.755819034,32755712.906166032
25,1985-01-01,32495695.548280828,33318979.96351823,32895667.020316903
26,1986-01-01,32529783.242037635,33318893.520048946,32901511.860153746
27,1987-01-01,32449427.95390222,33238401.129711494,32855576.346830428
28,1988-01-01,32354260.127600305,33161856.688069925,32757650.02109232
29,1989-01-01,32524002.962148502,33286827.57820697,32897604.134935074
30,1990-01-01,32487403.109774433,33271191.4257004,32903448.974465262
31,1991-01-01,32475591.296522547,33238810.66183812,32857513.461237665
32,1992-01-01,32367388.653750744,33158016.977577373,32759587.135596372
33,1993-01-01,32524361.699691053,33306079.934258763,32899541.249639872
34,1994-01-01,32499156.207334496,33309739.680402495,32905386.089368798
35,1995-01-01,32441706.389172867,33237116.00573786,32859450.57606417
36,1996-01-01,32402445.597056713,33148873.94923489,32761524.25034698
37,1997-01-01,32503207.115529187,33297240.391560707,32901478.365108024
38,1998-01-01,32516271.299474053,33364333.366604052,32907323.205553457
39,1999-01-01,32458529.363123447,33237989.501346413,32861426.349959735
40,2000-01-01,32355977.364040323,33144791.919983376,32763540.333100796
41,2001-01-01,32508867.9766357,33286441.921202626,32903534.86639568
42,2002-01-01,32519837.867793217,33285122.47014907,32909664.159443855
43,2003-01-01,32449432.15468262,33232449.03818714,32864013.09949921
44,2004-01-01,32373949.550125703,33153387.79002555,32766543.690250963
45,2005-01-01,32521374.562504087,33295679.75901241,32906955.97254736
46,2006-01-01,32532171.906546637,33315260.701375633,32920981.5660077
47,2007-01-01,32502273.15223832,33287897.45260059,32883226.806479413
48,2008-01-01,32409959.63694753,33205298.45343498,32794027.37151798
49,2009-01-01,32562485.754200634,33341644.19652229,32942732.28556502
50,2010-01-01,32590394.649274837,33357047.517943956,32957304.0160097
51,2011-01-01,32532155.64945937,33314150.368279453,32920095.39346168
52,2012-01-01,32430859.693048585,33223733.786199953,32830895.958501343
53,2013-01-01,32593450.94879485,33346343.618347056,32979600.872548163
54,2014-01-01,32627934.177145503,33366968.472297028,32994172.602994006
55,2015-01-01,32538320.158472557,33351545.841802593,32956963.980446283
56,2016-01-01,32482606.496832237,33256578.824945655,32867764.545484565
57,2017-01-01,32664145.234719038,33390844.182039276,33016469.45953283
58,2018-01-01,32635640.25389984,33462826.22302386,33031041.189977508
59,2019-01-01,32576829.545746945,33361119.948611688,32993832.56743212
60,2020-01-01,32504911.3289739,33263475.395591337,32904633.13246845
61,2021-01-01,32664398.311139353,33448340.835881196,33053338.046517808
62,2022-01-01,32687264.982288867,33454122.244711865,33067909.776961546
63,2023-01-01,32628123.25624596,33430669.5963115,33030701.154414076
64,2024-01-01,32591609.362644225,33327893.47029663,32941501.719454046
65,2025-01-01,32692634.3203321,33460662.603477128,33090206.63349928
66,2026-01-01,32676687.389416806,33504649.23239916,33104778.363945875
67,2027-01-01,32615942.87201189,33459141.387207597,33067569.74139993
68,2028-01-01,32526574.79290712,33434318.346237827,32978370.306436963
69,2029-01-01,32679371.064703498,33581299.65810488,33127075.220485628
70,2030-01-01,32693322.548613057,33634909.530375764,33141646.950929057
