,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,183994108.76206037,188602887.8120404,186230145.78088933
1,1961-01-01,186465201.58492437,191316757.0446725,188927748.41721308
2,1962-01-01,188479677.40717274,193164205.36972263,190827058.4644768
3,1963-01-01,190122111.9587399,194702474.12348273,192416038.9858031
4,1964-01-01,191233355.26144743,196141788.99296016,193695477.54366633
5,1965-01-01,192218568.98711008,196736107.6223181,194535567.92998818
6,1966-01-01,192138787.24638987,196961719.402887,194582440.89733264
7,1967-01-01,191946578.50856805,196599323.67572555,194318560.52158058
8,1968-01-01,191446842.9785982,195956575.95292792,193745138.18236563
9,1969-01-01,192233047.73189068,196897321.13818344,194578577.54797912
10,1970-01-01,192086407.7349832,196809910.10940146,194617702.35733184
11,1971-01-01,192066403.1258301,196651384.43955266,194348539.5536509
12,1972-01-01,191526658.1816813,196023760.11508495,193768788.22439384
13,1973-01-01,192322523.04795992,197084598.57882392,194600059.79548636
14,1974-01-01,192585322.11129627,196900840.98518234,194637169.71417493
15,1975-01-01,191994786.75078964,196806791.2746868,194365992.0198297
16,1976-01-01,191446027.45556295,196224897.0930564,193784928.75303355
17,1977-01-01,192217768.417756,196909898.6017567,194614884.79223746
18,1978-01-01,192401366.271111,196859455.90174884,194651650.86282358
19,1979-01-01,191926686.36851203,196672736.70391732,194380129.32037562
20,1980-01-01,191567437.33243856,196138933.0912965,193798868.20812687
21,1981-01-01,192348865.7269667,196822687.4432225,194628625.85983685
22,1982-01-01,192458933.4275644,196953205.5390955,194665194.3239183
23,1983-01-01,192100605.77725694,196791593.42236704,194393475.17496794
24,1984-01-01,191562170.98171312,196168500.58267206,193812214.0604105
25,1985-01-01,192329935.83576897,196933203.56534368,194641971.70814395
26,1986-01-01,192550152.34783652,197016481.03055692,194678540.16842467
27,1987-01-01,191924749.16503578,196644911.18145514,194406821.01635113
28,1988-01-01,191390445.24051216,196065651.48383033,193825559.90080968
29,1989-01-01,192296039.4194101,196845231.33939433,194655317.54965252
30,1990-01-01,192607274.92817235,196925217.9198736,194691886.01104337
31,1991-01-01,192163824.25725538,196733953.97062126,194420166.85871032
32,1992-01-01,191579790.94506013,196204343.73926672,193838905.7429157
33,1993-01-01,192299454.2258897,197044968.73370472,194668663.39122516
34,1994-01-01,192431136.40210667,196983874.2755711,194705231.85207543
35,1995-01-01,192242654.95426488,196609618.1087788,194433512.7012047
36,1996-01-01,191571180.77052772,195967915.1646428,193852251.58687937
37,1997-01-01,192402124.7083999,196900224.31391144,194682009.23823252
38,1998-01-01,192468516.4580491,197047622.61020198,194718577.70212364
39,1999-01-01,192214986.4724722,196843253.15696868,194446860.24166837
40,2000-01-01,191598464.80501744,196117232.9802678,193865606.13585535
41,2001-01-01,192542535.92356947,196849328.70880777,194695370.81319478
42,2002-01-01,192415358.36343074,197091956.46557036,194731988.7739591
43,2003-01-01,192200306.98055345,196752590.89420596,194460319.12168232
44,2004-01-01,191530594.21035787,196157838.94217196,193879736.04460675
45,2005-01-01,192281755.06207502,197033534.03851727,194710173.58911926
46,2006-01-01,192419600.71839178,197099877.5571104,194747540.7670184
47,2007-01-01,192156920.0223527,196679926.8082976,194476620.33190143
48,2008-01-01,191762499.10294515,196492899.02871114,193957912.21395597
49,2009-01-01,192614602.7518797,197156769.2347139,194850394.2380347
50,2010-01-01,192737208.01130667,197259400.44189274,194949515.6965893
51,2011-01-01,192532647.16085067,197020064.68489477,194740349.5421036
52,2012-01-01,192167755.44606373,196580427.93139613,194221641.4241647
53,2013-01-01,192932784.6490789,197470353.59042475,195114123.448242
54,2014-01-01,192606415.64719284,197393202.35592383,195213244.9068036
55,2015-01-01,192650761.7309492,197449790.5828138,195004078.75231966
56,2016-01-01,192045976.95678562,196868305.15956643,194485370.63437247
57,2017-01-01,193044119.26181868,197531709.8762252,195377852.6584585
58,2018-01-01,193021641.69968888,197773960.2423405,195476974.1170131
59,2019-01-01,192852015.5672129,197487978.04607323,195267807.96254304
60,2020-01-01,192363704.9938196,196891714.4340401,194749099.8445843
61,2021-01-01,193213969.1058449,198097232.76844826,195641581.86867678
62,2022-01-01,193308873.04255152,197919298.80694544,195740703.32722577
63,2023-01-01,193313926.0088706,197811845.49461055,195531537.17274335
64,2024-01-01,192609072.0536962,197394775.56025213,195012829.05480626
65,2025-01-01,193611790.6326641,198427442.5350644,195905311.07887417
66,2026-01-01,193635206.57450163,198329184.49587697,196004432.53744018
67,2027-01-01,193442906.91853285,198405103.9378008,195795266.38296688
68,2028-01-01,192826296.5142306,197994003.69837558,195276558.26501223
69,2029-01-01,193550868.46395728,198976016.7857251,196169040.28910062
70,2030-01-01,193397118.37408134,199286983.81485468,196268161.74764776
