,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,42866093.76251758,43913949.54547353,43379513.2244737
1,1961-01-01,43505913.29447971,44545309.28483555,44008744.1485386
2,1962-01-01,43899077.87033157,44973511.354236774,44452348.11443348
3,1963-01-01,44294790.20610438,45328059.322973765,44824085.30313505
4,1964-01-01,44601703.333502315,45676325.52150501,45123845.54940413
5,1965-01-01,44779724.810268246,45805038.40869182,45319064.30870508
6,1966-01-01,44791254.79214048,45916646.481014095,45329841.935423
7,1967-01-01,44714676.70010213,45766559.359472096,45268385.08259183
8,1968-01-01,44654463.93202507,45678082.68450488,45134951.28732823
9,1969-01-01,44805757.59544198,45899236.40149966,45328681.61284672
10,1970-01-01,44836401.20980808,45892775.44123587,45337726.96021758
11,1971-01-01,44748703.26572425,45803015.69696367,45275088.96969236
12,1972-01-01,44614951.05250259,45662673.067793936,45140417.27016586
13,1973-01-01,44783610.73424441,45851143.71696227,45333842.08205513
14,1974-01-01,44776287.07714394,45900200.633888066,45342459.10119975
15,1975-01-01,44739354.040312394,45821925.037534714,45279392.78244829
16,1976-01-01,44626215.22723243,45663869.68020289,45144282.2537582
17,1977-01-01,44754461.67365823,45882367.36901637,45337267.034212165
18,1978-01-01,44827454.104596086,45854464.95689316,45345816.76107049
19,1979-01-01,44797141.964150034,45825288.28821238,45282683.15003264
20,1980-01-01,44632490.819807656,45657073.130151086,45147572.59643261
21,1981-01-01,44802733.56919917,45896353.33028239,45340557.35190861
22,1982-01-01,44798839.60507557,45872997.80650969,45349107.07843091
23,1983-01-01,44763633.249267496,45823909.57043336,45285973.46705757
24,1984-01-01,44634712.19714996,45703897.688827924,45150862.91321869
25,1985-01-01,44767999.83786491,45877672.6566454,45343847.6685719
26,1986-01-01,44800030.27981365,45877678.80005186,45352397.395177625
27,1987-01-01,44758453.528899126,45786723.06696158,45289263.78374329
28,1988-01-01,44614039.7605746,45681031.37798853,45154153.22987532
29,1989-01-01,44797622.671810284,45897885.68572959,45347137.98499846
30,1990-01-01,44818044.7639225,45921871.682964645,45355687.711375594
31,1991-01-01,44759972.27291958,45806623.354730465,45292554.10007691
32,1992-01-01,44629378.5435915,45649748.25606904,45157443.54634609
33,1993-01-01,44820870.3692953,45861984.224713825,45350428.30151916
34,1994-01-01,44816735.449813105,45895276.906740054,45358978.02794409
35,1995-01-01,44798240.83275876,45808140.82229229,45295844.41632464
36,1996-01-01,44631076.849868916,45669889.568341665,45160733.862274654
37,1997-01-01,44842312.84034621,45887730.50454952,45353718.61755418
38,1998-01-01,44872951.36539203,45882219.16256707,45362268.34408656
39,1999-01-01,44755937.688619696,45823005.976539664,45299138.61580196
40,2000-01-01,44596502.162266746,45692217.45396447,45164032.99892668
41,2001-01-01,44851515.781616114,45878677.77302712,45357022.704652235
42,2002-01-01,44865988.12097135,45909005.30251741,45365616.71394377
43,2003-01-01,44764998.799176864,45867173.269471936,45302527.3853375
44,2004-01-01,44637950.67464571,45698431.72637152,45167803.9075213
45,2005-01-01,44827494.00685362,45870308.679694265,45361176.79926244
46,2006-01-01,44853244.43110329,45894947.709163964,45370621.39146819
47,2007-01-01,44791590.21038198,45796862.59660455,45308382.64578195
48,2008-01-01,44675522.650018625,45741272.77350851,45187112.07990711
49,2009-01-01,44857396.22600675,45893522.152313724,45393974.74088261
50,2010-01-01,44892656.41801526,45939271.43811038,45416364.45533712
51,2011-01-01,44847748.518514775,45904828.92283438,45367070.83189399
52,2012-01-01,44706793.39422214,45801062.79475485,45245800.26602067
53,2013-01-01,44913345.339468054,45992709.500089444,45452662.92699587
54,2014-01-01,44933057.16106739,45987654.999372646,45475052.64145201
55,2015-01-01,44848773.99366953,45938661.608855896,45425759.01800929
56,2016-01-01,44760320.34647688,45821237.8804871,45304488.45213404
57,2017-01-01,45012885.70377928,46027164.8948514,45511351.11311126
58,2018-01-01,45036107.3836008,46098233.86109138,45533740.82756577
59,2019-01-01,44981084.86011001,45974212.58302882,45484447.204126306
60,2020-01-01,44780610.48959404,45890885.9364685,45363176.63824834
61,2021-01-01,45030780.44936012,46132720.44694491,45570039.299227074
62,2022-01-01,45032368.493904784,46153182.76104368,45592429.013680264
63,2023-01-01,45010291.413777895,46090358.62855549,45543135.390237905
64,2024-01-01,44873540.24133787,45975348.56612636,45421864.82436501
65,2025-01-01,45038272.90212555,46155654.7002332,45628727.485338
66,2026-01-01,45071639.30747901,46212047.41501681,45651117.19979517
67,2027-01-01,45029739.09862101,46174561.818562955,45601823.576354936
68,2028-01-01,44861617.789053395,46108958.484816946,45480553.01047796
69,2029-01-01,45037333.68780892,46323620.78392322,45687415.67145571
70,2030-01-01,45060031.660483025,46366331.07316476,45709805.38590847
