,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,1551597878.798189,1587908138.0545232,1570202983.5034056
1,1961-01-01,1574446600.464204,1612997400.768051,1592984432.1567264
2,1962-01-01,1588723604.635141,1628196235.3237782,1609075609.2020621
3,1963-01-01,1603945883.2553778,1643832665.666873,1622555422.1069205
4,1964-01-01,1613758595.4819827,1652823331.9590964,1633413884.2722635
5,1965-01-01,1622705991.393567,1659821009.4630132,1640426081.1315928
6,1966-01-01,1621364597.413032,1659194743.926242,1640791091.7703588
7,1967-01-01,1618292473.6189222,1657364049.1729221,1638543363.896052
8,1968-01-01,1614553400.7102735,1652921528.5085237,1633674285.282231
9,1969-01-01,1621736632.3195388,1660782018.937773,1640666356.1920474
10,1970-01-01,1621497907.0742342,1661124124.6776676,1640990997.4562798
11,1971-01-01,1618724566.219506,1657661236.605021,1638705101.4649363
12,1972-01-01,1613999383.790948,1651908316.1084526,1633780041.407621
13,1973-01-01,1623227881.8303638,1658468794.3620026,1640733896.1612926
14,1974-01-01,1623443607.0509953,1661743513.303107,1641040128.140647
15,1975-01-01,1619878920.4640512,1658032486.9509854,1638735822.8644247
16,1976-01-01,1613205104.306664,1652885095.7671878,1633808632.6251342
17,1977-01-01,1621879763.6556818,1661640871.4149494,1640760351.3607144
18,1978-01-01,1621559896.189239,1658948848.4468477,1641056090.846297
19,1979-01-01,1619562754.4283419,1657808791.8853953,1638741293.0763004
20,1980-01-01,1614520207.7071295,1655090723.0941985,1633805135.2872362
21,1981-01-01,1620122126.2400694,1659272850.2472103,1640747861.9044213
22,1982-01-01,1621092388.8705332,1659637023.477313,1641043573.7696495
23,1983-01-01,1619827528.1703885,1658038787.3929949,1638728748.3793182
24,1984-01-01,1614349847.9736543,1653603647.0642385,1633792572.2064962
25,1985-01-01,1620768062.187333,1658928987.2436402,1640735280.4402165
26,1986-01-01,1620956314.1840665,1661125078.0825477,1641030992.312993
27,1987-01-01,1620053960.4052444,1658151545.0605185,1638716166.909164
28,1988-01-01,1616054775.5785751,1652906867.6934285,1633779990.7657773
29,1989-01-01,1620961738.657559,1659210226.6392007,1640722699.0301878
30,1990-01-01,1621499158.650075,1660342736.626865,1641018410.9336019
31,1991-01-01,1618872009.9366353,1659054340.4410772,1638703585.6456525
32,1992-01-01,1614325838.0586596,1653756202.5670319,1633767409.6182005
33,1993-01-01,1621209862.491839,1660961165.8933587,1640710117.8122218
34,1994-01-01,1621228788.4839187,1659540631.6294134,1641005829.645366
35,1995-01-01,1617821979.752616,1657404340.0481408,1638691004.3856041
36,1996-01-01,1614649672.5875993,1653098243.311831,1633754828.3863986
37,1997-01-01,1620132344.0124493,1660433843.4838183,1640697536.703835
38,1998-01-01,1621249648.7214832,1660276104.8837724,1640993248.6601048
39,1999-01-01,1619733501.1803782,1658331874.0573676,1638678423.368619
40,2000-01-01,1614688144.7541103,1653499885.7419207,1633742247.336501
41,2001-01-01,1620944920.9570594,1661764347.7269993,1640684955.6606328
42,2002-01-01,1620732806.0357637,1660081111.7865434,1640985108.4335284
43,2003-01-01,1620069367.5923657,1657422276.5517848,1638674723.9507847
44,2004-01-01,1613184255.4709718,1652866536.1701536,1633745550.460814
45,2005-01-01,1620418853.1757832,1660336249.7804933,1640695280.5121481
46,2006-01-01,1621252354.6613705,1660117022.500649,1641016210.3608012
47,2007-01-01,1617934707.171625,1659056474.7410805,1638726602.9540293
48,2008-01-01,1613824458.4733381,1652804518.8822668,1634311470.3040545
49,2009-01-01,1623470372.0046663,1659297403.4077044,1641776649.526454
50,2010-01-01,1623361808.6323376,1660406988.9091446,1642593404.8715994
51,2011-01-01,1621504678.2721736,1659399979.238603,1640799622.961112
52,2012-01-01,1618030802.3191392,1655690760.374015,1636384490.3111935
53,2013-01-01,1623783120.3320477,1662840708.239502,1643849669.5335815
54,2014-01-01,1625340685.6592546,1663546987.2925124,1644666424.8787866
55,2015-01-01,1621929661.3019512,1661356957.7706072,1642872642.9683142
56,2016-01-01,1618817026.964473,1657797080.738199,1638457510.3183248
57,2017-01-01,1627684028.8882818,1664419046.3742466,1645922689.5407875
58,2018-01-01,1628597990.7686734,1665292312.45373,1646739444.8859324
59,2019-01-01,1626441882.431741,1665253531.089139,1644945662.9755795
60,2020-01-01,1619956179.3995218,1659888537.94455,1640530530.3254905
61,2021-01-01,1627600673.971372,1666520917.641425,1647995709.5480084
62,2022-01-01,1631184572.5595684,1669572103.4860997,1648812464.8931057
63,2023-01-01,1627328566.0469337,1667276338.4213836,1647018682.9826465
64,2024-01-01,1622953988.6354856,1661746807.359096,1642603550.3327436
65,2025-01-01,1630066974.3304286,1669860950.1384308,1650068729.5550504
66,2026-01-01,1629216400.6773608,1670293106.445042,1650885484.9002936
67,2027-01-01,1627644529.8209643,1670273970.939102,1649091702.9899125
68,2028-01-01,1621577079.7799807,1665930904.2836297,1644676570.339859
69,2029-01-01,1629709990.9174604,1676086141.9522057,1652141749.5623417
70,2030-01-01,1628362447.6420777,1676031742.0688744,1652958504.9074225
