,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,64123.32441637461,66031.26347537508,65074.62871665484
1,1961-01-01,64591.71680595246,66586.76475605868,65566.14449743985
2,1962-01-01,64968.212961138925,66826.21699910937,65847.42458243784
3,1963-01-01,65043.445492722814,66964.49089054108,65971.52055233155
4,1964-01-01,65030.218395047086,66910.4161983294,65938.37124656551
5,1965-01-01,65506.242134419306,67363.46776876027,66428.41147800561
6,1966-01-01,65719.68525091918,67644.78431871705,66708.22004521453
7,1967-01-01,65824.92728124272,67712.47146814768,66830.08966638644
8,1968-01-01,65774.44266492977,67740.74847060011,66794.71401189853
9,1969-01-01,66087.58147855756,67963.46788578064,67071.7982980604
10,1970-01-01,66157.19602556457,68054.23448356359,67138.7141723469
11,1971-01-01,66092.40320158596,67951.03322330135,67048.8186717408
12,1972-01-01,65896.58941166937,67774.45597920618,66801.67787133198
13,1973-01-01,66076.10543402817,68033.22666575505,67078.24211798864
14,1974-01-01,66216.47370018791,68133.57467338559,67145.15796680975
15,1975-01-01,66170.65848432168,68004.38170074324,67055.26244073833
16,1976-01-01,65852.05595550795,67800.28228442273,66808.12163916025
17,1977-01-01,66158.23206227305,68080.62159304728,67084.68588464441
18,1978-01-01,66178.23281081655,68067.09752470712,67151.60173333879
19,1979-01-01,66013.56580181213,68014.1572500997,67061.70620714063
20,1980-01-01,65864.11550000848,67794.03907006988,66814.56540577735
21,1981-01-01,66095.31987016491,68068.35243241335,67091.12965147728
22,1982-01-01,66271.73533558476,68196.73575489805,67158.04550114983
23,1983-01-01,66102.38726748934,68009.32037622781,67068.1499759304
24,1984-01-01,65814.49042642381,67745.24819997871,66821.00917521112
25,1985-01-01,66106.1348485502,68057.31146856927,67097.5734215432
26,1986-01-01,66197.11506464124,68200.03915170675,67164.48927136193
27,1987-01-01,66156.70944947757,68115.18914119067,67074.81085350653
28,1988-01-01,65823.66150788718,67781.98085939718,66827.88715998936
29,1989-01-01,66144.37584009381,68028.77318463779,67104.72966441912
30,1990-01-01,66198.5097606749,68086.90654528103,67171.92301206931
31,1991-01-01,66106.68932272088,68021.83846659222,67082.67660077296
32,1992-01-01,65872.80345840858,67782.43908766177,66836.18491381721
33,1993-01-01,66153.12639905536,68035.89858319589,67114.18608951198
34,1994-01-01,66247.29194670518,68175.3513393298,67182.53494265514
35,1995-01-01,66184.34336759227,68162.11563325163,67118.80719024334
36,1996-01-01,65937.77532665254,67821.89488945062,66897.83416217413
37,1997-01-01,66316.1802279469,68100.04252879864,67201.03758015111
38,1998-01-01,66370.51867707889,68238.77098080453,67294.51981699257
39,1999-01-01,66473.55443320124,68317.06561058937,67424.25107344806
40,2000-01-01,66504.02028040928,68321.5007605869,67397.62171685889
41,2001-01-01,66978.67286257954,68845.14941595422,67895.30154827712
42,2002-01-01,67243.26041112194,69068.03835225572,68183.00300518842
43,2003-01-01,67352.99324936356,69268.19762971175,68313.89308720452
44,2004-01-01,67407.47995459361,69243.16157607005,68287.53789366178
45,2005-01-01,67833.63214367245,69765.33697072798,68785.49263925798
46,2006-01-01,68199.55495920609,70024.226131987,69073.19409618307
47,2007-01-01,68214.98541878781,70117.87172448715,69204.08417822204
48,2008-01-01,68234.3011917969,70182.98654397162,69177.72898397822
49,2009-01-01,68718.92329206459,70658.79505313294,69675.68372887195
50,2010-01-01,69033.7747308662,70848.34080612897,69963.38518518192
51,2011-01-01,69154.83808177164,70994.00225564808,70094.27526659697
52,2012-01-01,69114.72221000084,71014.42338041373,70067.92007235548
53,2013-01-01,69629.71453934087,71554.92269724172,70565.87481724854
54,2014-01-01,69911.97192891868,71763.23958179506,70853.57627356112
55,2015-01-01,70050.65017491308,71834.9581736454,70984.46635497663
56,2016-01-01,69960.08831227428,71886.22493977543,70958.1111607324
57,2017-01-01,70455.94948391011,72414.33034470578,71456.06590562845
58,2018-01-01,70773.63267290339,72674.19506998482,71743.7673619384
59,2019-01-01,70888.70159391848,72845.40977070501,71874.65744335871
60,2020-01-01,70894.24323291965,72791.81877938796,71848.30224911078
61,2021-01-01,71356.20078078193,73289.50059600103,72346.25699400915
62,2022-01-01,71623.05703844535,73506.13453026903,72633.95845031698
63,2023-01-01,71828.57913460482,73754.44255334356,72764.84853173312
64,2024-01-01,71731.9328121313,73711.56087182707,72738.49333749198
65,2025-01-01,72279.12804096464,74244.02046910964,73236.44808238192
66,2026-01-01,72520.69753586149,74553.06588331681,73524.1495386961
67,2027-01-01,72670.69807060584,74676.42764143164,73655.03962011517
68,2028-01-01,72669.35794134883,74583.1514252671,73628.68442586869
69,2029-01-01,73099.35720390412,75082.69074687676,74126.63917076564
70,2030-01-01,73410.38436663322,75421.00802275908,74414.34062707264
