,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,48354303.773935564,49563703.074867934,48943230.62183845
1,1961-01-01,49041613.46141873,50265226.98956006,49652924.012777135
2,1962-01-01,49564838.67255774,50768564.81601935,50152679.74502928
3,1963-01-01,49989964.5095444,51229017.39808966,50571890.88861648
4,1964-01-01,50314201.73341797,51545096.16343075,50910244.159802265
5,1965-01-01,50516096.44005638,51728246.26933197,51129492.7476313
6,1966-01-01,50506756.8249161,51718405.23187983,51140143.689897224
7,1967-01-01,50475504.166326076,51727582.94688083,51069775.44458481
8,1968-01-01,50266600.93066392,51517962.45925089,50918549.326871015
9,1969-01-01,50546531.529066384,51777789.34766391,51137139.66077831
10,1970-01-01,50504905.3177477,51728248.81799469,51146919.06334476
11,1971-01-01,50442004.90605454,51681351.573101334,51076167.416245945
12,1972-01-01,50281042.67247798,51550652.23562362,50924185.72933494
13,1973-01-01,50471570.44045302,51775324.84547305,51142187.20263679
14,1974-01-01,50556399.81862757,51759011.89437843,51151540.42339682
15,1975-01-01,50430859.75999431,51700972.78526914,51080362.59449153
16,1976-01-01,50355307.069702305,51544930.5624149,50928096.6465287
17,1977-01-01,50472892.83518146,51751223.084631026,51145813.07998129
18,1978-01-01,50548151.15153081,51740596.26425947,51154936.04951967
19,1979-01-01,50447322.21793332,51733911.9156557,51083527.96939269
20,1980-01-01,50321924.45194201,51517289.51081933,50931262.01353762
21,1981-01-01,50572232.84817917,51741791.59789443,51148978.4390766
22,1982-01-01,50537500.08008225,51755827.72875165,51158101.40475926
23,1983-01-01,50481346.641740926,51713840.58514157,51086693.320777126
24,1984-01-01,50318073.400310084,51547403.03639462,50934427.36331381
25,1985-01-01,50543157.11506601,51713240.42497432,51152143.78601857
26,1986-01-01,50550482.23519337,51736487.44363704,51161266.74940332
27,1987-01-01,50492090.94914431,51715907.451753505,51089858.66356683
28,1988-01-01,50317459.65380811,51531870.61746866,50937592.70532763
29,1989-01-01,50571419.536521755,51758353.28869062,51155309.12730444
30,1990-01-01,50533202.44889535,51782488.68404119,51164432.08996418
31,1991-01-01,50483794.24239274,51712397.77739185,51093024.002050474
32,1992-01-01,50323490.619555555,51533999.97895592,50940758.04173577
33,1993-01-01,50585132.46293311,51769407.53102883,51158474.46246828
34,1994-01-01,50555110.16770662,51775697.25332396,51167597.42388488
35,1995-01-01,50500607.74365295,51754160.82997344,51096189.33688509
36,1996-01-01,50319322.19964799,51553223.57492894,50943923.37748605
37,1997-01-01,50575162.541070014,51737699.210383534,51161639.80035442
38,1998-01-01,50571709.94005945,51769138.95324663,51170762.76390247
39,1999-01-01,50508500.771765485,51689756.60164128,51099355.961134925
40,2000-01-01,50365457.01943637,51573091.35239518,50947142.54530685
41,2001-01-01,50542460.65487022,51755872.14323893,51164911.65481762
42,2002-01-01,50552961.68942931,51807204.974565685,51174248.590706505
43,2003-01-01,50503649.49280491,51691215.9713137,51103054.47692819
44,2004-01-01,50357072.826131515,51581987.078995116,50951115.49564744
45,2005-01-01,50566644.65933462,51718854.98060826,51169159.791581176
46,2006-01-01,50579518.131910846,51782612.62541968,51191439.95447545
47,2007-01-01,50555334.973037176,51738744.244975284,51133189.067709014
48,2008-01-01,50368671.71371601,51584964.86463366,50994410.08388804
49,2009-01-01,50610299.63178994,51806474.78265613,51225650.43206914
50,2010-01-01,50667283.52198163,51827566.629814684,51248260.370315745
51,2011-01-01,50589412.90903165,51801605.41865717,51190339.258895315
52,2012-01-01,50445773.345129415,51672415.4909976,51051560.27507606
53,2013-01-01,50650015.357338116,51868251.36048899,51282800.62325682
54,2014-01-01,50700247.56782082,51894119.596068636,51305410.56150523
55,2015-01-01,50647237.82503037,51868322.253516145,51247489.450085275
56,2016-01-01,50420725.52233701,51700743.71830244,51108710.46626387
57,2017-01-01,50765608.68682437,51948066.25296889,51339950.81444688
58,2018-01-01,50761953.829151735,51961707.98561058,51362560.75269346
59,2019-01-01,50714496.759611905,51895961.44509758,51304639.64127714
60,2020-01-01,50591974.67563739,51748469.26325272,51165860.657452695
61,2021-01-01,50780291.23797094,51974662.64833569,51397101.00563739
62,2022-01-01,50789822.38437105,51974483.96954857,51419710.94388253
63,2023-01-01,50784788.88269821,51999282.515033916,51361789.832462974
64,2024-01-01,50591475.56119221,51807513.369100235,51223010.848644175
65,2025-01-01,50867303.18497755,52120129.689351104,51454251.19682248
66,2026-01-01,50857514.92957778,52156344.25971568,51476861.13507205
67,2027-01-01,50759831.226276696,52107925.03657965,51418940.023654856
68,2028-01-01,50636490.740482174,52026786.63688713,51280161.03983151
69,2029-01-01,50830538.04138839,52271970.04034275,51511401.38801512
70,2030-01-01,50836974.38289068,52312110.37543578,51534011.326259784
