,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,873022261.6820264,897646906.2691274,885166442.3662233
1,1961-01-01,880676178.9467777,904664158.1722156,893599203.7760869
2,1962-01-01,886584388.5638707,910261227.9362711,898631343.8571317
3,1963-01-01,889351562.9686513,914828214.813522,902069713.3383006
4,1964-01-01,891261518.0359735,915867509.5681024,903908847.1440083
5,1965-01-01,900944444.2759306,924847578.6274909,912311155.7120991
6,1966-01-01,906175898.3834099,930574520.9105544,917312926.15586
7,1967-01-01,902988723.0428247,927303995.4109982,916081785.2915103
8,1968-01-01,901132705.5538841,924248364.618998,913251408.7517009
9,1969-01-01,904111177.5336962,929022559.5094321,917000789.2031329
10,1970-01-01,905326760.9113826,929202048.0585698,917356465.874667
11,1971-01-01,903476777.1665721,927333072.1535758,916118748.4576024
12,1972-01-01,901841299.5190743,925228657.2814289,913281642.2246884
13,1973-01-01,905484100.1313975,928563031.848774,917024974.4365644
14,1974-01-01,905577732.0290462,928503080.5814006,917380497.97078
15,1975-01-01,904313759.8871613,927800807.5782496,916142627.4163965
16,1976-01-01,900753020.4166526,924828121.6313773,913305521.1839076
17,1977-01-01,905568147.4638369,928791249.9049357,917048853.3962098
18,1978-01-01,904909401.5520196,929316328.8640404,917404376.9285585
19,1979-01-01,903998869.4322329,928110441.4986707,916166506.3723066
20,1980-01-01,901730976.5771688,925601582.1005194,913329400.1408113
21,1981-01-01,905601406.0439777,929513518.2844366,917072732.3541142
22,1982-01-01,906570018.5950612,929993069.7843727,917428255.8910047
23,1983-01-01,904442839.0784833,928517211.2490577,916190385.3393044
24,1984-01-01,901489245.5763189,925439333.573012,913353279.1179934
25,1985-01-01,905134666.0834504,928963524.1825563,917096611.3383453
26,1986-01-01,904457113.8935562,928560168.0054271,917452134.8779315
27,1987-01-01,903942679.7579391,929399965.2499281,916214264.3268075
28,1988-01-01,901922856.3278832,924925306.8087547,913377158.100199
29,1989-01-01,906181305.2955049,928246164.6284678,917120497.2107934
30,1990-01-01,905737441.5012683,929620937.1936723,917476027.621815
31,1991-01-01,903981413.9332044,927462566.9712712,916238163.950014
32,1992-01-01,901433433.1928939,926158218.0204232,913401064.6027589
33,1993-01-01,905074791.0599574,928708479.6501365,917144534.1302358
34,1994-01-01,905556612.846649,929498545.6079905,917500194.6017681
35,1995-01-01,903990064.6910818,928184179.2881773,916262468.9834036
36,1996-01-01,901546196.8652983,926764662.6933763,913425507.6896151
37,1997-01-01,904979512.0459826,929344461.4172429,917168987.3544413
38,1998-01-01,905047107.6214284,929433364.3280225,917524657.9356494
39,1999-01-01,904176701.8580407,928295579.1653199,916291434.6388075
40,2000-01-01,901104849.3078064,925440154.7398255,913460122.5332686
41,2001-01-01,905960535.4886461,930209300.4530059,917209264.746837
42,2002-01-01,904946977.2702302,929704870.4426433,917572664.1906251
43,2003-01-01,903846884.7042146,928416993.5174882,916342669.5457797
44,2004-01-01,901488233.6926517,924875019.506899,913588172.1493443
45,2005-01-01,906064740.1407249,929928188.0810845,917414339.5232773
46,2006-01-01,905097748.3700463,930188822.0016092,917855444.3025334
47,2007-01-01,904263622.1536003,928894855.3021094,916703154.993273
48,2008-01-01,901592786.9728719,925322787.4602878,913959787.971912
49,2009-01-01,904238291.1340679,929685793.645242,917797116.2150989
50,2010-01-01,906777091.3725615,930330095.489434,918246378.957814
51,2011-01-01,905260568.7922128,929200966.2443056,917102247.6118991
52,2012-01-01,902074646.1989168,926770857.6697273,914358880.5905687
53,2013-01-01,905597509.3862519,929502936.9255272,918196208.8337488
54,2014-01-01,906117704.5037997,930560143.6294767,918645471.576497
55,2015-01-01,905039533.0556593,929459805.9535791,917501340.2305896
56,2016-01-01,902597193.8667116,926964694.5775974,914757973.2092214
57,2017-01-01,906348167.6690753,929215499.7035396,918595301.4524416
58,2018-01-01,907556513.3244194,931401374.7503037,919044564.1951566
59,2019-01-01,905802559.0467068,929283719.2166083,917900432.8493141
60,2020-01-01,903354864.5154006,926483513.5655309,915157065.8278927
61,2021-01-01,907054681.9783566,931441113.6346751,918994394.0711433
62,2022-01-01,908645451.226535,931129534.3662785,919443656.8138318
63,2023-01-01,906685867.1106687,930335498.276126,918299525.467932
64,2024-01-01,903208849.2560393,927654276.6570817,915556158.446609
65,2025-01-01,906616564.8732985,931385611.7254064,919393486.689746
66,2026-01-01,907872719.8146808,932404167.331506,919842749.4325148
67,2027-01-01,906312278.9782262,930745821.820272,918698618.0866563
68,2028-01-01,903488478.4216236,927282172.6512983,915955251.0652546
69,2029-01-01,907279741.0238636,931708263.0251344,919792579.3084859
70,2030-01-01,907770550.9756064,932478867.9945008,920241842.0511649
