,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,31140425.23597102,32161367.779254913,31644976.361933082
1,1961-01-01,31354171.124615192,32417737.445728105,31901387.641319685
2,1962-01-01,31557774.871375017,32622556.426032506,32062334.576007273
3,1963-01-01,31547221.12915664,32664945.708047748,32108752.3726431
4,1964-01-01,31538285.83696113,32582551.049871076,32040451.155234598
5,1965-01-01,31807013.560813144,32822063.111496825,32296487.049679093
6,1966-01-01,31932934.90712315,32984487.00441579,32457059.625066612
7,1967-01-01,31976398.9271668,32996951.0416696,32502648.231041744
8,1968-01-01,31897533.429966524,32941323.623140484,32433517.82297247
9,1969-01-01,32083860.867683567,33120158.251557566,32590705.39183608
10,1970-01-01,32111968.725964963,33157441.89316687,32652422.950351655
11,1971-01-01,32088692.204000056,33143461.783172116,32599623.719660006
12,1972-01-01,31945109.840070322,32937407.634435125,32431989.310708374
13,1973-01-01,32088962.792163346,33134643.109997112,32588782.870144527
14,1974-01-01,32129136.797783036,33187039.767486878,32650273.43952161
15,1975-01-01,32074752.64073305,33116131.099406566,32597247.219691545
16,1976-01-01,31923087.361481052,32971982.927154977,32429431.761896886
17,1977-01-01,32068601.897713207,33108999.78076789,32586043.776465766
18,1978-01-01,32081821.0242918,33139715.501149386,32647286.68118329
19,1979-01-01,32061059.593608074,33148596.47434795,32594012.79669363
20,1980-01-01,31893979.79708406,32925098.21674761,32426010.10567646
21,1981-01-01,32086613.9986403,33101598.09032626,32582434.374055404
22,1982-01-01,32075701.198730174,33147672.8935978,32643655.588888332
23,1983-01-01,32051321.159538407,33104386.80591718,32590360.014514297
24,1984-01-01,31850733.921672985,32950538.066875853,32422289.42181647
25,1985-01-01,32097083.029456817,33079005.40812655,32578413.81608944
26,1986-01-01,32134613.10134468,33190511.518035844,32639347.87354552
27,1987-01-01,32075380.75068795,33083354.030760847,32585735.064748358
28,1988-01-01,31879737.348730356,32935898.38726321,32417403.241905697
29,1989-01-01,32042942.089330323,33120045.739413228,32572604.693763763
30,1990-01-01,32116476.65913596,33176218.81256302,32632618.33050673
31,1991-01-01,32039320.10535452,33074164.992145076,32577682.897137158
32,1992-01-01,31884585.533087667,32962741.06715166,32408028.449723363
33,1993-01-01,31946244.888259962,33007602.75248596,32477656.428144008
34,1994-01-01,31925790.50606408,32990883.6006985,32452330.398751915
35,1995-01-01,31767502.560777303,32775207.451763272,32296929.058906853
36,1996-01-01,31510670.439877562,32582949.66746796,32026808.70501831
37,1997-01-01,31578494.571706034,32598089.930986628,32080759.279096086
38,1998-01-01,31519254.529838342,32601080.149004098,32039798.679799728
39,1999-01-01,31345456.590696327,32408199.239793483,31884321.28832424
40,2000-01-01,31101105.145439193,32121529.922571287,31614124.868035942
41,2001-01-01,31166732.47719673,32157330.158782285,31668075.424323905
42,2002-01-01,31087467.2100842,32130985.375350103,31627114.806734405
43,2003-01-01,30923747.711099435,32016872.85944426,31471637.39993628
44,2004-01-01,30668372.514445733,31673593.351403784,31201622.42794048
45,2005-01-01,30740185.803707235,31788107.38008789,31255754.92963907
46,2006-01-01,30676140.381935067,31788395.289043847,31215470.28789427
47,2007-01-01,30592289.41864649,31603664.184853163,31060668.856945697
48,2008-01-01,30419472.083731387,31396216.93873284,30899400.255047858
49,2009-01-01,30546131.710193116,31567656.310821716,31062577.062105697
50,2010-01-01,30609950.44002061,31618496.276611373,31130544.263460293
51,2011-01-01,30583512.94913163,31621487.123829287,31083994.675606474
52,2012-01-01,30409088.600253504,31452562.772026427,30922726.073709857
53,2013-01-01,30528672.93677938,31565685.842628676,31085902.88076719
54,2014-01-01,30650373.353233196,31672187.148094695,31153870.08212322
55,2015-01-01,30599018.405452985,31645997.282256313,31107320.494269524
56,2016-01-01,30434810.73755537,31492263.095938597,30946051.892371666
57,2017-01-01,30573004.7001478,31658351.142421864,31109228.699430466
58,2018-01-01,30623011.47283925,31680028.566641062,31177195.900785077
59,2019-01-01,30621167.376759462,31623627.075494353,31130646.31293369
60,2020-01-01,30443343.016321268,31519957.949454106,30969377.71103426
61,2021-01-01,30580261.996793248,31681534.57505351,31132554.518094245
62,2022-01-01,30649736.933146894,31760566.804628097,31200521.719447628
63,2023-01-01,30638404.433799714,31674251.76363403,31153972.13159436
64,2024-01-01,30457167.966616932,31510622.751565307,30992703.529697698
65,2025-01-01,30613071.095173407,31708116.04616723,31155880.336753614
66,2026-01-01,30684356.85984463,31742829.239467226,31223847.53811049
67,2027-01-01,30589106.688091714,31668766.95939136,31177297.950258445
68,2028-01-01,30469715.689251225,31629769.85274726,31016029.34835972
69,2029-01-01,30604734.246827234,31734326.011607286,31179206.15541904
70,2030-01-01,30681803.34845092,31799520.62464993,31247173.35677192
