,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-146.3831587759792,112.52118351440349,-17.458203598778
1,1961-01-01,-159.28029098973298,109.67786335867531,-28.64103274190832
2,1962-01-01,-150.39644177199523,101.44727325510962,-24.5954139333046
3,1963-01-01,-151.23469484253377,117.23226072518513,-18.509155162173784
4,1964-01-01,-144.1647876291274,128.52332470667508,-10.39788361273834
5,1965-01-01,-152.8915396590984,110.11003541306441,-21.580712972031606
6,1966-01-01,-157.12918698502338,109.63156117560445,-17.535094378997485
7,1967-01-01,-139.9948412245874,115.21472811019152,-11.448835838283571
8,1968-01-01,-139.18939358912368,132.26691783612495,-3.3375645192531636
9,1969-01-01,-141.71398039541816,110.00419106452532,-14.520393800439962
10,1970-01-01,-137.21659913961088,131.94587771570113,-10.47477511944119
11,1971-01-01,-140.82392965674632,125.51422284253013,-4.388516349888661
12,1972-01-01,-133.06919647631628,124.91785730456294,3.722936826295154
13,1973-01-01,-128.6006503227482,113.48539656895385,-7.459710318858697
14,1974-01-01,-123.63925265647124,133.23892579793443,-3.4002189719579263
15,1975-01-01,-126.67596090797441,129.2766479081534,2.6999124635041056
16,1976-01-01,-128.52000308742237,135.45511210463343,10.825254349904995
17,1977-01-01,-133.2724029543537,122.3180143824061,-0.34346603376936
18,1978-01-01,-115.23807318042746,135.57192704737002,3.728521240589316
19,1979-01-01,-114.70732128428645,138.69256443827354,9.841148603512764
20,1980-01-01,-120.96100797202024,140.54657926571687,17.997713211678217
21,1981-01-01,-130.48613243739447,144.3747120709303,6.860301091463143
22,1982-01-01,-121.5385686333321,138.56544893680285,10.99552245337432
23,1983-01-01,-120.74291337954617,151.0492179941652,17.171383903865504
24,1984-01-01,-109.44422824835526,165.46673870113767,26.881575200314686
25,1985-01-01,-108.49049931178624,139.83782987853866,17.332542319277266
26,1986-01-01,-115.43332800758749,148.37249955019823,23.007493465765634
27,1987-01-01,-98.93842914537056,167.60426982555285,30.770662449829942
28,1988-01-01,-89.3178013587582,167.79962383480017,40.55884421219693
29,1989-01-01,-113.38992499603542,168.42782200354327,31.10726184408729
30,1990-01-01,-88.10348510767827,170.09758221208932,36.879397245292765
31,1991-01-01,-82.07812538704326,174.97972908024522,44.74202507629319
32,1992-01-01,-73.77943648879781,189.60918501415176,54.62966568560735
33,1993-01-01,11.562113497245807,287.45034474534106,148.40097078956833
34,1994-01-01,133.27402757689703,394.2245731493326,257.1139639156256
35,1995-01-01,240.78911757936805,500.22529770991025,367.8917848784812
36,1996-01-01,357.4148433872097,612.257806162191,480.69461861973605
37,1997-01-01,450.93083165992226,708.9869373631731,574.4905904461616
38,1998-01-01,545.2429775364809,806.8112807190607,683.2281828993297
39,1999-01-01,654.0456723321693,921.4847877348748,794.0064156365655
40,2000-01-01,782.1112787404523,1042.616333413058,906.80966105
41,2001-01-01,868.490116531298,1134.0491692006801,1000.6056329699976
42,2002-01-01,978.4651679443168,1236.1079528012322,1109.3432254858185
43,2003-01-01,1096.531238719213,1352.7916619543007,1220.1214580901524
44,2004-01-01,1212.6457315999266,1459.8326783210096,1332.9247034874143
45,2005-01-01,1295.0402525216746,1554.3949779495338,1426.720675391395
46,2006-01-01,1408.2058984620598,1666.713509251948,1535.461246798805
47,2007-01-01,1508.8729759790208,1769.8969842806357,1646.2424582948772
48,2008-01-01,1687.4322985919791,1945.9438835893698,1814.260590488538
49,2009-01-01,1834.5845538599833,2090.952632189666,1963.4227228512532
50,2010-01-01,1999.664778739008,2273.9128086671326,2127.3752021780556
51,2011-01-01,2158.2375724311564,2420.0095180634435,2293.368321593388
52,2012-01-01,2328.197659059168,2590.624823702248,2461.3864537870704
53,2013-01-01,2486.556972691522,2736.7959380897196,2610.5485861497928
54,2014-01-01,2648.49623142956,2903.219279111879,2774.501065476649
55,2015-01-01,2825.1254906696413,3060.8337031419096,2940.4941848919784
56,2016-01-01,2972.727744200998,3240.6910850602985,3108.5123170856036
57,2017-01-01,3134.59874499368,3386.9274465014178,3257.6744494483796
58,2018-01-01,3292.6139848924495,3558.3410505354645,3421.626928775183
59,2019-01-01,3467.853964757186,3718.5344391880194,3587.6200481906285
60,2020-01-01,3631.3789591072527,3900.3159759010496,3755.6381803841427
61,2021-01-01,3786.0465862095175,4028.2496322136944,3904.8003127469747
62,2022-01-01,3932.213475065235,4198.167697435809,4068.752792073755
63,2023-01-01,4105.021735504131,4373.067004050573,4234.745911489089
64,2024-01-01,4266.3036381201455,4522.868759065931,4402.764043682821
65,2025-01-01,4412.225770664545,4690.6423242214605,4551.926176045464
66,2026-01-01,4567.634962102268,4857.037375347703,4715.878655372337
67,2027-01-01,4738.177013026594,5029.507319607177,4881.871774787763
68,2028-01-01,4891.184889524726,5208.494738520926,5049.889906981291
69,2029-01-01,5031.797616656528,5376.162093986349,5199.0520393441
70,2030-01-01,5180.065449870468,5550.798804257526,5363.004518670843
