,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-322.0861336642072,8.357133623736097,-154.7676472311391
1,1961-01-01,-308.8889759740954,23.666852030501314,-146.01279234621973
2,1962-01-01,-300.7066925169839,42.54172106092453,-135.26648784699637
3,1963-01-01,-268.3387484428315,48.52138691772011,-111.57556876021772
4,1964-01-01,-234.42091315948005,97.89129771521851,-74.94476284472069
5,1965-01-01,-228.70903218781265,101.14798393064999,-66.18990803568488
6,1966-01-01,-221.58024310715513,115.12800555504649,-55.443603612127276
7,1967-01-01,-194.71071763706556,126.01040298531625,-31.752651763051517
8,1968-01-01,-159.78759189973474,169.06150622208304,4.878186914769913
9,1969-01-01,-170.59504420339155,184.00882956477176,13.633180302007418
10,1970-01-01,-139.9997992652113,179.76727924597964,24.37962295076909
11,1971-01-01,-121.20529332499356,200.71010572488527,48.07068021873488
12,1972-01-01,-82.05199448394421,252.60124954383355,84.70348761922185
13,1973-01-01,-75.66879913260377,247.9132087641251,93.46034944087421
14,1974-01-01,-63.68598103081185,281.72474739376185,104.23185721291827
15,1975-01-01,-44.621710569492336,295.2429989084931,127.9479796041569
16,1976-01-01,-4.655895425485632,317.1030121907248,164.62063012889712
17,1977-01-01,3.790218219740845,341.34408989952755,173.41744423404305
18,1978-01-01,21.51698681682741,351.13388984067365,184.24296327538275
19,1979-01-01,34.13752976347303,361.8396567188131,208.01309693591395
20,1980-01-01,89.88834631936372,421.1167308024238,255.7287692097583
21,1981-01-01,110.46030494146794,430.93368867475203,275.59885991808426
22,1982-01-01,130.97578390091334,461.67056287270384,297.4600368811915
23,1983-01-01,171.49091951851048,496.55342969426624,332.2658284635162
24,1984-01-01,211.1558812322618,552.2060021892835,380.01411832298004
25,1985-01-01,233.7930215795962,570.4350673268483,399.92692988527347
26,1986-01-01,255.86091169482813,585.5810718430698,421.80070484155567
27,1987-01-01,290.19730449117463,613.1418464594162,456.64491343222426
28,1988-01-01,345.4884350918603,673.3452564106366,504.42900885167967
29,1989-01-01,382.19848703609966,725.535193113657,549.337744997405
30,1990-01-01,434.57393532567784,764.6154881092991,596.1391496611012
31,1991-01-01,483.34521548122314,815.2242297546262,655.8996284353825
32,1992-01-01,561.464279553324,884.5447341462856,728.599994038414
33,1993-01-01,605.5618482026082,939.0051632538687,773.5403174828804
34,1994-01-01,656.5343044977496,984.6879457465774,820.37322314135
35,1995-01-01,726.5233881804669,1043.0423932259532,880.177413743944
36,1996-01-01,778.7469548437703,1124.279569200529,952.9214911753793
37,1997-01-01,828.679778423786,1154.006356673316,997.8981062391007
38,1998-01-01,881.9617717035935,1214.1865459662781,1044.767204359483
39,1999-01-01,942.6978242953404,1270.2414511899703,1104.5921316756167
40,2000-01-01,1019.5250567279259,1346.1190386242424,1177.357456356276
41,2001-01-01,1057.986958042442,1390.9846237565994,1222.3458286559685
42,2002-01-01,1109.4717000560654,1434.9284384547013,1269.226651964882
43,2003-01-01,1150.3215840529253,1491.8187066447426,1329.0520898930347
44,2004-01-01,1232.7699733788186,1571.4537975307908,1401.8174146629963
45,2005-01-01,1273.2473861713677,1613.2922270564668,1446.8057870524308
46,2006-01-01,1342.0332359632225,1673.8968770951344,1493.686610408698
47,2007-01-01,1399.1857673410527,1713.4451091913857,1553.5120483840801
48,2008-01-01,1466.2489611495391,1785.5644447461311,1626.277373201032
49,2009-01-01,1508.1114302155208,1838.9748878957632,1671.2657456374113
50,2010-01-01,1549.6005847855656,1890.0820995186145,1718.1465690063706
51,2011-01-01,1611.9274384003297,1946.9493122517563,1777.972006994561
52,2012-01-01,1675.9335630236105,2019.9113549235615,1850.7373318114908
53,2013-01-01,1737.1953038985744,2062.6510178786057,1895.7257042479205
54,2014-01-01,1770.775821717216,2110.86937043626,1942.6065276168404
55,2015-01-01,1833.9860714251224,2174.8104328532804,2002.4319656050527
56,2016-01-01,1911.7752123415253,2234.096903716786,2075.1972904219533
57,2017-01-01,1945.9865224135756,2285.1460332557144,2120.1856628583846
58,2018-01-01,2007.8220747614018,2327.9350739723823,2167.0664862273406
59,2019-01-01,2062.6213770949275,2393.1669964405182,2226.8919242155703
60,2020-01-01,2145.1809076124696,2463.504088550175,2299.6572490323906
61,2021-01-01,2181.2657025490676,2505.9950603038105,2344.6456214688033
62,2022-01-01,2214.351334742919,2561.666791362622,2391.526444837822
63,2023-01-01,2284.0692581726935,2622.7950977196133,2451.351882826004
64,2024-01-01,2357.202747740702,2694.4524553378806,2524.1172076430107
65,2025-01-01,2407.96925266532,2737.7052909501226,2569.1055800794056
66,2026-01-01,2458.865631136899,2780.336710373397,2615.986403448299
67,2027-01-01,2509.4532907627404,2839.461036022798,2675.8118414365513
68,2028-01-01,2589.0658545763654,2915.1131302633944,2748.5771662533607
69,2029-01-01,2634.841501279148,2955.9606645613458,2793.565538689776
70,2030-01-01,2678.890061206814,3003.473390175226,2840.446362058814
