,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-105447.3528358178,5399.744834233463,-52315.65090012284
1,1961-01-01,-91822.36169340927,15657.918812921715,-40405.17900172656
2,1962-01-01,-95208.38481645269,21378.478006910213,-35252.674695442576
3,1963-01-01,-86030.94927088366,28863.185524244942,-27552.02741554723
4,1964-01-01,-73797.91827969275,39902.90774946331,-17301.661863932968
5,1965-01-01,-63584.95754765882,48815.879768790466,-5391.189962228789
6,1966-01-01,-55733.17355880727,54527.51875666998,-238.6856526437041
7,1967-01-01,-49368.669700050625,59796.53556036512,7461.96162874499
8,1968-01-01,-37303.73704013907,70860.1080911051,17712.327181859117
9,1969-01-01,-26837.810066540045,85415.10255537297,29622.799077474658
10,1970-01-01,-19929.55571007576,88147.26735378943,34775.30337683909
11,1971-01-01,-13997.956603517421,99407.19009560328,42475.95065021346
12,1972-01-01,-889.739224156822,110556.72557324874,52726.316191701306
13,1973-01-01,8195.637794778324,119591.6190532698,64636.78807952764
14,1974-01-01,14455.999821208545,124621.12750473918,69789.29238132408
15,1975-01-01,20977.574041493124,138029.81972445306,77489.93965712524
16,1976-01-01,31546.958391525193,144529.01442636814,87740.3052085872
17,1977-01-01,44433.76011686767,158554.00756521517,99650.7771064128
18,1978-01-01,49590.03781000898,158783.03281548904,104803.28141210269
19,1979-01-01,57552.49074912691,168892.14211459385,112503.92869179323
20,1980-01-01,66616.0118829932,177146.84191937227,122754.2942449009
21,1981-01-01,73074.46777185747,190168.25214528706,134664.76614437476
22,1982-01-01,85850.3448961743,198111.78692873247,139817.2704490427
23,1983-01-01,90648.14761408813,205432.57928014052,147517.91772772017
24,1984-01-01,97412.40497166422,212521.77706444354,157768.283275821
25,1985-01-01,114552.03619201994,227622.0496390911,169678.75515794387
26,1986-01-01,116222.8058208758,228327.07640592117,174831.2594480269
27,1987-01-01,128017.00464992349,236272.96166557254,182531.1398890896
28,1988-01-01,133932.80396127445,249518.25745438752,192780.73860188565
29,1989-01-01,150505.51113962114,257988.71279074828,204688.82207489244
30,1990-01-01,154660.74277293275,269745.5256563852,209838.9444815385
31,1991-01-01,157310.3404729325,269342.80322971265,217536.79406048852
32,1992-01-01,173162.4900448911,288575.44180282287,227784.3619111683
33,1993-01-01,182790.45416106694,293420.5376660055,239686.50564318843
34,1994-01-01,190004.2550662022,301259.6453487779,244830.70453767563
35,1995-01-01,194592.4826350356,315367.26414102374,252518.61089911597
36,1996-01-01,205385.87156469157,322144.4828704362,262756.23553229636
37,1997-01-01,218505.97581244362,331888.25615010946,274650.3386182569
38,1998-01-01,221943.53213006194,336096.1705574088,279786.51883568
39,1999-01-01,234033.80400749933,345345.8749854475,287469.12179562775
40,2000-01-01,246181.4814583316,351240.99394674855,297700.99345017585
41,2001-01-01,258761.3306336838,364950.7572213353,309592.9207828809
42,2002-01-01,259565.01710140836,371018.15833051177,314725.10902438045
43,2003-01-01,267046.02448791626,380189.94345411414,322405.4402398988
44,2004-01-01,272981.02371748944,388398.0425899635,332633.0256397571
45,2005-01-01,286834.28185538936,401186.9920457622,344520.65497460077
46,2006-01-01,295437.67736872344,406275.66523661674,349648.65487421973
47,2007-01-01,296981.4786342065,411478.04828925687,357324.79774782126
48,2008-01-01,312021.15279715485,423114.6355145914,367550.6588905046
49,2009-01-01,321959.2117236032,440077.43742860784,379436.55924416805
50,2010-01-01,325125.30220043473,445279.3053297342,384564.55914110504
51,2011-01-01,339706.0308303153,449619.7078742189,392240.70201205555
52,2012-01-01,346297.94108598237,460879.4447649977,402466.5631547362
53,2013-01-01,353029.90663861384,470323.4071051052,414352.46350840933
54,2014-01-01,367084.70900413307,478425.6549759389,419480.46340533136
55,2015-01-01,371264.85942851414,484179.24662005005,427156.6062762926
56,2016-01-01,379070.56507417164,496722.6013479625,437382.4674189687
57,2017-01-01,392247.8329293787,502495.84776108386,449268.3677726402
58,2018-01-01,396216.55194578134,511610.03521304065,454396.3676695775
59,2019-01-01,413972.61535298964,516535.4931376431,462072.5105405314
60,2020-01-01,415415.948545178,532907.6082520242,472298.37168319797
61,2021-01-01,430706.1543354582,540049.0718381945,484184.2720368601
62,2022-01-01,433012.15948754107,542502.4958649342,489312.2719338109
63,2023-01-01,439732.15077086556,556720.1175864834,496988.41480476374
64,2024-01-01,451500.48399743525,564475.7338185888,507214.27594745456
65,2025-01-01,464388.2335770255,575118.1327385419,519100.1763011259
66,2026-01-01,467407.8901227861,579216.9383394535,524228.1761980436
67,2027-01-01,477502.3710737573,586570.1746012307,531904.3190690038
68,2028-01-01,487163.43024643237,596961.036239953,542130.1802116719
69,2029-01-01,497271.1566444038,606226.3625673589,554016.0805653323
70,2030-01-01,500491.1840244011,616097.0943403703,559144.0804622987
