,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-4618993.163916837,2335692.7141619604,-1241983.0699755833
1,1961-01-01,-4389502.418198037,2330660.5462077367,-933307.053365482
2,1962-01-01,-4166518.649750488,2990361.7731724,-608031.7883361368
3,1963-01-01,-3662717.857476875,3356971.69524957,-225638.54179610405
4,1964-01-01,-3226582.8602334545,3469108.5501823896,213856.0479221302
5,1965-01-01,-3022763.1289125783,3931827.7300343234,522532.0645703799
6,1966-01-01,-2410955.783628324,4226462.838062297,847807.3296377463
7,1967-01-01,-2393777.3026746996,4870802.420014813,1230200.5762289148
8,1968-01-01,-2030568.981650898,4935159.626900459,1669695.165998436
9,1969-01-01,-1323710.2782230442,5705253.298130311,1978371.1825403478
10,1970-01-01,-1074079.502263352,5775344.571126768,2303646.4476144337
11,1971-01-01,-756750.9454357318,6126446.864901792,2686039.6942089894
12,1972-01-01,-270010.4324085801,6653733.97965976,3125534.284007028
13,1973-01-01,155452.0679802556,7048368.399809513,3434210.300687145
14,1974-01-01,417785.5912415965,7005129.281791803,3759485.5659006406
15,1975-01-01,715541.3994216126,7419778.29243209,4141878.8126345677
16,1976-01-01,1288840.0692418527,8021311.4789674245,4581373.402470758
17,1977-01-01,1516625.6837769588,8213022.100272311,4890049.419189102
18,1978-01-01,1472785.913323792,8582907.784122564,5215324.68429319
19,1979-01-01,1999187.7572380148,8808527.34346625,5597717.930917675
20,1980-01-01,2549731.4302159143,9329506.369285181,6037212.520562202
21,1981-01-01,2928929.4353093053,9964752.29536145,6345888.537088264
22,1982-01-01,3176450.8962755376,10211319.596549133,6671156.069774263
23,1983-01-01,3629435.4351136405,10282893.106876539,7053541.583980799
24,1984-01-01,3995239.7624692195,10823503.796801439,7492989.160341958
25,1985-01-01,4334612.775964822,11073206.972581508,7801599.408814237
26,1986-01-01,4914475.629375861,11651309.752146246,8126809.085400581
27,1987-01-01,5008479.256794186,11763582.472015845,8509133.232965503
28,1988-01-01,5430622.012702343,12365537.171290135,8948558.723708985
29,1989-01-01,5693372.012425743,12596408.131530907,9256976.443202503
30,1990-01-01,6383579.352618587,13033172.451816548,9581994.116845097
31,1991-01-01,6530345.736067556,13151892.837592479,9964093.744376095
32,1992-01-01,6767653.5190388635,13650845.009088855,10403294.715085428
33,1993-01-01,7374421.360038118,14163997.082386076,10711638.725303411
34,1994-01-01,7589516.8544909265,14488731.8041096,11036582.89106252
35,1995-01-01,8034082.63433817,14848622.768684171,11418568.418184329
36,1996-01-01,8358445.479198673,15514070.738740481,11857655.288484866
37,1997-01-01,8645666.391899671,15265447.897279408,12165895.639639968
38,1998-01-01,9389183.256492306,15716527.689740691,12490736.42955803
39,1999-01-01,9542461.005624104,16133794.053702496,12872676.911155304
40,2000-01-01,9885806.213254085,16660295.54311992,13311681.810781494
41,2001-01-01,10154012.221343353,16825442.613983147,13619866.795672126
42,2002-01-01,10663074.977299906,17317036.57331668,13944608.442539472
43,2003-01-01,10624811.692987792,17662280.488449093,14326468.070927463
44,2004-01-01,11048240.116673071,18223503.858824253,14765429.03506851
45,2005-01-01,11805648.196667934,18401345.848604828,15073569.964103686
46,2006-01-01,12094310.153627431,19002551.569498263,15398311.601639627
47,2007-01-01,12613928.624047799,19231572.790235188,15780171.220695559
48,2008-01-01,12501680.314686755,19847826.754594073,16219132.182880957
49,2009-01-01,12904097.627524924,19948432.403702863,16527273.109954322
50,2010-01-01,13260279.882899797,20024701.325912196,16852014.74744065
51,2011-01-01,13728062.509492919,20669558.512784738,17233874.3664476
52,2012-01-01,14276486.207937583,20859635.583623774,17672835.32863284
53,2013-01-01,14454268.609014343,21384952.126816005,17980976.255706437
54,2014-01-01,14907672.714544404,21658114.198297516,18305717.89319258
55,2015-01-01,15155317.181907328,22104345.857302032,18687577.512199603
56,2016-01-01,15845049.04174812,22734339.764264416,19126538.47438474
57,2017-01-01,15955392.240285117,22742449.391153894,19434679.401458304
58,2018-01-01,16151304.441503864,23050240.80430513,19759421.038944643
59,2019-01-01,16734122.90932276,23538561.35563533,20141280.657951698
60,2020-01-01,17239100.2966105,24027047.621146925,20580241.620136518
61,2021-01-01,17273160.64976871,24150875.784022532,20888382.547210023
62,2022-01-01,17781993.74342168,24599074.468814492,21213124.18469662
63,2023-01-01,18281948.507669654,25257510.136888284,21594983.803703517
64,2024-01-01,18484404.173836246,25505239.43867471,22033944.765889063
65,2025-01-01,19024540.2499149,25658883.5434651,22342085.692962583
66,2026-01-01,19415607.1923375,25994393.015610684,22666827.33044857
67,2027-01-01,19705545.361039456,26414224.84061633,23048686.94945573
68,2028-01-01,19934103.560457397,26610053.504875567,23487647.911640514
69,2029-01-01,20743513.695964653,27230063.20057025,23795788.838714007
70,2030-01-01,20682447.221821234,27764482.93603471,24120530.476200707
