,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-47098075.1776004,-2151932.479657215,-25940699.36194268
1,1961-01-01,-45523416.36361189,1933446.7430195329,-22171020.319636725
2,1962-01-01,-44433551.38301857,2669472.917248057,-20562406.65345671
3,1963-01-01,-40793665.27109874,6953291.566566618,-18011777.885997437
4,1964-01-01,-38765199.347353525,9238613.391108623,-14518603.349451832
5,1965-01-01,-33610287.48723229,11083301.70502086,-10748924.307994112
6,1966-01-01,-31894870.52911273,14212165.134575766,-9140310.642659448
7,1967-01-01,-29644198.638811238,17186450.263908904,-6589681.875164993
8,1968-01-01,-26443479.300120246,21360454.314524885,-3096507.3385820314
9,1969-01-01,-23016253.610470984,22164393.01341286,673171.7032693774
10,1970-01-01,-21807424.972855322,24660196.82461242,2281785.4748923033
11,1971-01-01,-18008293.776580088,28855828.893589824,4832414.348202407
12,1972-01-01,-17079146.928079676,30224646.987253923,8325655.324256942
13,1973-01-01,-11499545.026580978,35282976.364583574,12095400.987682968
14,1974-01-01,-8691923.092217198,38299554.10811449,13705029.005743936
15,1975-01-01,-8434371.706949055,38551337.64384797,16256672.1254901
16,1976-01-01,-3803290.1879121456,41787038.67963748,19751252.112434417
17,1977-01-01,-335313.5245878599,45669158.54679784,23522340.455273256
18,1978-01-01,2754639.211951118,47937317.494289465,25134726.141612276
19,1979-01-01,2815170.745143167,51785783.05804089,27689126.929635108
20,1980-01-01,10088334.565868448,56497711.69524111,33810554.602635026
21,1981-01-01,15263543.256292643,63758301.773670584,40215687.47450371
22,1982-01-01,21557356.092724398,66583664.590564705,44453623.84962405
23,1983-01-01,27553598.940389615,73385638.91423357,49633575.326431096
24,1984-01-01,32794734.684339855,78194769.24625416,55757828.914263904
25,1985-01-01,38685362.061719686,84179832.8809475,62165795.446766004
26,1986-01-01,42753533.46158984,90246507.41457534,66405488.16738668
27,1987-01-01,47500923.940815374,97293524.38742065,71587196.92239362
28,1988-01-01,53698899.671027295,101131804.6716375,77711451.44649228
29,1989-01-01,61025258.995741755,106964416.69434017,84119418.91383944
30,1990-01-01,66425844.91403064,111925258.88673913,88359112.56674078
31,1991-01-01,69981122.29355411,117661054.78643076,93540821.32083744
32,1992-01-01,75700511.37377499,122398135.32674275,99665075.84402408
33,1993-01-01,82102151.89431748,129354059.81783807,106073043.30991225
34,1994-01-01,85203524.78829983,135858132.34336212,110312736.96136884
35,1995-01-01,91270415.80304216,138817302.29706538,115494445.7129102
36,1996-01-01,99231135.10867468,143414581.4913288,121618700.23354514
37,1997-01-01,105932962.85152318,151711483.82388824,128026667.697364
38,1998-01-01,109265640.33364908,155332055.99705765,132266361.34676285
39,1999-01-01,114388694.22151105,160491837.45925122,137447905.1380461
40,2000-01-01,120758664.99560145,168255435.55288607,143571842.59895673
41,2001-01-01,126675713.55911882,174684861.67778832,149979492.1348685
42,2002-01-01,131227871.0638858,178228687.04076213,154218868.7252996
43,2003-01-01,136309425.1925485,183523404.56455967,159400260.4174214
44,2004-01-01,141203269.4883779,188114469.68649676,165524197.8777488
45,2005-01-01,147978667.9103779,195353586.57965237,171931847.4130746
46,2006-01-01,152759110.595098,201581564.90231764,176171224.00189433
47,2007-01-01,156747636.08770332,204612784.73826212,181352615.69239056
48,2008-01-01,165762126.09903958,210895674.07954675,187476553.15123492
49,2009-01-01,169281562.6655297,217035690.8815428,193884202.68506762
50,2010-01-01,174292177.61320338,221452122.53836215,198123579.2731321
51,2011-01-01,180202599.8263012,227076571.45846337,203304970.9628852
52,2012-01-01,186605155.830364,231859163.59771168,209428908.4217282
53,2013-01-01,192630667.03917187,239269947.34414563,215836557.95556447
54,2014-01-01,196841771.80063587,244559969.491056,220075934.54362345
55,2015-01-01,203693485.06910396,248805257.520347,225257326.23338032
56,2016-01-01,207498526.62348413,254463293.96017995,231381263.69222176
57,2017-01-01,214036788.1393469,261974923.15309227,237788913.2260575
58,2018-01-01,217078010.0560186,265265782.35685813,242028289.81412172
59,2019-01-01,223498088.6944891,271196882.13627976,247209681.50387582
60,2020-01-01,229777171.53911972,276369459.50997484,253333618.96271396
61,2021-01-01,235458420.6940631,281634999.92892826,259741268.49654615
62,2022-01-01,241726169.30033988,286010202.31711036,263980645.08461556
63,2023-01-01,246348954.13535827,291825909.69711596,269162036.7743694
64,2024-01-01,251132899.45785886,298559309.92871463,275285974.23321587
65,2025-01-01,260163535.23063433,304588308.1613343,281693623.76705194
66,2026-01-01,263115457.63312933,309118947.68145275,285933000.3551091
67,2027-01-01,265506298.44096637,313152218.34210944,291114392.04486567
68,2028-01-01,273313224.42537415,320278259.77600074,297238329.50370395
69,2029-01-01,280277743.86835825,325647207.1915402,303645979.0375356
70,2030-01-01,284121675.9742523,330975019.2493501,307885355.62561077
