,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-38780166.901735194,-1518049.2642628967,-19548538.01192633
1,1961-01-01,-34756222.64106282,3405920.9495363045,-15614344.803535827
2,1962-01-01,-31730413.77532023,4789705.644386676,-13793329.328346744
3,1963-01-01,-30792704.49375722,7975552.980915778,-11795843.530737506
4,1964-01-01,-26753296.406068508,9498749.105888974,-9621183.087268092
5,1965-01-01,-23829095.20607786,11990716.34503631,-5686989.878048979
6,1966-01-01,-21948154.14774325,15217411.517889444,-3865974.4020332247
7,1967-01-01,-20910843.17392106,17990757.502450056,-1868488.6047774628
8,1968-01-01,-18988773.70977139,18447731.207052924,306171.83833876625
9,1969-01-01,-15836141.077225158,24984859.082167298,4240365.046396971
10,1970-01-01,-12494344.710496234,24867853.64857158,6061380.521820623
11,1971-01-01,-10364400.891389197,26350824.23839863,8058866.3191295825
12,1972-01-01,-7911101.331098991,28905533.078362383,10233526.762677476
13,1973-01-01,-4907685.899412509,32094246.83011292,14167719.97168051
14,1974-01-01,-2555095.7192336395,34162844.862373926,15988735.447189767
15,1975-01-01,337604.53689873614,36128325.984460376,17986221.244583085
16,1976-01-01,1966774.7361857533,39272606.223731406,20160881.688729804
17,1977-01-01,4410344.050126576,41672932.85636455,24095074.898332987
18,1978-01-01,6018823.215215755,42764517.77482776,25916090.375489462
19,1979-01-01,11194441.68338473,46947594.854461,27913576.17452909
20,1980-01-01,12726583.727913445,49473944.411065795,30088236.619707398
21,1981-01-01,13752543.291860854,53265665.71012654,34022429.83034527
22,1982-01-01,17282169.838594258,54640526.948397286,35843445.30802789
23,1983-01-01,19070784.2228556,54732556.23129292,37840931.1075948
24,1984-01-01,23039047.90880151,58844545.68559467,40015591.5538699
25,1985-01-01,24910445.12996947,61459093.83180381,43949784.76561356
26,1986-01-01,27449560.889583416,63869251.09570329,45770800.24415024
27,1987-01-01,29797409.39559708,65935471.36902634,47768286.04410575
28,1988-01-01,31206447.960180834,66730561.17027728,49942946.4899221
29,1989-01-01,34515278.36838982,72278244.90222785,53877139.7002791
30,1990-01-01,36887665.76095287,74117109.34991439,55698155.17742859
31,1991-01-01,39771496.29181369,76560157.8996467,57695640.975844555
32,1992-01-01,40954190.56307822,79401721.82882994,59870301.420122206
33,1993-01-01,44859398.340886824,81332143.88488105,63804494.62812258
34,1994-01-01,48443749.12169796,85360527.96543871,65625510.10292469
35,1995-01-01,49319656.871613845,86689277.93194492,67622911.94307284
36,1996-01-01,49567612.40434191,88969292.3374155,69797488.42908159
37,1997-01-01,56474674.04049685,92851852.3570191,73731562.56909955
38,1998-01-01,56493443.883821495,94676989.1071444,75552459.30124232
39,1999-01-01,59451064.82175492,96176047.18626256,77549782.86065531
40,2000-01-01,60445958.63464205,98111635.51492092,79724263.59332642
41,2001-01-01,65007205.57426091,101467123.84263018,83658276.59910227
42,2002-01-01,66432891.45867771,104681746.86685419,85479090.16721147
43,2003-01-01,68965479.63497104,106022562.92597474,87476374.05720694
44,2004-01-01,70753301.26029745,108418627.2893748,89650789.29070021
45,2005-01-01,74505712.671002,112976865.3083473,93584736.61783653
46,2006-01-01,75650794.82873504,113807800.50363006,95405294.87580094
47,2007-01-01,78302672.99430616,114568840.89656463,97402323.45564608
48,2008-01-01,82459907.58493805,116569236.19235593,99576524.88255051
49,2009-01-01,84716918.27886501,122602814.14554347,103510257.8173308
50,2010-01-01,86997709.42976308,122567357.54658088,105330814.27648813
51,2011-01-01,89039562.77253383,126492720.94000386,107327841.05753043
52,2012-01-01,90876632.34689286,128072956.81012845,109502042.48443508
53,2013-01-01,94466764.59928882,131998453.32664374,113435775.41921583
54,2014-01-01,97066186.44361374,133999312.85352607,115256331.87837029
55,2015-01-01,100317788.32283325,134899768.36869004,117253358.65941489
56,2016-01-01,100528516.58412825,137775149.1079163,119427560.08631957
57,2017-01-01,105154690.37586865,143139321.0948495,123361293.0210999
58,2018-01-01,107594327.91001828,143704120.59130147,125181849.48025721
59,2019-01-01,107837366.1557406,144650128.74426243,127178876.26129858
60,2020-01-01,110090252.2363173,146611948.71991098,129353077.68820453
61,2021-01-01,114995575.16118501,151184383.52914292,133286810.62298231
62,2022-01-01,116997462.63443254,153922773.66858047,135107367.082141
63,2023-01-01,120260202.22341882,154069115.1214678,137104393.86318463
64,2024-01-01,120975219.96205646,159910806.74343762,139278595.29008865
65,2025-01-01,123277773.45313944,160989247.88462543,143212328.22487053
66,2026-01-01,128373681.56584056,162332882.78452116,145032884.68402493
67,2027-01-01,127222006.15648347,164895035.07633403,147029911.46506733
68,2028-01-01,131105498.15452313,167425859.01538527,149204112.89197385
69,2029-01-01,134534540.02098268,172847202.3489121,153137845.82675138
70,2030-01-01,136610859.64024368,173844972.03693664,154958402.285914
