,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-81950283.03393571,1702518.7686653493,-37400249.03799006
1,1961-01-01,-77415091.52487937,4391565.511224141,-34185458.47733794
2,1962-01-01,-75463110.7536229,11597943.171202378,-31251133.308956563
3,1963-01-01,-69865072.5082087,14101056.880336609,-27698673.444350645
4,1964-01-01,-67363199.77428918,16360201.170113724,-23528155.472437173
5,1965-01-01,-62735195.40792347,23191897.99287894,-20313364.91240385
6,1966-01-01,-59548863.068582,25303965.77830451,-17379039.74463909
7,1967-01-01,-49264591.232709385,28847112.325579032,-13826579.880162999
8,1968-01-01,-49767609.24779917,32745358.980039652,-9656061.908378027
9,1969-01-01,-46971960.314169265,34871382.89716816,-6441271.346787058
10,1970-01-01,-47223042.35204785,37945971.13036469,-3506946.1770539284
11,1971-01-01,-41305014.954761185,40645465.744981654,45513.68837696314
12,1972-01-01,-40686725.15732106,46465053.94841572,4216031.663274407
13,1973-01-01,-33651302.35223166,48862100.9769555,7430822.227444164
14,1974-01-01,-34582026.12692645,53515337.513029575,10365147.400922284
15,1975-01-01,-25352663.727805782,57834097.76770121,13917607.270097643
16,1976-01-01,-22960486.324012622,60544481.549316026,18088125.245688967
17,1977-01-01,-19555015.874752842,63889003.28933706,21302915.810554616
18,1978-01-01,-20062078.5599612,69027923.34459378,24237241.07627859
19,1979-01-01,-14135099.341655716,69569916.9223629,27789701.03769908
20,1980-01-01,-10039804.777815098,75623373.16228071,31960219.108572327
21,1981-01-01,-9424796.584151762,76312434.99060184,35175009.7689796
22,1982-01-01,-3264241.392582007,83174980.25997767,38109335.03756874
23,1983-01-01,-567838.6692060468,84149644.13661182,41661795.00185623
24,1984-01-01,1524378.9515255145,88426232.81173976,45832313.074877694
25,1985-01-01,7694417.076783765,91867117.49003841,49047103.73732209
26,1986-01-01,6443189.555794921,93389901.61298536,51981429.00722323
27,1987-01-01,14722808.768905621,97259458.98856343,55533888.97271979
28,1988-01-01,18300488.72098627,103041519.86088125,59704407.0455277
29,1989-01-01,20225176.768070493,104256921.66019839,62919197.72393805
30,1990-01-01,21901662.277951024,106501224.69585368,65853523.00975618
31,1991-01-01,27455643.27509895,111653832.14812456,69405982.99024978
32,1992-01-01,29976989.657432973,112102517.818393,73576501.07805276
33,1993-01-01,34686682.412619404,118987644.65680858,76791291.75662124
34,1994-01-01,38896926.55822064,122580623.96382913,79725617.04260328
35,1995-01-01,40154531.605624184,127701671.85791057,83278077.02292167
36,1996-01-01,45995578.40333178,127697587.34550574,87448595.11055323
37,1997-01-01,46113931.46644656,132210476.91884238,90663385.78609249
38,1998-01-01,49183073.684376515,135275119.75337464,93597711.0690575
39,1999-01-01,54999900.18908782,135950886.9592665,97150171.04837498
40,2000-01-01,61603357.58033372,142497027.97131082,101320689.13322608
41,2001-01-01,61055473.67035381,148208440.606934,104535479.80764505
42,2002-01-01,62755666.52522739,150160956.66187668,107469805.08765239
43,2003-01-01,69942693.66751975,155698019.4461631,111022265.06335911
44,2004-01-01,74892889.42676693,158352119.86081234,115192783.14529929
45,2005-01-01,77031633.32126357,162274949.97875237,118407573.81680633
46,2006-01-01,80428086.77351263,161642624.79672536,121341899.09558176
47,2007-01-01,83855797.84673807,169780720.96839812,124894359.07004961
48,2008-01-01,83224708.58397642,169202157.89998865,129064877.15288323
49,2009-01-01,86065076.58617595,175469925.61223978,132279667.8252787
50,2010-01-01,90643000.01804292,177607585.93973517,135213993.10510343
51,2011-01-01,96957365.90243883,182203418.1036252,138766453.0806266
52,2012-01-01,100299286.7105786,185058266.59137332,142936971.16345885
53,2013-01-01,105354877.81189555,185399880.0514761,146151761.8358569
54,2014-01-01,108248171.34057352,192847518.82448786,149086087.11567917
55,2015-01-01,111386772.83504821,193942127.36114854,152638547.09120384
56,2016-01-01,109858952.76249722,202939193.15891045,156809065.17403495
57,2017-01-01,117540976.40599337,203261071.49590716,160023855.8464327
58,2018-01-01,118292639.68063436,203807141.83070326,162958181.12625724
59,2019-01-01,124827074.18233953,206794654.26323244,166510641.101782
60,2020-01-01,129752807.44570777,210542247.91001394,170681159.1846097
61,2021-01-01,133809336.90481283,220614777.72640687,173895949.85700646
62,2022-01-01,130595431.35462004,215908054.25069058,176830275.13683385
63,2023-01-01,139382691.5710081,223410509.81855384,180382735.11235696
64,2024-01-01,140379487.19946456,229353700.9933595,184553253.19519255
65,2025-01-01,141767224.91715822,230596097.77649283,187768043.8675893
66,2026-01-01,148922866.1824172,230506563.67434776,190702369.14741027
67,2027-01-01,151659629.1940229,233492467.13741064,194254829.12293637
68,2028-01-01,153755020.5660718,241868517.48886657,198425347.20576364
69,2029-01-01,158184771.24579725,245723879.90428606,201640137.8781602
70,2030-01-01,166714380.47103554,245895146.097994,204574463.15798932
