,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-36667420.93589394,-2300680.3384866035,-19865723.614839803
1,1961-01-01,-32347750.147725537,1703442.378446768,-16085933.557829201
2,1962-01-01,-31311746.409881566,2238289.4867204526,-14830257.04801362
3,1963-01-01,-30726337.87370904,1294328.9463904928,-13335207.96387294
4,1964-01-01,-28936311.56012885,5205188.879013483,-11600041.139014471
5,1965-01-01,-25083529.476883847,9233062.063368833,-7820251.082322821
6,1966-01-01,-22864274.774874397,10704815.063166257,-6564574.572824836
7,1967-01-01,-21268668.686851535,12209716.367324442,-5069525.488838725
8,1968-01-01,-20938939.38488771,12979524.0575269,-3334358.664134275
9,1969-01-01,-15333387.621702973,16999887.441845007,445431.3926984705
10,1970-01-01,-16113057.956506068,17798670.574798938,1701107.9023760594
11,1971-01-01,-13848076.728694158,20418871.03545389,3196156.9865797013
12,1972-01-01,-11187745.212567188,22155900.871834088,4931323.811610144
13,1973-01-01,-7271419.75808712,26042874.91229988,8711113.868588481
14,1974-01-01,-6796971.8264790885,26563946.36334038,9966790.378384404
15,1975-01-01,-5722829.532438622,28447743.699297372,11461839.462704908
16,1976-01-01,-4123924.525172862,30536895.991913453,13197039.076512773
17,1977-01-01,-40561.99577946712,33752063.20070423,16976862.012100525
18,1978-01-01,1050423.691437957,35069973.16001269,18232665.296064567
19,1979-01-01,2511936.751005656,37388831.76963077,19727841.15455204
20,1980-01-01,4554255.040124494,37566324.40928947,21463246.281287737
21,1981-01-01,9230402.181817666,42329173.52803436,25243275.292852737
22,1982-01-01,10142739.473466087,43023487.13211971,26499190.104731157
23,1983-01-01,11930122.877656959,45310672.88146738,27994477.49113456
24,1984-01-01,13616382.949333051,47718710.929832146,29729887.22393382
25,1985-01-01,16491227.731482806,49564194.334876396,33509925.150498547
26,1986-01-01,17362572.140123744,52638677.41784054,34765848.852633774
27,1987-01-01,19645932.012636274,53245544.38381511,36261145.12918612
28,1988-01-01,20299151.945108425,54384044.43708664,37996559.146457136
29,1989-01-01,24123551.610040296,58601459.22893711,41776597.07317658
30,1990-01-01,26886938.20393893,59326853.07976778,43032520.775460705
31,1991-01-01,27096781.53367455,61424355.207181826,44527817.05196999
32,1992-01-01,29569592.43070097,64618561.4885182,46263231.0691991
33,1993-01-01,32214604.77053564,66439601.166852176,50043268.99529694
34,1994-01-01,34706153.52366584,69006209.34330966,51299192.69696447
35,1995-01-01,35675805.19573231,70301657.20810267,52794488.97279901
36,1996-01-01,37046159.43000536,72938569.96574175,54529902.98935272
37,1997-01-01,41096059.848838374,76397964.40709263,58309940.91517067
38,1998-01-01,42770191.36010652,76731060.98049733,59565864.61656049
39,1999-01-01,42427994.260939755,76818386.00332217,61061160.89214133
40,2000-01-01,45041413.85398641,79847881.34847668,62796574.90848357
41,2001-01-01,50737385.816316426,85062698.43391842,66576612.834019095
42,2002-01-01,50443717.43160067,85024786.7589491,67832536.53501613
43,2003-01-01,53215184.54030288,86340728.51742652,69327832.81054002
44,2004-01-01,54022043.38320491,87858048.83173184,71063246.82679664
45,2005-01-01,57400904.29730174,93505240.40959294,74843284.75223315
46,2006-01-01,58581783.64052219,93185072.7326219,76099208.45326756
47,2007-01-01,60699920.586499274,93985181.51872219,77594504.72882332
48,2008-01-01,61614091.166831695,95393869.20302056,79329918.74477232
49,2009-01-01,66689415.750291675,100047899.3954643,83109956.66990483
50,2010-01-01,67013221.05203567,102031414.24590889,84365880.37060791
51,2011-01-01,67527099.72037569,103133402.24639933,85861176.6458365
52,2012-01-01,70826960.45469254,105008031.30090208,87596590.66178605
53,2013-01-01,74969270.31566416,107829487.88028884,91376628.5869192
54,2014-01-01,74633971.83097485,108471201.83821888,92632552.28761919
55,2015-01-01,76496453.04198597,111020378.07656382,94127848.56285062
56,2016-01-01,78312477.68635717,113508719.0063824,95863262.57879966
57,2017-01-01,83518533.6420937,115996120.86245193,99643300.50393277
58,2018-01-01,84077570.05514793,117494952.79398522,100899224.20463592
59,2019-01-01,84522942.0689307,119021614.02724627,102394520.47986436
60,2020-01-01,87094042.94409049,120701647.59639628,104129934.49581394
61,2021-01-01,89118568.72565274,125865503.86564651,107909972.42094438
62,2022-01-01,91437540.79444584,126954443.22635585,109165896.12164906
63,2023-01-01,93841445.51752304,127787945.2950995,110661192.39687932
64,2024-01-01,95015860.91600314,130115077.06713471,112396606.41282848
65,2025-01-01,99420900.31198442,133869478.14731827,116176644.33796236
66,2026-01-01,100969001.61276565,134574568.24118263,117432568.0386624
67,2027-01-01,102387118.34260404,136774511.11467227,118927864.313892
68,2028-01-01,103753838.47799905,137914055.23149803,120663278.32984248
69,2029-01-01,106982709.63932106,142422478.6398864,124443316.25497232
70,2030-01-01,109546333.6706261,142177278.5632015,125699239.95568162
