,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,10199347.338358834,10320612.948793452,10261491.875886934
1,1961-01-01,10441952.765215075,10567965.911012152,10505796.986733172
2,1962-01-01,10674530.807039823,10798051.55569402,10738090.698768197
3,1963-01-01,10888428.612460256,11007950.284541052,10950476.950330587
4,1964-01-01,11085222.84237372,11200253.755025474,11143568.356735593
5,1965-01-01,11327581.063912082,11445063.468208218,11387873.46730603
6,1966-01-01,11559775.224604197,11682460.109872555,11620167.179065734
7,1967-01-01,11771754.659700135,11892808.707237221,11832553.430822616
8,1968-01-01,11962164.778636195,12082688.864369156,12025644.837421712
9,1969-01-01,12242474.181932546,12359706.891728833,12301653.03444017
10,1970-01-01,12535509.423078872,12651326.924311226,12593052.403573368
11,1971-01-01,12801032.740371257,12923619.249436727,12864544.312377049
12,1972-01-01,13061684.556718532,13179183.30010119,13116737.986748343
13,1973-01-01,13359469.602037244,13480340.17847379,13420307.289440019
14,1974-01-01,13594903.792482223,13718260.305457149,13658178.364176916
15,1975-01-01,13813093.537055917,13936730.744667822,13876141.978584245
16,1976-01-01,13953009.12952612,14077334.035029018,14014249.67378257
17,1977-01-01,14141836.455126788,14259868.24476982,14203420.432974782
18,1978-01-01,14325118.224096652,14443898.047867287,14380730.433785886
19,1979-01-01,14477390.923809677,14596146.329467092,14538132.974267483
20,1980-01-01,14649933.24306627,14771532.44973276,14711332.134917619
21,1981-01-01,14876126.09788443,14997028.718470883,14935690.500562958
22,1982-01-01,15096203.352828246,15219349.832923718,15156390.189056098
23,1983-01-01,15295393.243556041,15411901.663493328,15357182.417218734
24,1984-01-01,15477529.097307218,15599601.119462088,15538720.08735504
25,1985-01-01,15742899.93520876,15863888.065648248,15798792.330252234
26,1986-01-01,15989839.109490804,16107141.697439026,16046810.094742015
27,1987-01-01,16229409.912121324,16350167.89593354,16289598.611993667
28,1988-01-01,16454533.994880047,16567972.500994086,16513092.28408888
29,1989-01-01,16730612.960614154,16842760.66564035,16787882.95417796
30,1990-01-01,16992655.95770795,17109124.698891446,17050578.931576826
31,1991-01-01,17196611.32823155,17314018.72976041,17255323.708861094
32,1992-01-01,17380288.345000364,17502760.487690985,17440773.640987232
33,1993-01-01,17616790.93981987,17733917.986193154,17674254.13493905
34,1994-01-01,17834331.882535014,17956609.210716136,17895752.80553665
35,1995-01-01,18039242.979901966,18159250.294365674,18097344.01592371
36,1996-01-01,18219127.45546386,18339480.117118657,18279640.381149024
37,1997-01-01,18455000.779122733,18572532.990631357,18513120.87515602
38,1998-01-01,18677456.70904864,18795433.855620872,18734619.545805667
39,1999-01-01,18879542.701463208,18997522.322039887,18936595.952947937
40,2000-01-01,19090764.877947096,19206289.35325924,19147551.31576391
41,2001-01-01,19348988.433775973,19470246.089275017,19409769.325228304
42,2002-01-01,19597877.888030663,19720355.10062584,19660933.220732253
43,2003-01-01,19836254.294820815,19952420.698620692,19892189.65590925
44,2004-01-01,20065799.353953674,20182409.550491586,20123875.094052147
45,2005-01-01,20346979.44140843,20463936.616715755,20406879.973565698
46,2006-01-01,20619926.270499703,20736731.432356086,20678187.503499623
47,2007-01-01,20861305.160691235,20989119.48745938,20929587.57309785
48,2008-01-01,21208061.32742128,21322156.542781867,21263480.28712036
49,2009-01-01,21589182.002309997,21708793.044015758,21648972.462450378
50,2010-01-01,21960236.914336056,22082574.85602457,22022067.481959205
51,2011-01-01,22315894.676913474,22435578.247090627,22375255.041140582
52,2012-01-01,22645717.31418063,22767123.117643178,22709147.755161017
53,2013-01-01,23036257.59165811,23155365.922422495,23094639.93049118
54,2014-01-01,23406001.49304021,23525746.776714474,23467734.94999739
55,2015-01-01,23761616.960784324,23879503.229247447,23820922.50917819
56,2016-01-01,24098763.34773067,24215993.902820934,24154815.223201856
57,2017-01-01,24483568.074804634,24604649.40385012,24540307.39852882
58,2018-01-01,24849853.858720224,24971367.937456265,24913402.41803765
59,2019-01-01,25206928.451159813,25325955.83088809,25266589.977212753
60,2020-01-01,25538685.02081546,25660205.353635777,25600482.69124171
61,2021-01-01,25922219.935472146,26049370.458429057,25985974.866566025
62,2022-01-01,26293946.592909474,26424366.248734534,26359069.88607653
63,2023-01-01,26629526.88202133,26791563.504925244,26712257.44525695
64,2024-01-01,26944873.306117937,27142887.6290726,27046150.15927586
65,2025-01-01,27306143.6631092,27558274.63774849,27431642.33461002
66,2026-01-01,27648111.796301916,27953271.623394985,27804737.3541148
67,2027-01-01,27959920.290091954,28359773.318195492,28157924.913291022
68,2028-01-01,28250276.53616474,28741068.266334802,28491817.627318703
69,2029-01-01,28595626.27798059,29189296.876672916,28877309.80264447
70,2030-01-01,28896509.851843346,29613174.913165767,29250404.822155915
