,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,663471038.4366335,666133332.0471718,664786222.5112885
1,1961-01-01,662816063.2625356,665310495.6892954,664031042.9346621
2,1962-01-01,663501901.2017261,666108806.2016606,664766349.0588803
3,1963-01-01,680114166.5849618,682829352.2544228,681507711.1940911
4,1964-01-01,697137430.4402233,699721098.255834,698402551.102571
5,1965-01-01,714624126.0833609,717261128.8516377,715918411.192471
6,1966-01-01,733504631.8145964,736261981.0883591,734874836.1096961
7,1967-01-01,753688682.0446937,756178099.1078264,754866174.2639956
8,1968-01-01,773732366.9559989,776342036.4829377,775010990.1914177
9,1969-01-01,794543826.3540654,797236919.3537202,795927518.5540396
10,1970-01-01,817044555.6352763,819492884.1228667,818275320.3828648
11,1971-01-01,839228017.8824675,841908403.083771,840527056.6725008
12,1972-01-01,860920367.9227813,863453677.8241946,862141394.9166323
13,1973-01-01,881006574.1629752,883557980.5684657,882264880.7600939
14,1974-01-01,898281503.7818395,900826999.069204,899588624.3185619
15,1975-01-01,915509534.8600054,918124062.2387886,916816302.3378162
16,1976-01-01,929352114.624052,931938679.4287213,930605824.4721619
17,1977-01-01,941604906.6373875,944136933.2555687,942883056.3534832
18,1978-01-01,954734216.7601247,957249490.870163,956021142.0789537
19,1979-01-01,967818010.6387514,970304047.2829826,969063162.2652358
20,1980-01-01,980835881.9084394,983497421.1057476,982258660.4337206
21,1981-01-01,992592471.9878665,995198274.3851843,993940240.8862717
22,1982-01-01,1007105986.9825459,1009570094.4102933,1008365229.393332
23,1983-01-01,1021473704.2088245,1023953680.7667047,1022694152.3608048
24,1984-01-01,1035928559.5699096,1038558391.7051816,1037177190.5805331
25,1985-01-01,1050071712.3600986,1052586093.695191,1051333315.9499173
26,1986-01-01,1065557366.4133286,1068297514.4323469,1066939185.7496803
27,1987-01-01,1083021163.8774939,1085603377.8072226,1084321566.1207104
28,1988-01-01,1100626137.7039568,1103283142.3392286,1101857424.265455
29,1989-01-01,1116600441.3465216,1119134100.678896,1117891256.1971407
30,1990-01-01,1134040286.915337,1136705852.1256528,1135369702.2130005
31,1991-01-01,1149065167.1996884,1151600658.284786,1150318326.415189
32,1992-01-01,1164086210.2658877,1166718942.841265,1165420428.390359
33,1993-01-01,1176680648.838247,1179303118.7098806,1178002327.2242088
34,1994-01-01,1190649686.1863847,1193280909.871169,1192038271.6544466
35,1995-01-01,1203636363.5515537,1206229050.4535315,1204891853.7307007
36,1996-01-01,1216637791.3058329,1219231520.2779932,1217898913.578491
37,1997-01-01,1228099334.4419253,1230756002.8769429,1229362542.4720051
38,1998-01-01,1241055934.85201,1243605803.6742883,1242283272.343075
39,1999-01-01,1251205085.0321786,1253819076.6301506,1252570857.4920173
40,2000-01-01,1261679334.3640888,1264304507.411956,1262957538.5839095
41,2001-01-01,1270531993.8313932,1273119893.8073978,1271822606.571938
42,2002-01-01,1278829521.7248135,1281498535.3625963,1280138218.128315
43,2003-01-01,1287132409.220212,1289605727.2188334,1288357764.1465802
44,2004-01-01,1295143299.7227073,1297710041.7932534,1296470502.2495115
45,2005-01-01,1301788031.5476635,1304396034.829774,1303055397.266022
46,2006-01-01,1308902436.0810573,1311597733.288967,1310186979.0412302
47,2007-01-01,1315899585.8550286,1318446679.4151902,1317222495.2746477
48,2008-01-01,1323201410.2240696,1325849215.7655525,1324556401.670194
49,2009-01-01,1329042681.7629588,1331722136.596623,1330360331.194902
50,2010-01-01,1336327495.025598,1338955672.8336136,1337636825.3560836
51,2011-01-01,1343417239.2103906,1346171615.0467143,1344817253.9789512
52,2012-01-01,1350839188.1002464,1353421862.4154906,1352151160.3736205
53,2013-01-01,1356614083.224645,1359253111.2209456,1357955089.8984122
54,2014-01-01,1363988256.7490203,1366495262.1239946,1365231584.0584934
55,2015-01-01,1371108715.9538956,1373671199.9191322,1372412012.6811316
56,2016-01-01,1378469582.5733812,1381020948.598747,1379745919.077128
57,2017-01-01,1384229370.369452,1386873951.05695,1385549848.6005921
58,2018-01-01,1391593498.1436865,1394182023.1276078,1392826342.7617736
59,2019-01-01,1398764448.4080067,1401357935.0992415,1400006771.382061
60,2020-01-01,1405882101.2298043,1408581221.516994,1407340677.780204
61,2021-01-01,1411362539.1834824,1414627112.4286952,1413144607.30257
62,2022-01-01,1417478467.6539116,1422591548.3666704,1420421101.4644747
63,2023-01-01,1422018234.8137176,1431830517.7283747,1427601530.0869393
64,2024-01-01,1426101414.7742658,1442102136.8543465,1434935436.4810214
65,2025-01-01,1428314960.9413753,1451931993.3244877,1440739366.0074492
66,2026-01-01,1431183813.860263,1463210137.035456,1448015860.1669245
67,2027-01-01,1433898070.3371441,1473914353.3631196,1455196288.787685
68,2028-01-01,1437127323.645185,1485714117.8847282,1462530195.185289
69,2029-01-01,1437727063.3942769,1496969335.6253517,1468334124.7082598
70,2030-01-01,1439792917.5003738,1510786483.4498637,1475610618.870562
