,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,87320254.35964411,87912405.43387422,87609319.80644743
1,1961-01-01,89845822.27604017,90457878.49139297,90138306.60168356
2,1962-01-01,92289680.13558239,92894788.48652625,92591130.73605444
3,1963-01-01,94764182.9700882,95382060.30014482,95065666.67777984
4,1964-01-01,97236337.87759969,97876860.79003616,97554173.73413023
5,1965-01-01,99992948.56768805,100610867.58065613,100313094.3698764
6,1966-01-01,102677148.43450257,103274852.4328893,102995224.11022191
7,1967-01-01,105583002.2778793,106178266.56952652,105877496.26695167
8,1968-01-01,108450150.32520269,109069085.75516157,108773739.53830832
9,1969-01-01,111437405.63211507,112046942.43957683,111752437.59122798
10,1970-01-01,114496644.69863193,115112814.11388716,114805474.94338056
11,1971-01-01,117582658.60437173,118175814.39767326,117875655.74284494
12,1972-01-01,120679271.1691494,121316395.39507738,121013104.90975127
13,1973-01-01,123905655.53096762,124526619.91260597,124197392.61522724
14,1974-01-01,127128507.46964648,127746221.12868842,127431213.90512937
15,1975-01-01,130370861.78760675,130996893.77313669,130682178.6423435
16,1976-01-01,133662028.8274477,134259652.14121953,133955511.02224219
17,1977-01-01,136970716.06962007,137579599.51913795,137276054.22348592
18,1978-01-01,140308712.66022807,140946184.7576404,140637664.62333193
19,1979-01-01,143717769.02036142,144310436.95511386,144016418.47048968
20,1980-01-01,147212096.4874422,147800911.60094997,147498631.4278385
21,1981-01-01,150724683.5513685,151344793.17563733,151028627.48208693
22,1982-01-01,154152383.8021906,154767854.87301472,154479879.79881012
23,1983-01-01,157664534.6393066,158262951.23443067,157948275.56285012
24,1984-01-01,161117986.37194023,161730811.78495222,161430555.42938775
25,1985-01-01,164641979.4318448,165288367.10566375,164954067.3248511
26,1986-01-01,168094121.71267593,168704910.84097013,168398699.27775642
27,1987-01-01,171363563.39816612,171999251.8835245,171680207.97659016
28,1988-01-01,174681229.80621362,175280435.42260453,174975687.79004315
29,1989-01-01,177932235.65010852,178547615.0773797,178233161.67995748
30,1990-01-01,181099173.87337613,181719946.90079367,181412482.5071152
31,1991-01-01,184245070.4802863,184902341.49224916,184569178.4008991
32,1992-01-01,187450471.2255407,188049410.87952253,187739845.40931177
33,1993-01-01,190580312.86427045,191189024.652144,190874102.52547097
34,1994-01-01,193608962.89787626,194259885.21165636,193930543.23671287
35,1995-01-01,196578101.2515806,197172411.6071982,196883307.42102885
36,1996-01-01,199547056.13383496,200156176.20321736,199850042.71999234
37,1997-01-01,202520736.42958403,203138216.62088457,202815831.09354696
38,1998-01-01,205388712.33182088,206030571.63869923,205704263.35931042
39,1999-01-01,208304500.57804525,208940916.52493718,208609839.06674796
40,2000-01-01,211233471.42713794,211817642.15437067,211529385.88366032
41,2001-01-01,214175378.7711049,214785318.96954614,214495174.24638587
42,2002-01-01,217079683.96827176,217695414.05604738,217386084.2339815
43,2003-01-01,219983670.98743913,220598808.02116367,220294137.66887528
44,2004-01-01,222989432.2913548,223626232.080229,223317534.43927974
45,2005-01-01,226060530.68387178,226673075.52418584,226387457.27593988
46,2006-01-01,229165088.88235277,229785257.73043492,229485329.61244497
47,2007-01-01,232292720.75331053,232914946.1701265,232600345.39629462
48,2008-01-01,235416993.06095484,236041825.68557423,235729332.2914843
49,2009-01-01,238610298.01377898,239233572.6412387,238905134.54092902
50,2010-01-01,241704670.4259621,242346290.24782693,242003006.87418535
51,2011-01-01,244809876.04122728,245409299.64607665,245118022.6547423
52,2012-01-01,247955218.5395519,248559813.69439673,248247009.5499431
53,2013-01-01,251128150.96238628,251723676.8527249,251422811.79938716
54,2014-01-01,254219811.72944182,254801364.46785256,254520684.1326573
55,2015-01-01,257325740.73696706,257928411.0443253,257635699.91321725
56,2016-01-01,260440609.12091535,261061358.44490892,260764686.8084009
57,2017-01-01,263634754.81074685,264256690.76128235,263940489.05786195
58,2018-01-01,266734604.8929956,267341676.0848451,267038361.39111826
59,2019-01-01,269813811.023506,270469325.4402311,270153377.17170835
60,2020-01-01,272964784.0077558,273591222.1692782,273282364.0668643
61,2021-01-01,276155303.7339051,276774351.5498035,276458166.3163392
62,2022-01-01,279237581.20660603,279911481.9869316,279556038.6495865
63,2023-01-01,282295729.2635019,283035698.40212524,282671054.4301486
64,2024-01-01,285307395.70590234,286223673.4578475,285800041.32535714
65,2025-01-01,288382003.9216141,289521051.80314606,288975843.5747802
66,2026-01-01,291313109.7674981,292747426.6866723,292073715.9080579
67,2027-01-01,294268350.8187415,296042383.9576643,295188731.688642
68,2028-01-01,297254436.6106778,299341159.5267632,298317718.583805
69,2029-01-01,300117606.8679579,302769895.79860914,301493520.8332721
70,2030-01-01,303007511.03799576,306066817.72384435,304591393.16651446
