,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,92151400.91764772,94044064.36930345,93105248.21059181
1,1961-01-01,93247264.69583559,95101914.73696168,94174230.43059854
2,1962-01-01,94419634.54535258,96330168.14085405,95379524.74867791
3,1963-01-01,95610485.22814338,97464643.062661,96542430.68641198
4,1964-01-01,96705438.04971263,98632811.29023586,97662702.59474836
5,1965-01-01,97776876.58487967,99713189.78063008,98731684.81689629
6,1966-01-01,98959231.24561352,100840138.24049439,99936979.13711108
7,1967-01-01,100143183.64089754,102032724.4811336,101099937.60949531
8,1968-01-01,101274518.76912217,103175853.3381987,102220262.05248195
9,1969-01-01,102431935.20150176,104351974.68343881,103416802.62188467
10,1970-01-01,103839110.75506642,105687676.06271406,104749616.87176032
11,1971-01-01,105090771.33452633,106986532.62230611,106040042.74118654
12,1972-01-01,106345054.43586232,108246631.75688496,107287898.76620787
13,1973-01-01,107541359.2061461,109473899.14923528,108484814.64852908
14,1974-01-01,108911174.76863347,110853275.85597773,109817693.0818759
15,1975-01-01,110188131.59334427,112055664.35401978,111108183.13477346
16,1976-01-01,111366354.71448343,113316745.19838265,112355392.02535942
17,1977-01-01,112564431.36221963,114397637.33042587,113551659.0002742
18,1978-01-01,113777845.13317189,115739725.63322027,114759658.79986063
19,1979-01-01,114963411.77568671,116875325.58966836,115925270.2189978
20,1980-01-01,115815203.17392924,117827240.3082664,116808070.59538305
21,1981-01-01,116615810.96362686,118618997.44225967,117638930.67660633
22,1982-01-01,117466075.13542894,119421708.63919759,118468884.97515677
23,1983-01-01,118269003.98660842,120184331.55474062,119256450.89325818
24,1984-01-01,119034749.6695827,120951051.71777187,120001295.29513213
25,1985-01-01,119770196.55655831,121648210.87541947,120693558.05120791
26,1986-01-01,120632999.7851587,122538623.25851229,121523162.19350877
27,1987-01-01,121156678.67205001,123096906.11230421,122136430.40694521
28,1988-01-01,121739656.78684573,123643030.82834892,122707064.59098335
29,1989-01-01,122016664.42488709,124013239.92432748,123022456.40379141
30,1990-01-01,122417608.86548138,124429969.65986517,123476219.30485603
31,1991-01-01,122891347.82060315,124834499.31146596,123885712.52244592
32,1992-01-01,123275592.45709653,125211355.67976098,124252571.71063824
33,1993-01-01,123598891.93748488,125549449.22615615,124564530.38063708
34,1994-01-01,124075925.82045521,125969868.89260255,125014869.51906313
35,1995-01-01,124469745.27945575,126379598.0123491,125420927.36388993
36,1996-01-01,124803394.27858235,126659848.11079443,125784351.17932042
37,1997-01-01,125013681.11268638,126991129.85811901,126008019.27631958
38,1998-01-01,125428678.74838373,127326055.44008234,126370309.07282041
39,1999-01-01,125785779.03861624,127717235.89639223,126688309.22568545
40,2000-01-01,125805276.82665153,127720240.6762677,126777949.59670278
41,2001-01-01,125872501.71049203,127735426.72374761,126813476.63144624
42,2002-01-01,125965348.77218522,127887454.43030351,126987074.98641852
43,2003-01-01,126159257.41299723,128088174.67624588,127118284.96094051
44,2004-01-01,126275363.28555788,128193224.14909576,127206680.13312826
45,2005-01-01,126315279.28861456,128206964.27269456,127240958.55753976
46,2006-01-01,126500531.67392811,128458249.76891695,127414376.13888235
47,2007-01-01,126580588.05010465,128517888.10017358,127545405.33977796
48,2008-01-01,126828618.36479077,128709242.79037288,127773918.24081872
49,2009-01-01,126987251.78781584,128951418.78261456,127948698.27827136
50,2010-01-01,127273301.44055037,129267325.19315025,128262233.58915964
51,2011-01-01,127573719.914007,129454746.34688233,128533380.51959762
52,2012-01-01,127765840.3976044,129730997.07574171,128761893.4206391
53,2013-01-01,127997280.13624597,129879736.6397686,128936673.45809183
54,2014-01-01,128233106.09099904,130158019.97529694,129250208.76898108
55,2015-01-01,128532958.64595933,130416497.79804638,129521355.69941917
56,2016-01-01,128732139.78036907,130681969.51900293,129749868.60045943
57,2017-01-01,128959055.38725805,130949485.39269252,129924648.63791332
58,2018-01-01,129265191.81867054,131242088.87386215,130238183.94880155
59,2019-01-01,129558627.73245235,131467597.02308056,130509330.87924182
60,2020-01-01,129710091.68324812,131664024.02019933,130737843.78028023
61,2021-01-01,129963558.88081285,131890443.63448353,130912623.8177351
62,2022-01-01,130269592.2636085,132174376.39790213,131226159.12862265
63,2023-01-01,130501091.61054307,132454354.49197033,131497306.05906093
64,2024-01-01,130797356.03764142,132792605.67538878,131725818.96010295
65,2025-01-01,130935114.12902841,132886940.479067,131900598.99755427
66,2026-01-01,131112047.14823928,133378039.91720912,132214134.308444
67,2027-01-01,131314192.75348923,133639637.33240062,132485281.23888376
68,2028-01-01,131451723.41940686,133981184.95829022,132713794.13992268
69,2029-01-01,131562158.95448464,134320907.36648113,132888574.17737707
70,2030-01-01,131742558.38601936,134760903.50719613,133202109.48826396
