,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,2364898.9827577025,2423239.324520838,2395380.570091387
1,1961-01-01,2401114.556200377,2460008.7188937264,2429846.50263149
2,1962-01-01,2450668.547638477,2508756.7859115214,2480758.9571936275
3,1963-01-01,2499384.6640432007,2557032.3165847464,2528355.5394507884
4,1964-01-01,2542447.9419293907,2600536.316441167,2572456.0208801436
5,1965-01-01,2580243.2252369686,2635562.739305593,2606873.5518284524
6,1966-01-01,2628023.1835150677,2684828.4428341864,2657737.7370436583
7,1967-01-01,2674769.5835811314,2734537.7416577437,2705255.11541377
8,1968-01-01,2719116.4145669513,2775443.2982478426,2749276.392956172
9,1969-01-01,2755431.123407958,2812512.3768696943,2783662.9045652524
10,1970-01-01,2804452.3240084685,2863197.725560726,2834496.1552907163
11,1971-01-01,2853039.2668086053,2911775.1194653064,2882013.533733084
12,1972-01-01,2896597.6266557164,2954947.846156926,2926034.8112852005
13,1973-01-01,2928690.965478664,2989261.2238184656,2960421.3229290056
14,1974-01-01,2982489.5884920335,3041990.573940818,3011254.573425777
15,1975-01-01,3031196.5536559783,3089804.3616886325,3058771.951639478
16,1976-01-01,3046432.3432735703,3106045.481240642,3075671.2618075856
17,1977-01-01,3054961.4544707476,3111272.304431665,3082861.499307426
18,1978-01-01,3076318.762437917,3135475.683298541,3106567.8932915595
19,1979-01-01,3098343.7065856024,3155534.141935732,3126958.4149926146
20,1980-01-01,3114316.330598057,3173205.591876493,3143852.8358250754
21,1981-01-01,3122533.121633825,3180330.988625005,3151038.170593824
22,1982-01-01,3151247.5376916886,3204602.902721162,3176613.668079252
23,1983-01-01,3169294.5831674673,3228282.094479273,3198873.29328187
24,1984-01-01,3189699.8072076547,3247236.5641421997,3217757.3008975554
25,1985-01-01,3196909.810999386,3256531.9009433696,3226938.0894978205
26,1986-01-01,3222022.3508217656,3284556.71186693,3252634.4852128914
27,1987-01-01,3244927.8242406333,3301257.460521549,3275015.632962742
28,1988-01-01,3263417.5167311537,3322777.849840685,3293900.6798844566
29,1989-01-01,3307100.118949686,3365321.0699289604,3336853.378272729
30,1990-01-01,3368320.211769429,3424648.438260581,3396229.410798578
31,1991-01-01,3423785.617014166,3482961.6379063763,3452289.5922603924
32,1992-01-01,3476655.4156212746,3535732.7454887033,3504853.6728945877
33,1993-01-01,3519550.35753495,3578703.861210188,3547805.6348918765
34,1994-01-01,3577619.351997735,3637829.597070724,3607180.9330379926
35,1995-01-01,3634965.0695058443,3690950.1969917067,3663173.1509343293
36,1996-01-01,3687698.2677853797,3744497.865678332,3715669.268004061
37,1997-01-01,3720624.1637460897,3778944.689906718,3749032.212529968
38,1998-01-01,3768651.1984388144,3829315.6569969375,3798844.6927068
39,1999-01-01,3816988.981956076,3873577.488908108,3845341.3006073106
40,2000-01-01,3859942.514929295,3916793.0991487447,3888341.8076593205
41,2001-01-01,3892470.62005301,3950263.8552943864,3921704.752170534
42,2002-01-01,3949961.4738819283,4002562.3822860504,3975127.198267131
43,2003-01-01,3995988.4127869946,4052788.338763298,4025233.7720798673
44,2004-01-01,4042477.5608992735,4100748.079729709,4071844.700481997
45,2005-01-01,4080422.594132512,4135499.593264118,4108827.957909967
46,2006-01-01,4133132.4672869546,4189395.7956780456,4162250.859404077
47,2007-01-01,4184431.5104675926,4239975.548839112,4212357.888616959
48,2008-01-01,4230625.200559742,4288025.102142817,4258992.588900138
49,2009-01-01,4266202.694913846,4324752.333359085,4295999.683336837
50,2010-01-01,4318855.035907678,4379782.443882533,4349446.35673114
51,2011-01-01,4371227.267228306,4426395.960318083,4399577.15784173
52,2012-01-01,4416263.962733808,4476738.95757793,4446211.858125525
53,2013-01-01,4452431.673381662,4511744.980871649,4483218.952562162
54,2014-01-01,4507311.359422253,4566919.054900901,4536665.625957262
55,2015-01-01,4560264.708280664,4617541.0289135,4586796.427067991
56,2016-01-01,4602759.981077578,4661083.275262382,4633431.127350854
57,2017-01-01,4640708.048485599,4700293.949179972,4670438.221788427
58,2018-01-01,4693608.685151481,4752623.179280689,4723884.89518273
59,2019-01-01,4745263.577046625,4802786.901441882,4774015.696295134
60,2020-01-01,4792318.75285179,4848600.279357551,4820650.396576488
61,2021-01-01,4826969.884947622,4885777.807728037,4857657.491014851
62,2022-01-01,4882025.755126712,4940220.349488529,4911104.164408632
63,2023-01-01,4927655.755432841,4991233.925023062,4961234.965519494
64,2024-01-01,4972999.59806641,5038819.461267598,5007869.665803699
65,2025-01-01,5011360.785245337,5081266.3930519605,5044876.760239184
66,2026-01-01,5058925.856449999,5139621.376105936,5098323.43363471
67,2027-01-01,5097311.036157093,5193631.716280884,5148454.234746771
68,2028-01-01,5143550.8047961155,5243429.796230024,5195088.935028502
69,2029-01-01,5170622.997918726,5289456.593067654,5232096.029466441
70,2030-01-01,5217653.977423538,5347560.341863746,5285542.7028599065
