,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,2184311.8867402948,2274036.5550120124,2229673.738685879
1,1961-01-01,2241684.591532191,2333685.5104658534,2289188.825049677
2,1962-01-01,2293918.0775476773,2380267.9149805573,2338618.585219094
3,1963-01-01,2343382.545872488,2436054.290742624,2389155.8431287836
4,1964-01-01,2394227.831915036,2487808.9887823407,2440816.9903441556
5,1965-01-01,2454668.6703213532,2544875.3173747337,2500336.1093424563
6,1966-01-01,2506593.164804829,2594516.5266257627,2549769.8911282416
7,1967-01-01,2558113.153440932,2649967.04108704,2600347.917027035
8,1968-01-01,2613141.198947685,2695573.273100844,2652049.8322315062
9,1969-01-01,2677023.6124715623,2764854.2575982492,2722693.0084981034
10,1970-01-01,2739485.3359038946,2826747.282875143,2783247.538380715
11,1971-01-01,2802143.6813966483,2885936.746013512,2844909.5659092045
12,1972-01-01,2871414.5070530763,2960186.424858598,2916608.147313255
13,1973-01-01,2952069.835823279,3041753.9990248717,2996215.5650403537
14,1974-01-01,3021090.12389492,3110318.436894361,3065792.2310948586
15,1975-01-01,3093404.7226089053,3179749.7912107892,3136476.3947952325
16,1976-01-01,3173637.6162661775,3260522.241095238,3216064.0462932056
17,1977-01-01,3260237.4460044564,3345293.0955644697,3303582.1480048997
18,1978-01-01,3345895.7014472894,3436001.2544307057,3390291.3003762094
19,1979-01-01,3436830.6961428737,3520538.9466271917,3478107.9503933857
20,1980-01-01,3524268.83112597,3612707.622994372,3569389.9289090945
21,1981-01-01,3621886.173862726,3713036.605373082,3668634.3968906263
22,1982-01-01,3723963.874034521,3812619.2044819426,3769267.632036807
23,1983-01-01,3827285.2283868324,3915900.285110941,3871008.36482884
24,1984-01-01,3928130.7036002553,4018572.2040605317,3973892.3937643543
25,1985-01-01,4039746.2933691693,4130505.5109304474,4084991.888959894
26,1986-01-01,4140401.378930893,4231337.780522684,4185865.11695333
27,1987-01-01,4246716.330494283,4333850.354937622,4290927.83895429
28,1988-01-01,4352613.0487177605,4439907.575622097,4397114.450260961
29,1989-01-01,4468886.43796183,4554531.730501117,4511307.890710166
30,1990-01-01,4571236.495769535,4660715.529298457,4615266.610554887
31,1991-01-01,4680991.670832208,4771004.799476895,4724198.816883868
32,1992-01-01,4792776.187514613,4876371.677290333,4834254.912518527
33,1993-01-01,4905294.137355905,4994483.515197012,4952364.846439028
34,1994-01-01,5015071.353623265,5107119.768573759,5060229.358953292
35,1995-01-01,5146996.093860202,5228665.318655075,5188173.109280979
36,1996-01-01,5271709.52736004,5359654.359100232,5317240.748914272
37,1997-01-01,5410151.8971809205,5497071.19377105,5454404.490699688
38,1998-01-01,5536477.231284838,5625435.050741977,5581270.751494473
39,1999-01-01,5664525.004369302,5754826.074370899,5709691.248043443
40,2000-01-01,5793544.033015668,5882246.308899214,5839239.630762625
41,2001-01-01,5931898.121975812,6021927.708409271,5976855.34241131
42,2002-01-01,6062303.329189958,6153046.232546216,6109605.66574008
43,2003-01-01,6200736.130779703,6286017.47476481,6243463.4867147915
44,2004-01-01,6344565.474861863,6433519.369577592,6390679.513212759
45,2005-01-01,6499567.434189128,6587848.544874605,6546011.273143576
46,2006-01-01,6647350.48768387,6732836.968232138,6690995.912731697
47,2007-01-01,6791278.993079244,6882086.762739727,6837088.049965526
48,2008-01-01,6940670.874803651,7029056.980159445,6984173.503809224
49,2009-01-01,7096261.918422161,7184288.61987455,7139374.33335255
50,2010-01-01,7242461.3721584035,7326694.73883624,7284228.400244658
51,2011-01-01,7389193.889036225,7474949.059937386,7430189.964782689
52,2012-01-01,7535494.155080167,7624570.948279005,7577275.418626341
53,2013-01-01,7687018.809569451,7776915.893669428,7732476.248169679
54,2014-01-01,7831593.325199436,7919454.284265844,7877330.315061713
55,2015-01-01,7975879.794523387,8069408.56725225,8023291.879599743
56,2016-01-01,8126266.119274385,8213702.311361963,8170377.333443456
57,2017-01-01,8282165.122333778,8367878.015047507,8325578.162986727
58,2018-01-01,8422732.149006784,8516957.39589158,8470432.229878834
59,2019-01-01,8571430.51121293,8662305.472227843,8616393.79441673
60,2020-01-01,8720496.372077903,8805866.882263036,8763479.248260556
61,2021-01-01,8875278.366002705,8963370.159918899,8918680.077803753
62,2022-01-01,9016905.222604962,9106553.801769312,9063534.144695912
63,2023-01-01,9165849.92837608,9258084.633893646,9209495.709233923
64,2024-01-01,9307198.464356344,9407045.209193315,9356581.163077546
65,2025-01-01,9461663.393359201,9563453.571672129,9511781.992620975
66,2026-01-01,9602712.864277726,9714891.608248467,9656636.059512973
67,2027-01-01,9741747.44031521,9864560.95949289,9802597.6240509
68,2028-01-01,9881307.935968235,10024838.460567825,9949683.077894703
69,2029-01-01,10031318.276935492,10187212.604256721,10104883.907437926
70,2030-01-01,10169864.917595482,10337922.737597495,10249737.974330125
