,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,10047817.49195641,10206372.379103333,10126661.153552026
1,1961-01-01,10354507.870980455,10505793.047336461,10431874.432649922
2,1962-01-01,10675598.336183427,10829498.513498308,10752084.614171788
3,1963-01-01,11003573.753815232,11153935.938549208,11076937.08478448
4,1964-01-01,11328677.550883526,11484759.710343609,11406456.776110485
5,1965-01-01,11637997.855022214,11793425.465459548,11716993.9381896
6,1966-01-01,11962272.112371005,12124304.702617228,12042513.456564318
7,1967-01-01,12308362.353187084,12466617.985444905,12387858.132134106
8,1968-01-01,12659446.697375137,12813853.451517344,12737870.0284172
9,1969-01-01,13017091.919744335,13168528.3449098,13089931.26595606
10,1970-01-01,13383238.12482094,13538779.171854774,13457190.81445916
11,1971-01-01,13758453.05383657,13904281.550609184,13829092.522467973
12,1972-01-01,14157646.55388553,14310402.216778807,14235266.097015325
13,1973-01-01,14540951.230665518,14691389.521593768,14617343.39991372
14,1974-01-01,14936622.241443878,15092127.149628662,15014368.06708518
15,1975-01-01,15338407.472851707,15495797.760821538,15416034.893762339
16,1976-01-01,15763173.079631418,15920814.872446707,15848736.824760877
17,1977-01-01,16172857.818862587,16331634.381119788,16257415.16453908
18,1978-01-01,16601465.549558317,16759475.396230103,16681244.188244455
19,1979-01-01,17028424.509036947,17194455.882388692,17109715.371455543
20,1980-01-01,17478928.951532718,17640459.39804639,17554327.602267392
21,1981-01-01,17900145.407325137,18054733.96038582,17974948.872817315
22,1982-01-01,18349407.973783698,18508131.59580065,18427245.709230676
23,1983-01-01,18803894.88943581,18961451.965358637,18884184.70514971
24,1984-01-01,19260860.361841377,19428856.863766287,19346027.559955016
25,1985-01-01,19705484.543292187,19861871.120067324,19784292.791907027
26,1986-01-01,20155918.409437988,20317296.085157007,20237191.396357186
27,1987-01-01,20619011.41476501,20774917.84508521,20694732.19722374
28,1988-01-01,21072371.7991947,21232257.848983895,21156940.21880368
29,1989-01-01,21521332.298074737,21676441.982747152,21595205.48955594
30,1990-01-01,21974143.790135734,22125247.597459305,22048104.132700264
31,1991-01-01,22428050.98239591,22583719.232946314,22504113.512748607
32,1992-01-01,22885023.741789915,23038201.69402342,22964790.113510236
33,1993-01-01,23319299.66259075,23477600.541471027,23401025.951494534
34,1994-01-01,23773835.813808877,23929942.573162198,23851900.706769355
35,1995-01-01,24234324.723380364,24388257.423658747,24307324.568051428
36,1996-01-01,24688888.630369328,24851899.720568184,24767415.650046676
37,1997-01-01,25125258.560302246,25282063.122629106,25203494.604022145
38,1998-01-01,25576101.29592307,25740367.613459643,25654212.90393287
39,1999-01-01,26004706.131793402,26157362.47539898,26080725.417290814
40,2000-01-01,26380344.262435377,26531158.797505062,26454675.589301907
41,2001-01-01,26726202.885901082,26876282.829763524,26804441.206369475
42,2002-01-01,27016688.614299312,27174276.60956494,27095554.565199908
43,2003-01-01,27309151.444984436,27469845.370535776,27391310.083536215
44,2004-01-01,27519604.34398504,27678643.359987207,27601677.360421896
45,2005-01-01,27710724.01068051,27866632.460023966,27787411.91004853
46,2006-01-01,27907245.452846102,28066027.11195565,27987592.432287995
47,2007-01-01,28114703.94257297,28267310.468285643,28192415.11403279
48,2008-01-01,28418753.34345158,28573654.757392045,28499869.416338015
49,2009-01-01,28708214.608868614,28856215.027299676,28782956.98323471
50,2010-01-01,29000406.607642204,29159176.77791179,29081101.90532085
51,2011-01-01,29306560.636913113,29467987.488537308,29383888.98691281
52,2012-01-01,29614574.605305783,29765289.466696016,29691343.289217908
53,2013-01-01,29889079.32721519,30057620.49071658,29974430.856114663
54,2014-01-01,30194634.401643824,30348567.801370177,30272575.77820065
55,2015-01-01,30490410.73364944,30649043.607153725,30575362.859792583
56,2016-01-01,30810284.152325258,30963526.79180361,30882817.16209781
57,2017-01-01,31090373.96065023,31245083.246189356,31165904.728994407
58,2018-01-01,31391761.120987277,31543444.79322551,31464049.651080545
59,2019-01-01,31690171.277648203,31842784.503046524,31766836.73267222
60,2020-01-01,31995824.6683821,32155630.72221935,32074291.03497766
61,2021-01-01,32279804.084648825,32438546.08475895,32357378.601874113
62,2022-01-01,32578139.234253384,32732564.741844114,32655523.523960374
63,2023-01-01,32863101.24452628,33055822.021464165,32958310.60555227
64,2024-01-01,33148011.918553513,33371146.248018835,33265764.90785736
65,2025-01-01,33404830.25785273,33676040.3614424,33548852.474754293
66,2026-01-01,33667845.094137125,34005986.05810844,33846997.39684017
67,2027-01-01,33914956.684009776,34339239.946672134,34149784.47843191
68,2028-01-01,34186340.97134735,34705427.06566738,34457238.78073728
69,2029-01-01,34417329.58653647,35029151.85998283,34740326.34763381
70,2030-01-01,34669766.3058113,35357690.65096353,35038471.26972011
