,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,24945644.620688096,25187237.467980243,25066278.1571363
1,1961-01-01,25651073.265290663,25886937.01575996,25762249.193184238
2,1962-01-01,26390715.113153227,26612126.83720143,26506197.999191597
3,1963-01-01,27124327.636215713,27362103.185308877,27246140.441885296
4,1964-01-01,27859439.492159553,28101464.86514047,27981558.42929489
5,1965-01-01,28560749.041911647,28803782.824630927,28677409.024090197
6,1966-01-01,29290464.93975714,29545234.316531714,29421237.71791959
7,1967-01-01,30019712.69106918,30265348.09257031,30142643.00044936
8,1968-01-01,30736832.646178264,30980601.84356195,30859523.827695318
9,1969-01-01,31416412.994426645,31657055.608973593,31536690.10976068
10,1970-01-01,32098868.260466054,32334581.298864566,32216802.835066546
11,1971-01-01,32767939.995489985,33013350.292068034,32892909.196839817
12,1972-01-01,33394967.31435128,33630835.93335875,33510778.894418478
13,1973-01-01,33968737.40582944,34209739.93215178,34088879.5907453
14,1974-01-01,34564205.406510144,34808472.06039968,34681797.7303905
15,1975-01-01,35151268.24822378,35382387.02104605,35270709.50650316
16,1976-01-01,35737548.9728707,35982922.91555094,35854649.95682347
17,1977-01-01,36274317.636498936,36515550.20262887,36398728.44905016
18,1978-01-01,36873302.39180848,37108386.10014773,36991199.71434032
19,1979-01-01,37464383.679907545,37703827.86399666,37579664.61609791
20,1980-01-01,38048368.631155215,38284998.89925415,38163605.05969064
21,1981-01-01,38586703.49979409,38829163.19833685,38707683.54517129
22,1982-01-01,39178158.893086255,39423442.09428743,39300128.50439741
23,1983-01-01,39767012.43088512,40006159.416352935,39888567.10009175
24,1984-01-01,40242613.97975862,40482310.01871135,40360002.156066254
25,1985-01-01,40635386.312157854,40875508.850434646,40754839.449455634
26,1986-01-01,41081474.4926816,41320036.49154754,41198477.28259328
27,1987-01-01,41517260.641090706,41764998.57009574,41638108.751510814
28,1988-01-01,41958927.75929332,42193933.9980807,42073215.76514332
29,1989-01-01,42345352.40259874,42587365.53094602,42468141.68628703
30,1990-01-01,42795233.9564977,43033167.794354975,42911867.90502758
31,1991-01-01,43236900.69979924,43475845.00695394,43352303.19885926
32,1992-01-01,43666583.42029798,43899742.76714962,43788214.03740741
33,1993-01-01,44061508.98150675,44309952.52072921,44183957.03131429
34,1994-01-01,44508983.90065783,44746570.68529207,44628498.09037675
35,1995-01-01,44952981.04351087,45190119.41969065,45069032.7870653
36,1996-01-01,45382568.26499225,45621867.06510247,45505043.02847327
37,1997-01-01,45755195.85384059,45989933.605163224,45872531.856218636
38,1998-01-01,46173525.481283806,46412775.377771124,46288895.94629721
39,1999-01-01,46533523.44890906,46777531.00783485,46662560.23200174
40,2000-01-01,46911247.657397926,47153817.47283789,47031304.88963674
41,2001-01-01,47249554.65038404,47487548.069817156,47359598.01166109
42,2002-01-01,47490155.77655923,47719510.27143468,47604618.74409215
43,2003-01-01,47722462.14638465,47969377.661860384,47845633.11298848
44,2004-01-01,47926472.95727075,48157878.54208317,48041892.48673172
45,2005-01-01,48073155.970586956,48318522.196265295,48197227.76244637
46,2006-01-01,48284222.56125564,48519611.50329756,48402017.95514007
47,2007-01-01,48483668.37506709,48727275.19723079,48602801.78430642
48,2008-01-01,48823103.504266664,49052255.25486736,48939575.53686759
49,2009-01-01,49114538.26036387,49361724.237294674,49235810.16229881
50,2010-01-01,49464642.58386191,49699703.357287526,49581114.73367727
51,2011-01-01,49803572.680415764,50047049.868628584,49922412.94152135
52,2012-01-01,50143041.54711936,50376916.20325607,50259186.694084264
53,2013-01-01,50430184.20364568,50678049.155987985,50555421.31951539
54,2014-01-01,50784544.70362012,51018242.67020673,50900725.89089607
55,2015-01-01,51118453.57040376,51353722.72956051,51242024.09874056
56,2016-01-01,51465155.79327481,51707740.41982711,51578797.85130076
57,2017-01-01,51751389.04283781,51996332.391095795,51875032.47673457
58,2018-01-01,52098148.406301856,52343765.44807233,52220337.04811302
59,2019-01-01,52435775.99137425,52681570.053761356,52561635.25596234
60,2020-01-01,52777622.271782935,53013805.57854014,52898409.00851814
61,2021-01-01,53072069.793250404,53319255.15835111,53194643.63395418
62,2022-01-01,53412479.25783183,53679288.249274336,53539948.20533119
63,2023-01-01,53744479.32854489,54018083.11059413,53881246.41317606
64,2024-01-01,54044180.755254045,54385166.977458656,54218020.16574021
65,2025-01-01,54300718.58939985,54734845.443229325,54514254.79116801
66,2026-01-01,54591393.3340054,55109709.707208,54859559.36254987
67,2027-01-01,54886365.843632676,55500050.664127454,55200857.570398234
68,2028-01-01,55150987.97746988,55905507.66737716,55537631.322955124
69,2029-01-01,55378207.69831237,56283220.13187073,55833865.94838995
70,2030-01-01,55658528.255035564,56734508.31304196,56179170.519766055
