,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-1.3317194672720844e-09,1.2930731468084398e-09,0.0
1,1961-01-01,-1.2827536825289008e-09,1.265281192215041e-09,0.0
2,1962-01-01,-1.2231051625122448e-09,1.2624522689779351e-09,0.0
3,1963-01-01,-1.3253086453696706e-09,1.2828654801425677e-09,0.0
4,1964-01-01,-1.189659936268838e-09,1.205758407008804e-09,0.0
5,1965-01-01,-1.3054672325757688e-09,1.271468880258594e-09,0.0
6,1966-01-01,-1.2852519581216725e-09,1.3890388157916476e-09,0.0
7,1967-01-01,-1.216156269700244e-09,1.3746507892893416e-09,0.0
8,1968-01-01,-1.3170186082751856e-09,1.27314509836805e-09,0.0
9,1969-01-01,-1.2888060103806408e-09,1.3352387216038128e-09,0.0
10,1970-01-01,-1.270861162879279e-09,1.2838299228760435e-09,0.0
11,1971-01-01,-1.248887671801952e-09,1.2664319614662035e-09,0.0
12,1972-01-01,-1.3009842388514031e-09,1.2742021254112484e-09,0.0
13,1973-01-01,-1.2967284432853223e-09,1.2135732539214122e-09,0.0
14,1974-01-01,-1.341923643076819e-09,1.2924643119341245e-09,0.0
15,1975-01-01,-1.4059992958399824e-09,1.2148710120644456e-09,0.0
16,1976-01-01,-1.3040194790435244e-09,1.2533430794757462e-09,0.0
17,1977-01-01,-1.3105543529309403e-09,1.338086164365411e-09,0.0
18,1978-01-01,-1.255512014743926e-09,1.3113015471073456e-09,0.0
19,1979-01-01,-1.3250487760414143e-09,1.32925761535718e-09,0.0
20,1980-01-01,-1.2615553308346528e-09,1.257943553870751e-09,0.0
21,1981-01-01,-1.2994805045487703e-09,1.3782116579812685e-09,0.0
22,1982-01-01,-1.2999211801657294e-09,1.3293971884956998e-09,0.0
23,1983-01-01,-1.2572122185651092e-09,1.342733329316511e-09,0.0
24,1984-01-01,-1.2995362814626472e-09,1.2759973417041394e-09,0.0
25,1985-01-01,-1.3492377681745673e-09,1.2805260763483835e-09,0.0
26,1986-01-01,-1.2945106029433192e-09,1.2756408940960007e-09,0.0
27,1987-01-01,-1.3380282648506023e-09,1.2518998057410548e-09,0.0
28,1988-01-01,-1.3470961614300587e-09,1.1967564214662092e-09,0.0
29,1989-01-01,-1.4288452296277205e-09,1.2759655104704724e-09,0.0
30,1990-01-01,-1.3833792534609415e-09,1.3136393985038082e-09,0.0
31,1991-01-01,-1.2637475593315446e-09,1.3304270128587034e-09,0.0
32,1992-01-01,-1.2340785457135001e-09,1.266146330142584e-09,0.0
33,1993-01-01,-1.263378879726801e-09,1.2387736889515113e-09,0.0
34,1994-01-01,-1.3058218187717526e-09,1.263007404410351e-09,0.0
35,1995-01-01,-1.2936017076712315e-09,1.22808444445181e-09,0.0
36,1996-01-01,-1.3072293052397326e-09,1.2186962532648953e-09,0.0
37,1997-01-01,-1.3208596601589823e-09,1.2763409603826036e-09,0.0
38,1998-01-01,-1.2926535941751744e-09,1.3109720794548103e-09,0.0
39,1999-01-01,-1.2770471982813834e-09,1.387046236110762e-09,0.0
40,2000-01-01,-1.301798061774587e-09,1.2508099219962226e-09,0.0
41,2001-01-01,-1.2534768675982435e-09,1.3776606511523387e-09,0.0
42,2002-01-01,-1.2679330105112532e-09,1.3703108104723506e-09,0.0
43,2003-01-01,-1.2291645153006556e-09,1.2948841499821836e-09,0.0
44,2004-01-01,-1.1969645169124965e-09,1.2192276713866489e-09,0.0
45,2005-01-01,-1.2142130143960216e-09,1.2788466023968792e-09,0.0
46,2006-01-01,-1.3206911065903893e-09,1.2405927504779505e-09,0.0
47,2007-01-01,-1.2791839504820308e-09,1.275915896920415e-09,0.0
48,2008-01-01,-1.2696891021735375e-09,1.3952262155636501e-09,0.0
49,2009-01-01,-1.2674317774785119e-09,1.2056834577587355e-09,0.0
50,2010-01-01,-1.4369117530413767e-09,1.3197248022536488e-09,0.0
51,2011-01-01,-1.2321311333846134e-09,1.2884686057376816e-09,0.0
52,2012-01-01,-1.1669749125610609e-09,1.2380644195512897e-09,0.0
53,2013-01-01,-1.381010363063508e-09,1.2606757029569226e-09,0.0
54,2014-01-01,-1.3282580799514489e-09,1.2751990866326722e-09,0.0
55,2015-01-01,-1.2191201965057543e-09,1.3008525646143672e-09,0.0
56,2016-01-01,-1.1933863491338536e-09,1.2734231268141701e-09,0.0
57,2017-01-01,-1.3069036495232743e-09,1.3069315842637061e-09,0.0
58,2018-01-01,-1.2538423807867254e-09,1.2802207790779684e-09,0.0
59,2019-01-01,-1.4234740526676092e-09,1.2842698318701979e-09,0.0
60,2020-01-01,-1.256862741264593e-09,1.2687950820045587e-09,0.0
61,2021-01-01,-1.3263404272987826e-09,1.3360036980083123e-09,0.0
62,2022-01-01,-1.3039025263844394e-09,1.3422781125450163e-09,0.0
63,2023-01-01,-1.3512365463763014e-09,1.339511788997443e-09,0.0
64,2024-01-01,-1.5522551176322242e-09,1.4640963674837938e-09,0.0
65,2025-01-01,-1.842150303433799e-09,1.6691248549885073e-09,0.0
66,2026-01-01,-2.0559381739504154e-09,2.066688208268205e-09,0.0
67,2027-01-01,-2.2389410671270724e-09,2.1196685206094534e-09,0.0
68,2028-01-01,-2.6829505823396595e-09,2.626567956705052e-09,0.0
69,2029-01-01,-2.947600151296998e-09,2.9186100336466254e-09,0.0
70,2030-01-01,-3.5899063416183147e-09,3.5955010955649704e-09,0.0
