,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,217041.53843234718,247645.20174627771,232446.98796164605
1,1961-01-01,218275.91032638107,249374.85083682332,233293.88750165576
2,1962-01-01,219723.12606339116,249426.98865173367,234654.58867274295
3,1963-01-01,220018.69567345138,250793.7665296904,234980.1056873518
4,1964-01-01,219518.8924142107,249400.85950029874,234270.3417043708
5,1965-01-01,219914.63053158313,250162.2004170058,235117.24124462166
6,1966-01-01,222504.59830243423,251908.83440712045,236477.9424159491
7,1967-01-01,220970.67535708056,251248.25676400063,236803.4594295103
8,1968-01-01,221419.44253918025,250710.94461380737,236093.6954454793
9,1969-01-01,222535.4233298428,251742.2596820768,236940.5949860411
10,1970-01-01,224089.5331053443,252685.48062820252,238301.29615824152
11,1971-01-01,223262.49669914477,252749.60164382073,238626.8131730317
12,1972-01-01,221893.28155041038,253016.26395782526,237917.04919088318
13,1973-01-01,224208.4915530428,253491.16165547742,238763.9487326664
14,1974-01-01,225455.23967080962,254892.70307595315,240124.6499051919
15,1975-01-01,225579.8480755176,254926.53962780384,240450.1669203082
16,1976-01-01,224969.39153116784,254641.82636157598,239740.5292052084
17,1977-01-01,225375.35103684544,254081.16500238053,240587.55535997724
18,1978-01-01,226426.14079774823,257363.4381833267,241951.67484627484
19,1979-01-01,227605.03756744086,257388.83961846028,242280.61017516398
20,1980-01-01,226171.8451394852,256134.42266337472,241576.19393314168
21,1981-01-01,228735.68852194218,257442.64241969865,242428.45586639573
22,1982-01-01,228069.79063333475,258442.59452676482,243797.3904926987
23,1983-01-01,228923.02524241718,259254.02923657035,244131.14096159078
24,1984-01-01,227801.0866388707,257856.6701199543,243431.81215422007
25,1985-01-01,230138.9232362917,259845.47122226667,244739.56885558908
26,1986-01-01,231577.25178420544,261994.78214703343,246559.86801545488
27,1987-01-01,233522.21717386512,261946.44894598416,247349.28110355983
28,1988-01-01,232333.44675887408,261962.24478439958,247103.41319406847
29,1989-01-01,234277.42678444952,262923.59947967075,248415.91893539517
30,1990-01-01,235312.61382427803,265760.46689461457,250240.95415970843
31,1991-01-01,236104.3764087695,266236.4278277271,251032.09584418914
32,1992-01-01,235963.24384269788,266341.38406656747,250787.95653107762
33,1993-01-01,236747.3101716954,267139.358627466,252102.85189970618
34,1994-01-01,238163.44652526808,269451.27703313757,253930.2702222747
35,1995-01-01,241047.85593076563,269903.3589736624,254725.0924893864
36,1996-01-01,240086.9905589521,268267.847329038,254484.63375890075
37,1997-01-01,241132.72225731172,270285.91934508603,255805.9219066201
38,1998-01-01,243364.8191802932,272863.2259147982,257639.7155416638
39,1999-01-01,245149.4834028348,273589.3438590079,258440.88546938586
40,2000-01-01,244332.66756081767,273120.81272907206,258210.8285927877
41,2001-01-01,244830.94022962582,275025.327936023,259538.74950617203
42,2002-01-01,248852.90682571288,278292.0509824982,263716.3010220146
43,2003-01-01,252540.1384802015,281717.93597500527,266858.66838044336
44,2004-01-01,252747.35137300155,284481.01354831265,268966.11228470097
45,2005-01-01,257584.56555202586,287946.7270778473,272637.9380906588
46,2006-01-01,261678.0188176169,292087.5580100819,276815.87287275476
47,2007-01-01,265575.80275953596,293344.832245942,279958.6234974507
48,2008-01-01,266024.5208169325,296932.0719314555,282066.0931266209
49,2009-01-01,271159.10928947624,301862.9133510616,285737.94472798257
50,2010-01-01,274874.4621448338,304664.57440906606,289915.87951215944
51,2011-01-01,277488.8729669553,308658.58429166593,293058.63013892324
52,2012-01-01,280639.0871526156,310371.00204315846,295166.09976809635
53,2013-01-01,284446.95260454644,314141.98451660667,298837.9513694539
54,2014-01-01,287914.10261570744,318649.3624755575,303015.8861536354
55,2015-01-01,291139.67333818896,321662.5919090912,306158.63678039715
56,2016-01-01,293744.0013456563,323341.9381293301,308266.1064095707
57,2017-01-01,296598.7847503358,326248.3609872914,311937.95801093016
58,2018-01-01,301900.54987368267,331161.18826675974,316115.89279510686
59,2019-01-01,305158.1730609099,334224.43215481704,319258.6434218706
60,2020-01-01,306599.33100538194,336443.9239089877,321366.11305104767
61,2021-01-01,311264.8586012791,340180.3763107749,325037.9646524097
62,2022-01-01,313447.9217325789,343846.80021182005,329215.89943658136
63,2023-01-01,317489.48107581714,347646.04134840344,332358.6500633456
64,2024-01-01,319300.10312735924,348856.66719942505,334466.119692514
65,2025-01-01,324113.12129455816,353679.1798926488,338137.9712938724
66,2026-01-01,327266.9846824267,357911.75536611537,342315.9060780561
67,2027-01-01,330266.8577576647,360188.458347879,345458.65670481743
68,2028-01-01,333247.5738400729,363106.3808664545,347566.1263339957
69,2029-01-01,336982.76382813934,366856.22631262185,351237.9779353572
70,2030-01-01,339731.46856666583,370118.8458756915,355415.9127195256
