,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,9412.26670216108,24788.413780391573,16865.453878368695
1,1961-01-01,15903.447443886915,31318.028561370586,23904.335005133795
2,1962-01-01,19055.803341287246,34869.82120687384,27135.152202060483
3,1963-01-01,23441.958715556102,38757.38201412725,30513.06200110822
4,1964-01-01,25756.896727686206,42007.40706943729,34054.77867388779
5,1965-01-01,33397.86063887191,48492.81402309587,41093.70677879792
6,1966-01-01,36483.9640767266,52239.75068148312,44324.57082550779
7,1967-01-01,39464.73368601342,55964.40045156558,47710.5317015799
8,1968-01-01,43770.08272923456,58841.90791586955,51260.299451375075
9,1969-01-01,50705.8336103622,66575.77609833461,58325.66989468274
10,1970-01-01,56362.53082884303,71652.114270341,64020.86963364457
11,1971-01-01,62345.30224549715,77787.9994973634,69863.16189945098
12,1972-01-01,71219.50762216256,85920.54066347095,78393.53580288842
13,1973-01-01,83170.36910955588,97405.13415983327,90434.74178986638
14,1974-01-01,90664.41467958684,106677.26875376138,98672.84054352508
15,1975-01-01,99282.04452435554,114980.82143461189,107058.03182402473
16,1976-01-01,111150.17046825231,126481.86578406766,118816.20121204041
17,1977-01-01,126031.80436823567,141723.20660553288,134094.04595889646
18,1978-01-01,141994.35335120317,157643.4641267852,149520.89104102197
19,1979-01-01,157899.0644934271,173516.8776801071,165094.82864998822
20,1980-01-01,175154.54139500088,190696.89303989633,182689.119788733
21,1981-01-01,195521.63814997743,211399.73335476272,203819.0756609792
22,1982-01-01,219579.67638409452,235030.79921329694,227457.20197566817
23,1983-01-01,243649.28775036425,258646.0504868099,251242.42081717504
24,1984-01-01,268726.46975628426,283690.3616673413,275797.98145402654
25,1985-01-01,309556.92853274534,324521.65206777386,317086.8061864252
26,1986-01-01,346567.7752253579,361920.4683351242,354473.9879080936
27,1987-01-01,384343.1705137503,398850.36254555127,392043.3032758551
28,1988-01-01,422276.1269193135,437368.185320421,429776.4255173758
29,1989-01-01,463358.48989429686,479000.563696711,471100.3873435945
30,1990-01-01,500715.23015126656,516649.58322983386,508522.6101560629
31,1991-01-01,538531.2199051367,553595.75985671,546087.4332254421
32,1992-01-01,576225.5053785011,591631.9512702395,583816.0631685377
33,1993-01-01,607430.5236296824,622913.632912522,615056.131341695
34,1994-01-01,634875.5074509176,649588.0121208008,642422.0121231707
35,1995-01-01,657665.8192535193,673354.1463079102,665466.7105513602
36,1996-01-01,680605.2385718083,696492.4425623222,688675.215853174
37,1997-01-01,701484.8904487626,716835.2950370449,709025.3088561638
38,1998-01-01,717662.7627160345,733161.8655567304,725530.9684979188
39,1999-01-01,734659.2258806969,749920.561428686,742170.8470822483
40,2000-01-01,751375.8929430778,766392.2825927155,758968.1399901542
41,2001-01-01,772034.267488203,786758.4768636643,779298.9140748625
42,2002-01-01,788447.9909585739,803973.3987201989,795785.3075856059
43,2003-01-01,804546.9484185473,819994.7601741268,812418.7936232613
44,2004-01-01,821373.7162194845,837098.195425616,829223.7883908678
45,2005-01-01,841784.0993877582,856842.1829013332,849562.285436129
46,2006-01-01,860462.8980500028,875584.6801891148,867912.7556585677
47,2007-01-01,878946.2321585559,894120.6695536091,886410.3184076835
48,2008-01-01,898842.1194019881,913679.1776244296,906431.1702424473
49,2009-01-01,922185.5305454594,938096.2005910657,929994.3349222501
50,2010-01-01,941358.6985828023,957072.9908427062,949704.2873564177
51,2011-01-01,962102.7785456844,977362.2453598611,969561.3323174834
52,2012-01-01,982266.749120265,997355.4378808761,989582.1841521938
53,2013-01-01,1005506.1435531785,1021462.0193923884,1013145.3488320019
54,2014-01-01,1025325.9640563348,1040483.2404990555,1032855.3012660973
55,2015-01-01,1045273.1131126388,1060024.0075986905,1052712.3462271525
56,2016-01-01,1065155.4691280534,1080353.2946343059,1072733.1980619451
57,2017-01-01,1088687.689308514,1104347.7906339015,1096296.3627416708
58,2018-01-01,1108323.2552777433,1123457.4647680186,1116006.3151758388
59,2019-01-01,1128224.9683159213,1143793.8733207153,1135863.3601367432
60,2020-01-01,1148563.4356745295,1164038.1252739266,1155884.211971671
61,2021-01-01,1172113.280880661,1187281.698576898,1179447.3766513248
62,2022-01-01,1191020.3497448133,1207697.945202033,1199157.3290855389
63,2023-01-01,1209117.5836335386,1228734.3718115643,1219014.3740465818
64,2024-01-01,1226524.0588639758,1250924.819818843,1239035.225881254
65,2025-01-01,1245277.4789079623,1278671.873085649,1262598.3905611655
66,2026-01-01,1260246.677161604,1302535.3435073646,1282308.342995224
67,2027-01-01,1273318.0156470945,1328137.3233385396,1302165.387956159
68,2028-01-01,1286937.6734390403,1352931.671999027,1322186.239791055
69,2029-01-01,1304575.5065845083,1384127.9937351835,1345749.4044707452
70,2030-01-01,1317696.6196064067,1409943.4323157363,1365459.356904991
