,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-431531.4006104975,14704.74125194437,-214452.98079221754
1,1961-01-01,-361107.6348157508,67446.85190336178,-145104.42449673897
2,1962-01-01,-323351.00214232586,132363.4863604334,-101411.30523997825
3,1963-01-01,-276624.7786928223,162073.83437770157,-54045.42403762863
4,1964-01-01,-214186.9768042008,225879.45260188755,-2998.7053630603477
5,1965-01-01,-174572.8314172916,272535.04530771903,66349.85093218728
6,1966-01-01,-102902.45846533234,319277.22198812896,110042.97018872155
7,1967-01-01,-71365.57231669972,381085.1889310693,157408.8514135176
8,1968-01-01,-3645.591355662315,430624.24219507177,208455.57011054008
9,1969-01-01,64548.59031555819,501297.1564451749,277804.12646595045
10,1970-01-01,87665.95456190892,549468.0925609916,321497.24578834145
11,1971-01-01,144220.27441418506,597400.9712462462,368863.12706115993
12,1972-01-01,202455.93133394993,639805.4629472017,419909.84581853665
13,1973-01-01,270105.1068670777,723158.0242925561,489258.40219216293
14,1974-01-01,328292.83913181693,767895.8576413305,532955.8626240268
15,1975-01-01,357253.739049313,814726.0592062734,580326.085006302
16,1976-01-01,394987.2487313659,848072.8006486067,631380.2260558342
17,1977-01-01,464263.87296530535,911330.7207612781,700736.22505666
18,1978-01-01,511867.73956797284,974651.448616195,744437.1165264421
19,1979-01-01,567949.4872880065,1001072.5756694438,791810.7699466236
20,1980-01-01,617055.8903704457,1063553.826766733,842865.2666235856
21,1981-01-01,685644.5252735969,1132991.4907388093,912221.6222261623
22,1982-01-01,751452.9608636989,1167776.530417755,955922.5194849899
23,1983-01-01,777639.1313500307,1220765.957799779,1003296.1786942345
24,1984-01-01,830540.1698060256,1261998.8295560307,1054350.6753940019
25,1985-01-01,899143.6965361782,1340964.3683792015,1123707.0310160387
26,1986-01-01,947052.9373003126,1397112.579358804,1167407.9282897809
27,1987-01-01,992634.3853371263,1433734.691429445,1214781.5874949405
28,1988-01-01,1040839.4761695769,1488701.7364727845,1265836.0841723373
29,1989-01-01,1105617.2196843633,1572957.5268823917,1335192.4397796919
30,1990-01-01,1163588.5501019154,1604516.6373727631,1378893.3370387265
31,1991-01-01,1195096.5606444567,1653580.834795153,1426261.447486455
32,1992-01-01,1252331.6141437632,1725066.1985894227,1477310.3954064245
33,1993-01-01,1341898.2020737529,1766358.9251638595,1546632.5795248514
34,1994-01-01,1359790.6359449837,1802597.7591934383,1590299.3986597308
35,1995-01-01,1425545.46069527,1853130.7687962223,1632216.0615897556
36,1996-01-01,1449180.2900396893,1878063.1581711425,1677813.561992018
37,1997-01-01,1525389.204027802,1959889.6040909342,1741667.9547348912
38,1998-01-01,1548586.8889904523,2003216.480235868,1779881.9218149353
39,1999-01-01,1592310.538294209,2052489.7498312322,1821755.696786109
40,2000-01-01,1648226.2463299485,2092423.6351958532,1867306.3168369574
41,2001-01-01,1718888.347731979,2153560.436372152,1931143.7166994596
42,2002-01-01,1747723.5671218082,2187353.6896410272,1969337.1526260693
43,2003-01-01,1793521.909445019,2232135.8378355773,2011203.35050312
44,2004-01-01,1842360.6311162943,2284695.2638772377,2056744.8236709712
45,2005-01-01,1888337.8787370974,2343159.9920336837,2120573.0515904026
46,2006-01-01,1939086.665782468,2389733.22156186,2158760.9252773128
47,2007-01-01,1955708.7660590736,2416501.110536831,2200621.5609145826
48,2008-01-01,2022099.8039652687,2476273.4779126765,2246163.034013303
49,2009-01-01,2082558.6911219337,2532231.079086642,2309991.2618634454
50,2010-01-01,2133842.348912045,2574540.9116422785,2348179.1355394926
51,2011-01-01,2168047.6050140606,2626245.124823475,2390039.771165964
52,2012-01-01,2216185.5760709397,2670570.298949601,2435581.2442646855
53,2013-01-01,2267590.031605506,2727595.0926964856,2499409.4721148405
54,2014-01-01,2312084.255866098,2747504.9097973555,2537597.3457908463
55,2015-01-01,2360228.9769308995,2805291.2260434763,2579457.9814173495
56,2016-01-01,2391787.664594333,2847030.0572950216,2624999.454516067
57,2017-01-01,2467552.9756818027,2916701.012155391,2688827.6823662166
58,2018-01-01,2486067.313158788,2945834.5350381387,2727015.556042263
59,2019-01-01,2527316.9656540966,2985434.062641112,2768876.191668729
60,2020-01-01,2599659.5413007266,3032654.939459012,2814417.6647674507
61,2021-01-01,2668633.5004482754,3104227.8778689397,2878245.892617569
62,2022-01-01,2719865.796558821,3140884.783676275,2916433.7662936384
63,2023-01-01,2732484.884419042,3179664.4434222793,2958294.4019201254
64,2024-01-01,2785446.170528359,3218354.9333522217,3003835.875018847
65,2025-01-01,2844556.9243866475,3280260.6306278366,3067664.102869012
66,2026-01-01,2875126.866093014,3323652.1333229314,3105851.9765450144
67,2027-01-01,2924452.494159865,3380480.589148145,3147712.612171495
68,2028-01-01,2978432.1477028443,3396798.9053499205,3193254.0852702246
69,2029-01-01,3053295.89630012,3500322.5846786415,3257082.313120338
70,2030-01-01,3063470.183743517,3514584.9839102235,3295270.1867964584
