,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-3139.324810025483,3015.7434591734773,-38.45489234200386
1,1961-01-01,-2101.4811207095167,3957.015935490961,1088.3551276007097
2,1962-01-01,-1497.0299047646886,4853.940203875987,1601.646184606745
3,1963-01-01,-867.2435344718647,5480.145588807321,2191.182305170298
4,1964-01-01,-109.74785083829816,5751.941242068482,2857.481121955508
5,1965-01-01,990.0081179880746,7070.450215033471,3984.291210109518
6,1966-01-01,1260.092388730743,7326.520204600444,4497.582335140391
7,1967-01-01,1914.8957921202975,8077.996394865696,5087.118644356784
8,1968-01-01,2923.778598516853,8782.727494959498,5753.417649794834
9,1969-01-01,3652.8096682629066,10129.56458190793,6881.004146760852
10,1970-01-01,4328.545056055068,10531.230930476111,7395.813309231767
11,1971-01-01,4733.097212351747,10866.996981759741,7986.86758138101
12,1972-01-01,5468.622774991251,11854.922584575663,8655.683662204197
13,1973-01-01,6546.1281649041775,12882.40537287667,9785.017796551054
14,1974-01-01,7296.8169757212745,13394.61166063207,10301.876973382903
15,1975-01-01,7724.4246712799395,13764.525906283889,10894.98125989267
16,1976-01-01,8883.249043990196,15236.04553830512,12090.390546829107
17,1977-01-01,10562.629534406593,16704.03140553284,13747.760608401819
18,1978-01-01,11695.278921587325,17924.98488598038,14790.542029736782
19,1979-01-01,12563.289225090019,18876.866846119967,15909.568560749389
20,1980-01-01,15852.275684535161,21751.353728529804,18834.763677760395
21,1981-01-01,19107.325697408254,25260.33391851187,22226.658708668216
22,1982-01-01,21931.643569568434,28023.31848875951,25000.616191972196
23,1983-01-01,24735.607983149384,30848.216151022792,27850.81878495374
24,1984-01-01,27909.276942284974,33970.81292440584,30779.529120039977
25,1985-01-01,31103.647449670338,37190.21648754989,34176.05589300631
26,1986-01-01,33724.62256335386,40053.06262324078,36952.86229114352
27,1987-01-01,36702.384637183124,43146.62391106014,39805.913761647746
28,1988-01-01,39687.32173183357,45803.167845142874,42735.727928374574
29,1989-01-01,43064.7702479344,49426.37950144169,46132.25458122924
30,1990-01-01,45803.73560292712,52123.593507943275,48909.060859581004
31,1991-01-01,48525.49399150997,54917.42412605421,51762.1122271242
32,1992-01-01,51635.796763504826,57812.89629219908,54691.92629088923
33,1993-01-01,55339.11672696619,61231.248965889645,58088.04771425038
34,1994-01-01,57913.20453644557,63852.341035601465,60864.44987029545
35,1995-01-01,60855.2283475257,66887.31249301316,63716.871218960594
36,1996-01-01,63472.81083413511,69847.8511840469,66646.05526384551
37,1997-01-01,66848.25620272639,72957.55064549489,69852.83817473664
38,1998-01-01,69720.88537947829,75644.84991181847,72440.41913665055
39,1999-01-01,71887.31176620237,78264.07311790051,75103.88615727397
40,2000-01-01,74765.99031070166,81115.88561181919,77842.60184649735
41,2001-01-01,77950.26214702953,84209.74382642962,81047.50654707942
42,2002-01-01,80673.03375818442,86934.20146549118,83633.21439201916
43,2003-01-01,83220.09546588658,89395.30479310671,86295.167346639
44,2004-01-01,86072.42300938202,92204.50988742348,89033.88290205701
45,2005-01-01,89312.2587989893,95318.21348794863,92238.78746846181
46,2006-01-01,91675.612453141,98142.40510963273,94824.49511347963
47,2007-01-01,94571.96877788925,100504.30528636435,97486.44786817092
48,2008-01-01,96870.86530349155,103430.38372530958,100224.62773663587
49,2009-01-01,100204.83394025157,106632.39057074777,103428.99514845439
50,2010-01-01,102867.94090438522,108904.52186556891,106014.16721101833
51,2011-01-01,105447.91326205559,111700.64925580611,108675.58438326167
52,2012-01-01,108376.06006116039,114712.60762982134,111413.7642517255
53,2013-01-01,111449.6997126595,117587.6692189269,114618.13166354441
54,2014-01-01,114067.75222766722,120307.95522995011,117203.30372610601
55,2015-01-01,116808.8519447945,123134.8309881141,119864.72089834974
56,2016-01-01,119627.13661473057,125612.99998251602,122602.90076681523
57,2017-01-01,122705.57616083827,128739.92542683479,125807.26817863231
58,2018-01-01,125371.12124868097,131702.99517540596,128392.44024119622
59,2019-01-01,128016.70101919632,134126.77774691067,131053.85741343608
60,2020-01-01,130679.3853551622,137015.0492579541,133792.03728190443
61,2021-01-01,133730.03890827668,139750.53491741064,136996.40469371935
62,2022-01-01,136562.59114352788,142588.9794371053,139581.57675628472
63,2023-01-01,139259.06392943647,145256.74093813205,142242.99392852793
64,2024-01-01,141844.29077024493,148054.2798828865,144981.17379699097
65,2025-01-01,145041.74922391624,151344.61405708673,148185.54120881224
66,2026-01-01,147451.76475897068,153918.66027250598,150770.71327137298
67,2027-01-01,150139.23755338805,156644.2149604001,153432.1304436138
68,2028-01-01,152495.3844159649,159624.27571869086,156170.31031208165
69,2029-01-01,155710.31313903086,163128.868634317,159374.67772389724
70,2030-01-01,158146.72982186088,165666.01756723574,161959.84978646433
