,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-148.08149397566373,13401.23561622271,6583.538316123901
1,1961-01-01,940.5940600617025,15013.321447826347,7809.418630038381
2,1962-01-01,3918.16704318335,17639.758830011637,10827.244943771158
3,1963-01-01,6329.993633743675,20684.969250700346,13965.69679699614
4,1964-01-01,10387.722065326996,24000.87797685011,17225.697372134866
5,1965-01-01,11392.196392294207,25426.72278811346,18451.577728121272
6,1966-01-01,14499.443997960732,28364.00341146305,21469.40408381002
7,1967-01-01,17295.854310637093,31231.64260878674,24607.924662118585
8,1968-01-01,21073.958891627783,34842.284628138135,27867.993962340297
9,1969-01-01,22112.8683041217,36291.62201457816,29096.448723989004
10,1970-01-01,25297.65119124228,39117.991100285806,32122.560851841907
11,1971-01-01,28753.439059471115,42028.01906854455,35269.29850404486
12,1972-01-01,32541.20819807576,46396.62283482996,39178.854058872224
13,1973-01-01,34336.196186028494,47321.44028454825,41056.06897034624
14,1974-01-01,40078.71358627004,54230.43819869493,46976.071046189274
15,1975-01-01,46124.38227461925,59870.304219786995,53016.69864638305
16,1976-01-01,51683.0703431559,65777.1956634865,59184.69771374329
17,1977-01-01,56813.752434208254,70355.46656603947,63326.543654223155
18,1978-01-01,63952.7185909088,78605.86490095308,71284.88461978671
19,1979-01-01,72192.71763096921,86728.3606518324,79363.85110970178
20,1980-01-01,81813.5338293822,96567.67675309147,89172.13648727306
21,1981-01-01,89714.7030175464,104055.75560489313,96964.2421251145
22,1982-01-01,104494.8724877996,118387.82070698238,111070.33161965135
23,1983-01-01,118491.15181768719,132702.0232570931,125297.04663853694
24,1984-01-01,135515.0021714171,148850.1765442039,142031.98825514127
25,1985-01-01,149127.13915332998,163691.43935682808,156773.35781650475
26,1986-01-01,166431.19311398343,180153.89476886447,173269.74581143496
27,1987-01-01,182531.82166814565,196616.24525516713,189886.7655852657
28,1988-01-01,199906.03313936613,214029.6286030452,206625.3340810141
29,1989-01-01,214482.1387707151,228365.39246584295,221366.7098883881
30,1990-01-01,231035.02497114026,245070.4514590848,237863.10411226234
31,1991-01-01,247717.06438295968,261283.03752204444,254478.27905813916
32,1992-01-01,263950.91310002864,278877.1893530768,271215.0027259273
33,1993-01-01,275113.9428770359,288784.7192272125,282048.4232485462
34,1994-01-01,288160.56876152795,302050.5969672332,294647.5396611276
35,1995-01-01,298489.66094131966,312691.08998572413,305716.7074774393
36,1996-01-01,309537.7091363953,323998.77682342724,316907.424015656
37,1997-01-01,319130.46405263984,333252.8602556936,326072.19718600315
38,1998-01-01,330791.9252344676,344087.45001400553,337007.22539207776
39,1999-01-01,340752.4990077821,355161.8552227028,348056.111895336
40,2000-01-01,345267.28489485534,359545.78282502457,352880.0864492456
41,2001-01-01,348720.2769902181,362930.71736642206,355674.22561733227
42,2002-01-01,353265.7384282899,366896.45774452575,360255.7547427469
43,2003-01-01,358063.4341117478,372045.44552929193,364957.90939251846
44,2004-01-01,362861.80260478007,376649.096836028,369781.61273242184
45,2005-01-01,365277.9008571423,379362.81566488434,372575.4799434527
46,2006-01-01,369916.7645797711,384343.57902326965,377157.0090718784
47,2007-01-01,375019.92709758587,389130.6025457109,381859.16372463905
48,2008-01-01,379650.78242638346,393485.7937730184,386687.42317603575
49,2009-01-01,381791.7370463331,396149.43948798394,389485.8589810567
50,2010-01-01,386971.38642922667,400871.3940990457,394071.9441861874
51,2011-01-01,391319.1060870387,405871.14476925635,398778.6549156747
52,2012-01-01,397198.6430487589,411037.0939097655,403606.91436706483
53,2013-01-01,399584.473663743,413631.04402524367,406405.350172087
54,2014-01-01,404247.6866590525,418297.3105766934,410991.43537721236
55,2015-01-01,408931.08041426976,422735.5601029263,415698.1461066967
56,2016-01-01,414087.3251004976,427419.3092659884,420526.40555809473
57,2017-01-01,416054.8178698104,430449.1955482249,423324.8413631088
58,2018-01-01,420535.3366440673,434824.1497408331,427910.92656823946
59,2019-01-01,425559.063082634,439386.29230067617,432617.6372977117
60,2020-01-01,430456.45906628267,444033.9723039961,437445.896749121
61,2021-01-01,433364.03081242746,447567.8614710418,440244.33255412977
62,2022-01-01,437460.2694170154,451920.31521585654,444830.41775926517
63,2023-01-01,441844.09441789566,457249.4945141555,449537.1284887485
64,2024-01-01,446683.85655577166,463510.29107925826,454365.387940137
65,2025-01-01,447659.85321644205,466912.3239338334,457163.8237451681
66,2026-01-01,450150.8505073663,473764.08466835355,461749.9089502891
67,2027-01-01,452438.2371486309,479060.7007802506,466456.6196797639
68,2028-01-01,456309.43230714614,487082.38311571785,471284.8791311689
69,2029-01-01,456187.70449531067,491858.19399470027,474083.31493618176
70,2030-01-01,458069.3206065904,499944.47817348305,478669.40014131693
