,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,179000.39374465356,555646.2716275762,365558.03693831956
1,1961-01-01,328361.8003442389,694790.6383512625,503706.36179028044
2,1962-01-01,416904.0862537769,794666.3932087596,613759.6436250543
3,1963-01-01,518760.90672459296,895935.3743993968,708016.2272414139
4,1964-01-01,586225.6412778101,962436.1207470796,786574.017496322
5,1965-01-01,745616.1743144016,1114120.702489646,924723.8156211749
6,1966-01-01,841214.0385428737,1223097.9891390782,1034778.5667034623
7,1967-01-01,931594.1521315576,1324084.1187500735,1129195.1719519182
8,1968-01-01,1022708.3039300321,1398434.2595917603,1207912.9838388343
9,1969-01-01,1138757.296857815,1536417.551054529,1346328.2082615246
10,1970-01-01,1301702.2843047364,1687917.136837108,1498349.3595720988
11,1971-01-01,1445475.9070957291,1829708.6224959693,1634573.812229097
12,1972-01-01,1621828.5606198364,1987680.7507286994,1802341.897387455
13,1973-01-01,1860714.9234533536,2223164.4000373296,2029944.9293462306
14,1974-01-01,2039978.505783252,2415339.2915557344,2229333.1961207623
15,1975-01-01,2235190.3290757798,2600319.1742391707,2412924.7642417005
16,1976-01-01,2565113.2825410524,2926010.9590209117,2749486.427555978
17,1977-01-01,2985971.948487567,3346151.1212932467,3146345.485830009
18,1978-01-01,3320890.7774254936,3700745.905755693,3514635.58844533
19,1979-01-01,3687657.7437210185,4052308.0058055827,3867128.9924070695
20,1980-01-01,4029488.09039787,4388160.854017695,4204205.16392855
21,1981-01-01,4413394.679709904,4782390.839551811,4601580.140021348
22,1982-01-01,5027774.576089305,5388240.441376976,5207877.310709642
23,1983-01-01,5621526.188076707,5982848.496279835,5798377.7827441925
24,1984-01-01,6346075.651628446,6710341.996262412,6531693.244367518
25,1985-01-01,7185145.61335526,7577755.735391934,7387271.10962411
26,1986-01-01,8020808.923017977,8394073.112420427,8212793.74186226
27,1987-01-01,8837023.951420808,9202971.87610647,9022525.66391028
28,1988-01-01,9645552.383468265,10004282.217572391,9816558.792596893
29,1989-01-01,10475042.765329251,10852337.846383378,10672142.660405088
30,1990-01-01,11320749.666697733,11682251.628994431,11497671.278794385
31,1991-01-01,12115911.559206158,12491720.579067947,12307141.413825266
32,1992-01-01,12916284.3255202,13295065.02423511,13100912.755494561
33,1993-01-01,13095407.907797167,13469520.346878307,13294834.808713697
34,1994-01-01,13274211.304988177,13648689.644596262,13460509.431679659
35,1995-01-01,13413621.267143354,13794857.07924968,13610052.223857578
36,1996-01-01,13555396.496258922,13920254.75464588,13743896.222673306
37,1997-01-01,13736349.19510382,14123109.557028878,13937472.989437591
38,1998-01-01,13921151.867449684,14297509.141296651,14102803.269353831
39,1999-01-01,14063793.698251173,14437797.468756165,14252336.849833844
40,2000-01-01,14206759.426857546,14565707.534960505,14386171.877213696
41,2001-01-01,14381005.5726177,14765969.911292464,14579748.884113131
42,2002-01-01,14591484.22805647,14955734.129581299,14780837.16168572
43,2003-01-01,14777728.646442689,15141703.448897226,14966128.740605053
44,2004-01-01,14959774.115139373,15327837.634371953,15135729.996583171
45,2005-01-01,15180762.195546988,15549908.273328854,15365171.22174727
46,2006-01-01,15389756.266661022,15756593.962319024,15566267.971300561
47,2007-01-01,15569894.009614512,15932168.3973107,15751568.022199487
48,2008-01-01,15736799.609718833,16118119.42622668,15921169.277547162
49,2009-01-01,15966813.81204433,16331579.1841044,16150610.50207975
50,2010-01-01,16175909.650242086,16548475.064673979,16351707.249442447
51,2011-01-01,16351382.257100774,16731302.239373224,16537007.298151825
52,2012-01-01,16521782.049776323,16895916.00015875,16706608.553499246
53,2013-01-01,16751703.619234834,17115309.538877264,16936049.77803179
54,2014-01-01,16950740.53210339,17324996.54826827,17137146.525394145
55,2015-01-01,17134513.585342176,17506189.614357974,17322446.57410344
56,2016-01-01,17310637.68791802,17672828.54442231,17492047.829451345
57,2017-01-01,17541478.28800663,17898880.196876112,17721489.053983446
58,2018-01-01,17729604.50739167,18108602.74715858,17922585.80134614
59,2019-01-01,17922318.308661953,18291585.36018472,18107885.850054592
60,2020-01-01,18078395.11900601,18456643.445131425,18277487.10540334
61,2021-01-01,18305715.705680363,18699351.152343333,18506928.329935066
62,2022-01-01,18496282.475773636,18916954.73479286,18708025.07729794
63,2023-01-01,18652209.87660059,19138466.406580545,18893325.126007207
64,2024-01-01,18776162.678530328,19363091.40901064,19062926.38135432
65,2025-01-01,18953439.64391023,19684541.43844534,19292367.60588747
66,2026-01-01,19047865.916098077,19982687.661859926,19493464.353249665
67,2027-01-01,19093077.95182856,20318824.044432737,19678764.40195825
68,2028-01-01,19120387.447931953,20640953.90793425,19848365.657306843
69,2029-01-01,19205003.40392299,20992770.98598553,20077806.881838765
70,2030-01-01,19256698.7246635,21359066.926753357,20278903.62920179
