,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,533.0087236915039,1337.9024319785444,944.8601365188874
1,1961-01-01,754.7505630785769,1579.27604350009,1144.6274447719545
2,1962-01-01,1043.4441909289367,1890.1919084967872,1448.7375949713066
3,1963-01-01,1295.2873763331936,2110.717592443793,1706.8113831828052
4,1964-01-01,1508.698085930389,2325.6684612267577,1919.2110617829205
5,1965-01-01,1737.9524341164597,2506.7011109781192,2118.980061595093
6,1966-01-01,2036.5332002661041,2826.719709205475,2423.091898731597
7,1967-01-01,2308.188959550905,3098.371601990078,2681.269561482382
8,1968-01-01,2488.564673371919,3321.9593329028667,2893.7731146214796
9,1969-01-01,2660.1932697137822,3517.379471026554,3094.4100873178318
10,1970-01-01,3085.5806435775967,3891.5650580820884,3487.80442137518
11,1971-01-01,3430.6373084368884,4255.992537320214,3835.1623509116216
12,1972-01-01,3909.042088792104,4724.197208843884,4307.467846922344
13,1973-01-01,4387.1224210639,5176.641132020837,4767.8530859689945
14,1974-01-01,4937.93268188309,5731.7755938119135,5332.446747207999
15,1975-01-01,5446.870406145495,6276.855520855404,5851.004003926146
16,1976-01-01,6158.325333011447,6973.48757532948,6550.81675902379
17,1977-01-01,6814.362382688351,7633.742866108922,7239.332564716486
18,1978-01-01,7710.4869593619505,8507.517086767037,8118.696157981878
19,1979-01-01,8529.067263015431,9361.283531398754,8952.02334672649
20,1980-01-01,9549.691256729411,10365.106238361966,9966.81935681134
21,1981-01-01,10549.35729879974,11360.45594039986,10971.18138531322
22,1982-01-01,11974.620377121146,12813.692884084005,12406.134797155548
23,1983-01-01,13373.642184184855,14205.931333586439,13795.051804476334
24,1984-01-01,14742.16935631914,15525.880910474685,15138.866064678037
25,1985-01-01,16763.003147965104,17595.59288084045,17157.405602939838
26,1986-01-01,18853.48166119096,19672.34324505918,19275.318660114433
27,1987-01-01,20956.65846145544,21739.616306663534,21347.42874341394
28,1988-01-01,22979.097354729493,23806.44659359204,23373.8647171025
29,1989-01-01,25012.73241267901,25796.832329027973,25392.63834358848
30,1990-01-01,27125.520539521898,27933.59045897999,27510.78484940183
31,1991-01-01,28422.73209088727,29245.8472277308,28828.257178742268
32,1992-01-01,29705.932398771263,30534.985194938727,30100.05539847071
33,1993-01-01,30143.500450841904,30976.781007089117,30562.189225603313
34,1994-01-01,30700.48973700973,31546.908389056716,31127.94904627023
35,1995-01-01,31189.41510024541,32018.300586707883,31604.262664139056
36,1996-01-01,31645.70019708864,32451.553581016942,32034.9021723935
37,1997-01-01,32027.278229984295,32832.348422895186,32453.434116082743
38,1998-01-01,32552.014997569313,33382.354480472364,32975.711184133266
39,1999-01-01,33029.01170422638,33884.381312253914,33451.95183748308
40,2000-01-01,33448.60885610736,34305.729743253556,33882.518352201216
41,2001-01-01,33881.67691291353,34724.50435971807,34301.05025658394
42,2002-01-01,34423.449240239774,35224.295563404616,34823.464355935
43,2003-01-01,34880.51676561091,35729.86325415931,35299.84205076668
44,2004-01-01,35347.55015258472,36135.51153810805,35730.68510815941
45,2005-01-01,35740.79738701999,36549.38885302034,36149.494312865245
46,2006-01-01,36446.8557351194,37257.165274113526,36842.322532919934
47,2007-01-01,37088.14276169784,37886.77060880126,37489.114348450195
48,2008-01-01,37723.41389077067,38571.3486803167,38134.62520740447
49,2009-01-01,38333.43418105418,39180.56200435011,38768.69034463698
50,2010-01-01,39096.04534204876,39910.84757188189,39505.91171772341
51,2011-01-01,39727.668295477284,40579.470657343,40197.0966862902
52,2012-01-01,40419.66645295909,41225.7717600536,40842.60754524319
53,2013-01-01,41051.07985506401,41880.97066334806,41476.67268247565
54,2014-01-01,41801.11404846575,42666.9138308927,42213.894055560624
55,2015-01-01,42518.00974204731,43318.92258305284,42905.0790241269
56,2016-01-01,43118.08262739476,43955.796996544625,43550.58988308202
57,2017-01-01,43789.292824699434,44614.612191653425,44184.655020312435
58,2018-01-01,44503.64032892998,45368.231595385245,44921.87639339886
59,2019-01-01,45176.68583839484,46034.77116100947,45613.06136196161
60,2020-01-01,45829.89140791516,46635.40300818293,46258.57222092022
61,2021-01-01,46463.93203614157,47306.27670811817,46892.63735814913
62,2022-01-01,47147.357543598795,48103.554062614865,47629.858731236425
63,2023-01-01,47711.81904882109,48888.43775718697,48321.04369980255
64,2024-01-01,48100.83856172383,49717.7476286083,48966.55455875445
65,2025-01-01,48460.437154384825,50631.108526572454,49600.61969598946
66,2026-01-01,49028.38237621357,51644.54642865385,50337.84106907359
67,2027-01-01,49284.139242855636,52661.731240415196,51029.026037636955
68,2028-01-01,49589.39182231568,53745.31612922634,51674.53689659471
69,2029-01-01,49846.23511260624,54831.36885673804,52308.60203382458
70,2030-01-01,50222.12010490136,55841.57639206133,53045.82340691223
