,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,1113.2704507245378,2434.012884863795,1761.7478789727443
1,1961-01-01,1570.3800561168728,2903.221843518986,2228.0497416814464
2,1962-01-01,1991.8175264676197,3320.030287695142,2655.663276784726
3,1963-01-01,2458.7492825600466,3662.053421498099,3067.880304137927
4,1964-01-01,2842.811726878596,4129.491013970792,3465.017125556018
5,1965-01-01,3274.9131093042265,4621.740929058992,3931.4087624391113
6,1966-01-01,3670.258694276952,4984.573205474119,4359.111826432016
7,1967-01-01,4121.524238958305,5404.778359970461,4771.842447768275
8,1968-01-01,4550.5282209072575,5797.225098723975,5169.492863169213
9,1969-01-01,4985.825700087933,6302.006596711195,5637.414541238491
10,1970-01-01,5734.207552711011,7024.1585685022455,6340.5609218499285
11,1971-01-01,6374.941544649888,7663.738815506185,7028.310792232968
12,1972-01-01,7135.1287834937775,8416.09903245826,7777.386539728463
13,1973-01-01,7925.67796405249,9216.25387201813,8596.591547235905
14,1974-01-01,9066.014077737831,10413.129530907117,9702.974260901974
15,1975-01-01,10140.175022085608,11358.591985916713,10793.96046433961
16,1976-01-01,11223.478975253167,12504.082779479178,11871.221147998836
17,1977-01-01,12347.667481025588,13633.935948085891,13019.510228481424
18,1978-01-01,14140.01327726728,15389.98981181538,14759.57927435822
19,1979-01-01,15845.939390910044,17114.023171320496,16484.2518100066
20,1980-01-01,17543.290093823693,18825.473586546555,18194.274429722067
21,1981-01-01,19337.549938332213,20632.0697194404,19977.05904060631
22,1982-01-01,21757.46658345677,23102.66235834694,22419.19764748228
23,1983-01-01,24200.276958790906,25518.062170079313,24845.939744129348
24,1984-01-01,26782.117469638593,28020.691360208817,27397.18185825244
25,1985-01-01,30592.55100429791,31832.634231402444,31181.274117134526
26,1986-01-01,34242.84089572578,35547.7451536151,34917.61304732851
27,1987-01-01,38112.37740497372,39433.083136068104,38750.64616228244
28,1988-01-01,41921.539344125675,43223.755285376144,42568.5990713017
29,1989-01-01,45869.450333658846,47106.11192417678,46465.08912131966
30,1990-01-01,49672.32837471652,50995.0434495248,50313.518744859095
31,1991-01-01,51932.15735902502,53178.63851606321,52556.07847798184
32,1992-01-01,54170.47110727253,55439.57227960743,54783.558005169114
33,1993-01-01,55049.401428091245,56336.701295890474,55678.39234679175
34,1994-01-01,55881.199654621436,57198.79560728083,56533.36750704186
35,1995-01-01,56676.189202271315,58003.07118533023,57371.94406479662
36,1996-01-01,57568.106270180244,58863.19021826365,58195.44041661403
37,1997-01-01,58421.106603923436,59698.91781401532,59088.47581876457
38,1998-01-01,59332.36332335569,60551.3572621968,59941.65695467623
39,1999-01-01,60151.01887103366,61367.92292813814,60779.441577242804
40,2000-01-01,60967.56121802867,62254.01245944646,61602.14599584288
41,2001-01-01,61883.93196781862,63141.87563003236,62495.18139684347
42,2002-01-01,62694.93703790916,63981.604003114895,63348.37099347566
43,2003-01-01,63535.32305515441,64777.92009241256,64186.16407988069
44,2004-01-01,64314.45667079839,65639.35101502395,65009.130056321286
45,2005-01-01,65253.3004687908,66509.63244327897,65902.42773175662
46,2006-01-01,66141.55866457472,67408.4154174715,66756.78602911465
47,2007-01-01,67032.70652820746,68239.37283706508,67595.74781624122
48,2008-01-01,68148.92451537999,69458.37786586398,68751.21784495976
49,2009-01-01,69322.22919981043,70562.13471983587,69977.93054268086
50,2010-01-01,70545.78403775425,71829.1716864454,71163.87728756262
51,2011-01-01,71726.0275108388,72970.30713230146,72334.42752221698
52,2012-01-01,72827.86702284825,74196.5399402512,73489.8975509345
53,2013-01-01,74095.26225123776,75366.78493169317,74716.61024865563
54,2014-01-01,75255.6245803902,76533.07634005857,75902.5569935361
55,2015-01-01,76444.10727223962,77674.3448250385,77073.1072281902
56,2016-01-01,77515.51881842937,78906.6765544616,78228.57725690934
57,2017-01-01,78814.68329871501,80071.34184684748,79455.28995462888
58,2018-01-01,79951.10509577947,81245.82492886049,80641.23669951064
59,2019-01-01,81183.85359931289,82445.63775695767,81811.78693416185
60,2020-01-01,82302.33257921434,83591.52998694258,82967.25696288368
61,2021-01-01,83521.87259380748,84885.77107267009,84193.9696606019
62,2022-01-01,84641.77439376694,86154.86425814798,85379.91640548449
63,2023-01-01,85616.33330770438,87570.1383757717,86550.46664013837
64,2024-01-01,86458.67999419471,89121.85136171873,87705.93666885508
65,2025-01-01,87212.40869582239,90914.23247020695,88932.64936657823
66,2026-01-01,87818.48062090177,92536.0052332607,90118.59611145801
67,2027-01-01,88493.40831158291,94397.95712032895,91289.14634610979
68,2028-01-01,88961.86596843804,96070.26742356518,92444.61637483099
69,2029-01-01,89491.33087201118,98361.30570995445,93671.32907254991
70,2030-01-01,89802.23495926603,100263.31875735185,94857.27581743301
