,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,2370.7211981625555,10640.009644120892,6551.712527715088
1,1961-01-01,4860.083144029481,12617.949858783933,8789.960186737575
2,1962-01-01,7078.320127868316,14943.080206259052,11191.028877435627
3,1963-01-01,9133.541596644125,17071.09003741609,13078.00847225192
4,1964-01-01,10534.37992627917,18632.741724107233,14447.422077013363
5,1965-01-01,12770.857969302966,20555.52551442253,16685.669749295885
6,1966-01-01,15122.790198047394,23236.8067075446,19086.73845321927
7,1967-01-01,16808.874281560486,24774.246712229884,20975.390345570304
8,1968-01-01,18271.400938841358,26345.232028845632,22346.476247867293
9,1969-01-01,20946.999289776606,28828.54504721444,24853.756906453313
10,1970-01-01,23453.854063012608,31182.21178827807,27527.708033913575
11,1971-01-01,25962.136485351035,33485.10797090081,29687.570072228973
12,1972-01-01,28554.651270086037,36808.89963872979,32692.668445874857
13,1973-01-01,32679.400945607747,40610.61552116766,36571.08219515802
14,1974-01-01,37681.70077229037,45728.65524317064,41674.76499916113
15,1975-01-01,42165.178514597384,50183.77585735492,46264.358714020294
16,1976-01-01,46643.552270925524,54189.61479017192,50341.08268257267
17,1977-01-01,51180.1201072035,59254.51732193802,55294.057987296284
18,1978-01-01,59238.43326004049,67297.02350973873,63162.76083404037
19,1979-01-01,66566.8112666625,74638.76610358934,70517.37459164039
20,1980-01-01,73026.74580975,81448.22402628792,77357.65951901642
21,1981-01-01,81102.27130156376,89443.82524540514,85081.7671824519
22,1982-01-01,91871.68339134468,99835.4301220825,95745.81922499646
23,1983-01-01,102358.54201604471,109918.3795145018,105895.78217840154
24,1984-01-01,116265.17579915006,123918.0076960019,119762.43129925696
25,1985-01-01,131159.70651929497,139188.4857493743,135106.23370550844
26,1986-01-01,146729.69326262077,154373.3504801488,150577.0496168008
27,1987-01-01,161483.2070101914,169666.3362253201,165534.70810165428
28,1988-01-01,176262.60475039744,184074.36955572275,179974.8005964431
29,1989-01-01,191115.75683429625,199235.15851017795,195319.53723257425
30,1990-01-01,206762.15601368813,214952.32019259004,210791.28482121573
31,1991-01-01,221555.155724185,229820.6795977158,225744.38111273834
32,1992-01-01,235874.6505417267,244006.50327251363,240179.91141420847
33,1993-01-01,243881.31513969047,251684.6855492317,247810.00642721067
34,1994-01-01,251319.56561766536,259443.5300458588,255588.19064850447
35,1995-01-01,259028.07342639007,267225.161713331,262849.30145121703
36,1996-01-01,265307.87028413586,273608.01273586834,269592.8462638944
37,1997-01-01,273065.71429759247,280819.87180092145,276857.03372653376
38,1998-01-01,280329.5426819293,288248.675959389,284270.31014488335
39,1999-01-01,287166.75576450676,295221.6269942035,291165.1969159144
40,2000-01-01,293943.35335974017,301505.1559577452,297536.7905123248
41,2001-01-01,300796.5041879114,308708.8612981215,304790.9227589413
42,2002-01-01,308289.57431102626,316349.79297435086,312194.09760973766
43,2003-01-01,314983.6209825407,323021.91215098277,319083.18337137235
44,2004-01-01,321584.81471575715,329293.90310303494,325454.7031416826
45,2005-01-01,328606.7668964386,336717.79070528614,332708.76135995507
46,2006-01-01,336268.55520078394,343974.0390714271,340111.90956975764
47,2007-01-01,342967.50635455607,351255.8257160265,347000.9686904568
48,2008-01-01,346674.1684258174,354910.4397001863,350687.101186624
49,2009-01-01,350973.53840461356,359202.44340798573,355248.4149053353
50,2010-01-01,355897.735739385,363811.6535846542,359966.2024807093
51,2011-01-01,360238.9530344558,368312.2472082673,364169.90096692526
52,2012-01-01,363734.0216478276,371661.70804522384,367856.0334631057
53,2013-01-01,368475.2577944766,376332.84351780213,372417.34718181385
54,2014-01-01,373576.15701270127,380958.29623360076,377135.13475720555
55,2015-01-01,377490.4602961688,385387.0779431688,381338.83324342355
56,2016-01-01,381061.10426010785,388823.4257029406,385024.9657395861
57,2017-01-01,385799.66969256784,393493.5952940186,389586.27945831337
58,2018-01-01,390334.85569139716,398045.9781910483,394304.0670336874
59,2019-01-01,394557.80184339185,402380.69428386335,398507.7655199387
60,2020-01-01,398148.63479585474,405994.7592835277,402193.89801607374
61,2021-01-01,402648.01727238146,410626.84963078407,406755.21173481725
62,2022-01-01,407358.65335721115,415657.90339420806,411472.99931017874
63,2023-01-01,410907.6472320974,420621.4066258493,415676.69779640035
64,2024-01-01,414093.8527184313,424886.0519735867,419362.8302925866
65,2025-01-01,417279.8924890982,430465.1971908171,423924.1440112723
66,2026-01-01,419763.30915500596,437468.4021918999,428641.9315866738
67,2027-01-01,422029.4139485435,444045.89271956444,432845.63007291727
68,2028-01-01,424236.3187224067,450641.8155423108,436531.7625690602
69,2029-01-01,426382.5911579553,457857.8910586712,441093.0762877954
70,2030-01-01,428889.2907501209,465124.7032762844,445810.86386314954
