,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-109.1403824854897,2056.5375761711475,1002.0066679917744
1,1961-01-01,814.6920015614744,2872.645227339961,1847.7179535442417
2,1962-01-01,1010.6516910160791,3051.074420620171,2084.6627086589424
3,1963-01-01,1304.6711465085693,3326.0180161318717,2351.86488072579
4,1964-01-01,1663.1107045692152,3741.935646262674,2650.638944841438
5,1965-01-01,2480.6865339710203,4585.350981971813,3496.350240446497
6,1966-01-01,2671.111545536819,4746.219047899943,3733.2950055859405
7,1967-01-01,2949.3661175374427,5026.5637869634775,4000.9220806052617
8,1968-01-01,3226.7450386761134,5306.084561438151,4300.1210476727765
9,1969-01-01,4123.133464993607,6185.98440488155,5147.1315441728
10,1970-01-01,4375.463169976865,6513.920908968626,5407.50485165519
11,1971-01-01,4694.650718674113,6772.520025075499,5698.135575153211
12,1972-01-01,5357.127651649188,7305.095108524745,6307.780812689789
13,1973-01-01,6446.298330164528,8486.492515299513,7465.214974448031
14,1974-01-01,7025.261708670312,9043.806103334065,8014.202977817864
15,1975-01-01,7562.847303055367,9615.006959654504,8593.44839720288
16,1976-01-01,8626.704772216259,10697.805793713876,9692.94835828018
17,1977-01-01,10257.432360111015,12392.223446092794,11341.579311314816
18,1978-01-01,11280.078555530594,13400.792462854022,12380.194509785784
19,1979-01-01,12445.292964845548,14311.014212471951,13449.067124271765
20,1980-01-01,13472.45205384799,15601.775561368762,14550.570704358444
21,1981-01-01,15115.567026266437,17205.615961756754,16201.210765769778
22,1982-01-01,17674.54835312475,19757.130042410285,18711.741041016605
23,1983-01-01,20233.60402629345,22265.116174517334,21252.528732276976
24,1984-01-01,22770.45945107354,24939.072500002294,23826.433711334535
25,1985-01-01,25998.09386832114,27959.08340083311,26954.965493533815
26,1986-01-01,28372.84973195747,30584.15278116125,29468.493530823984
27,1987-01-01,31024.087967471267,33067.18381946408,32012.88460102797
28,1988-01-01,33500.00658227182,35647.93394445913,34588.84756328281
29,1989-01-01,36737.491693672855,38747.955659906846,37717.986619009345
30,1990-01-01,39203.55412264537,41290.15791680424,40232.12027060659
31,1991-01-01,41728.18214631078,43783.39009349766,42774.66594247519
32,1992-01-01,44332.5332208214,46336.324845242714,45348.783506391715
33,1993-01-01,46134.235447600346,48202.4401343004,47144.25695288975
34,1994-01-01,47349.319211522845,49346.1977477545,48328.368890370744
35,1995-01-01,48462.36640134995,50591.08881757789,49542.735402001745
36,1996-01-01,49643.34784861847,51858.69073604302,50788.67380567377
37,1997-01-01,51555.48237877871,53630.26634489051,52584.14440332799
38,1998-01-01,52721.10077361054,54838.60659147724,53768.253499743805
39,1999-01-01,54002.11909583928,55998.15199966479,54982.62001306201
40,2000-01-01,55182.08988846651,57187.8781062577,56228.55842142076
41,2001-01-01,56952.726403279856,59068.282805173025,58024.029022970855
42,2002-01-01,58207.40803428949,60242.22808375578,59208.573388629084
43,2003-01-01,59392.11692148586,61395.337243131005,60423.37517030791
44,2004-01-01,60630.378161671244,62742.83769363856,61669.89774457254
45,2005-01-01,62481.15929413321,64522.030342366605,63465.95411247145
46,2006-01-01,64240.2818168768,66169.79452268303,65183.30155159021
47,2007-01-01,65903.38773057573,67984.11645574651,66930.9064067119
48,2008-01-01,67672.73041223704,69734.22216701167,68710.16660439309
49,2009-01-01,69973.47617486563,72088.7763392703,71040.42015084754
50,2010-01-01,71757.66542781694,73758.83912349665,72757.8510404627
51,2011-01-01,73389.52119426927,75540.23952285665,74505.53934609724
52,2012-01-01,75212.05445562655,77341.03485218895,76284.79954377466
53,2013-01-01,77596.58692269165,79666.9148972018,78615.05309022953
54,2014-01-01,79239.17883139617,81329.12468101963,80332.48397983906
55,2015-01-01,81095.62567573506,83180.68453219853,82080.17228547319
56,2016-01-01,82834.96286456639,84898.18827340046,83859.43248315652
57,2017-01-01,85168.29458041178,87210.33014893276,86189.68602960544
58,2018-01-01,86883.04568079134,88929.76096984555,87907.11691922059
59,2019-01-01,88635.10296464474,90613.06860018852,89654.80522484338
60,2020-01-01,90383.6774891053,92454.27418104006,91434.06542253667
61,2021-01-01,92679.11616089717,94757.84584175122,93764.31896897999
62,2022-01-01,94479.709761184,96574.68745751938,95481.74985859868
63,2023-01-01,96132.70903712724,98356.0330995479,97229.43816423177
64,2024-01-01,97750.37241823143,100310.9663790574,99008.69836190632
65,2025-01-01,99881.14699151504,102852.48641065342,101338.9519083688
66,2026-01-01,101494.14368493787,104793.55387420382,103056.38279797568
67,2027-01-01,102788.02119863266,106839.45799714947,104804.07110360083
68,2028-01-01,103939.95849518082,109039.67647581076,106583.33130129194
69,2029-01-01,106180.37091610927,111662.76133302198,108913.58484773785
70,2030-01-01,107272.4584785201,113918.35099821864,110631.0157373594
