,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-30.469764595239987,125.37498067191368,51.89088840862719
1,1961-01-01,14.372583698883012,164.17048279380543,89.9506443964348
2,1962-01-01,28.543512806967385,177.51418748213862,107.64387422620857
3,1963-01-01,56.96529268224656,199.85940837682534,128.62428852754715
4,1964-01-01,78.11960550689278,233.74201539984696,152.914321330254
5,1965-01-01,112.5674954730373,258.61486994477565,190.97459734794194
6,1966-01-01,129.0409375470969,282.22128703428297,208.66834578674903
7,1967-01-01,154.7819412608411,309.3577716573592,229.6587748662645
8,1968-01-01,179.5903189769537,328.1166497857629,253.95882244714755
9,1969-01-01,224.53062401878472,374.449092387198,292.05500350191573
10,1970-01-01,234.43701188737666,385.4123778264824,309.8325249294056
11,1971-01-01,258.9195892205058,399.01309207338744,330.8972307045508
12,1972-01-01,285.7708721441472,437.34523250164307,360.4737687470248
13,1973-01-01,325.92971117080657,479.034361019929,403.8345136748361
14,1974-01-01,369.6032022881545,522.5302365313581,448.9091011621657
15,1975-01-01,421.44897420597005,575.2211597623525,497.27087299713503
16,1976-01-01,481.19378880587414,626.0863901376799,550.5602593147307
17,1977-01-01,548.7978063703126,696.081087944968,617.6988192252646
18,1978-01-01,610.4818181218081,761.3222387607395,685.773785074168
19,1979-01-01,681.3967089338396,835.9712748963365,757.1359352707025
20,1980-01-01,760.7573813747281,911.0558020626844,831.8688190001304
21,1981-01-01,843.7057844471043,997.4383214083931,920.5096256304759
22,1982-01-01,990.790744974206,1136.1296404165214,1061.5523582452101
23,1983-01-01,1123.6323233359885,1277.054863132944,1205.8822752075657
24,1984-01-01,1279.7430940230736,1430.8270634681903,1353.5431798839395
25,1985-01-01,1439.5251158509493,1592.52008508862,1515.3269142789434
26,1986-01-01,1586.772458552781,1729.895194942406,1656.4060788591048
27,1987-01-01,1726.7415137817998,1877.6703009721216,1800.7724277485545
28,1988-01-01,1871.1188407409868,2021.435577120104,1948.4483951394182
29,1989-01-01,2031.0702510534063,2181.9570925339285,2110.2321294949948
30,1990-01-01,2180.388529625034,2326.4298782464443,2251.311294035757
31,1991-01-01,2263.835548607064,2409.487682586998,2333.967329871797
32,1992-01-01,2343.2688105686657,2496.37059608846,2419.932984209208
33,1993-01-01,2441.2394606355856,2595.891973729867,2519.8091441231145
34,1994-01-01,2522.9050926382383,2675.3981256135476,2599.1498806005725
35,1995-01-01,2611.552542251064,2759.631721587738,2681.7778013400352
36,1996-01-01,2694.059300354243,2840.373516123151,2767.715340580775
37,1997-01-01,2791.398368314662,2941.0462012965995,2867.591500568454
38,1998-01-01,2870.4838179233698,3018.348269501521,2946.932237119422
39,1999-01-01,2958.2459262047387,3102.4344571128127,3029.5676703224167
40,2000-01-01,3039.039696779102,3189.8030695242715,3115.5191651761365
41,2001-01-01,3145.4264629397594,3289.7643384415405,3215.4093188518113
42,2002-01-01,3281.652762422342,3428.7047968704774,3351.405641556021
43,2003-01-01,3408.406006048741,3563.03042782559,3490.689148607969
44,2004-01-01,3563.906335131899,3706.3252867739657,3633.301730213694
45,2005-01-01,3721.5932946143466,3866.1577917870923,3790.0082064952785
46,2006-01-01,3848.807179259138,4000.557130504624,3926.052649060249
47,2007-01-01,3989.7131069055445,4145.330530101752,4065.3842759726517
48,2008-01-01,4134.366231651067,4282.263205639869,4208.025521536107
49,2009-01-01,4286.829478854464,4454.105991202316,4364.760740306904
50,2010-01-01,4429.164201487426,4576.000532183421,4500.805183021292
51,2011-01-01,4564.292773617904,4715.968761943906,4640.1368100833915
52,2012-01-01,4707.610143732053,4857.471631504361,4782.778055646788
53,2013-01-01,4862.964814234721,5013.575625125666,4939.513274417602
54,2014-01-01,4999.1052913250205,5150.520280398408,5075.557717131887
55,2015-01-01,5137.142743230857,5290.8256536909685,5214.8893441939945
56,2016-01-01,5283.684131012513,5438.4168175008135,5357.530589757476
57,2017-01-01,5433.577151855622,5589.5579716510365,5514.265808528199
58,2018-01-01,5577.977734326043,5726.112861822174,5650.3102512425885
59,2019-01-01,5713.8007674541395,5868.915952164379,5789.641878304516
60,2020-01-01,5862.292774713922,6005.174484796937,5932.283123868135
61,2021-01-01,6013.361011922135,6162.703892079657,6089.018342638762
62,2022-01-01,6150.609879055485,6300.093854205668,6225.062785353218
63,2023-01-01,6281.505117198266,6440.196543213498,6364.394412415302
64,2024-01-01,6422.57614084564,6590.53337368334,6507.035657978665
65,2025-01-01,6560.707290765777,6759.932221759667,6663.770876749593
66,2026-01-01,6683.208371411312,6907.946721945034,6799.815319463834
67,2027-01-01,6805.063300891015,7063.71937154622,6939.146946525806
68,2028-01-01,6929.09151788906,7226.0671854489265,7081.788192089394
69,2029-01-01,7065.209312988216,7408.702369458239,7238.523410860057
70,2030-01-01,7160.820111253181,7577.67987955466,7374.56785357458
