,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,-340.7107323214946,583.7790426073794,142.41200053422745
1,1961-01-01,-91.60767796085764,868.5786672045084,377.0543342784704
2,1962-01-01,-36.53261179139269,950.9502041712014,447.87797217624484
3,1963-01-01,87.66806031796858,1063.8313179484376,566.8661352361137
4,1964-01-01,233.69204178866633,1203.6051460237486,734.1982266830382
5,1965-01-01,498.47741016757453,1452.6027174867418,968.8405620000224
6,1966-01-01,598.2977573379902,1530.5150548301551,1039.6642014661993
7,1967-01-01,664.0496079638089,1617.961306520837,1158.664677546034
8,1968-01-01,870.7026958595662,1822.8486127523843,1326.0090820129672
9,1969-01-01,1076.2098649471507,2056.2962578491765,1560.7514375798994
10,1970-01-01,1129.7646042659728,2129.220469003733,1631.9694505445154
11,1971-01-01,1254.3528814542804,2230.5818223289516,1751.351989007364
12,1972-01-01,1416.7686450091421,2441.8032073760937,1919.2249394412652
13,1973-01-01,1693.9537672272404,2631.386530760478,2154.4096136407206
14,1974-01-01,1789.223681683716,2729.4205439314546,2225.9964749299065
15,1975-01-01,1870.136226469747,2811.9383673570724,2345.7478617172114
16,1976-01-01,2212.015631801625,3147.2197703757583,2700.212227079603
17,1977-01-01,2669.817662104255,3565.4342252886318,3122.499525563516
18,1978-01-01,2950.6656837247842,3854.828713870796,3432.8588069408306
19,1979-01-01,3294.9225788629055,4253.426784010825,3791.3826138161403
20,1980-01-01,3707.2681145984316,4660.00678613088,4198.650336565333
21,1981-01-01,4217.28495226423,5142.881334760318,4673.88565916854
22,1982-01-01,4854.86088862781,5803.634192918542,5315.997767380665
23,1983-01-01,5511.700319274831,6467.307937361202,6006.274401090776
24,1984-01-01,6327.5546611967175,7305.297250960033,6800.254404849718
25,1985-01-01,7208.26519277134,8180.2379837941,7663.27753017199
26,1986-01-01,7886.032168243146,8850.381326849334,8360.765072239588
27,1987-01-01,8650.620650097448,9603.00346482709,9106.418225416024
28,1988-01-01,9415.235805490534,10405.060924769094,9900.415306980045
29,1989-01-01,10293.17768562929,11231.095043158304,10763.439521967832
30,1990-01-01,10963.608481195457,11894.634763219923,11460.92815072291
31,1991-01-01,11725.834514297525,12697.189026967291,12206.581304839247
32,1992-01-01,12503.700151769242,13463.271247008985,13000.57838734272
33,1993-01-01,13391.123405783597,14354.184136645887,13863.543949680072
34,1994-01-01,14106.394950025238,15012.656739755743,14560.974086038974
35,1995-01-01,14614.75659654101,15571.479633023648,15086.77039426743
36,1996-01-01,15196.959098649442,16163.805293798912,15660.9106308824
37,1997-01-01,15817.650387080464,16821.935026323004,16303.163082983514
38,1998-01-01,16301.861279050374,17255.249705745606,16780.483150390588
39,1999-01-01,16772.02487843368,17713.000090254325,17250.513381404948
40,2000-01-01,17346.809084523382,18272.745221139245,17768.851013163378
41,2001-01-01,17850.549991171236,18825.624171594252,18355.46054589744
42,2002-01-01,18275.390317976544,19269.02027657151,18777.231487265053
43,2003-01-01,18760.911988719778,19692.017505401138,19247.166954131633
44,2004-01-01,19296.775459130302,20217.39869441064,19765.44573141752
45,2005-01-01,19892.381717496915,20837.96622683096,20351.99624843249
46,2006-01-01,20275.66863715115,21238.626342650517,20773.765046822264
47,2007-01-01,20773.285838621003,21725.33626968452,21243.698370708225
48,2008-01-01,21243.194317606394,22181.384794894202,21706.270177908285
49,2009-01-01,21756.380776386624,22726.925214923787,22236.96110300205
50,2010-01-01,22133.393612463842,23062.268385025734,22603.024456316314
51,2011-01-01,22510.040348293696,23474.897336359074,23017.25233512933
52,2012-01-01,23001.77675164813,23967.96399972112,23479.824142328864
53,2013-01-01,23521.33657576797,24506.800643577484,24010.51506742287
54,2014-01-01,23904.71834120646,24848.195739341678,24376.5784207362
55,2015-01-01,24292.82621439347,25296.411530535992,24790.806299549342
56,2016-01-01,24755.77338506374,25700.335161164872,25253.378106749526
57,2017-01-01,25307.58085196722,26255.507410109112,25784.069031842766
58,2018-01-01,25684.842337246566,26615.878544610823,26150.13238515702
59,2019-01-01,26083.80188750063,27037.37563300452,26564.360263968683
60,2020-01-01,26561.111318633015,27520.5462363266,27026.932071169893
61,2021-01-01,27076.999581472883,28033.266515537856,27557.622996262304
62,2022-01-01,27446.57396598374,28396.515425857095,27923.68634957723
63,2023-01-01,27790.7411220874,28828.179432956247,28337.914228390102
64,2024-01-01,28302.11186941897,29320.997028431975,28800.48603558947
65,2025-01-01,28804.941994434572,29890.063410863575,29331.176960684374
66,2026-01-01,29116.25861770542,30294.594859932575,29697.24031399729
67,2027-01-01,29419.293264514195,30750.147793908553,30111.46819280935
68,2028-01-01,29834.923429517192,31276.83384488235,30574.04000001029
69,2029-01-01,30310.73802816,31933.287592986242,31104.730925102995
70,2030-01-01,30537.54770602708,32343.115656767794,31470.794278418514
