,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,41.704554196178655,148.77210475942903,97.02560612317313
1,1961-01-01,66.9546229494726,176.0660161736719,122.51247990258443
2,1962-01-01,96.76702151347915,200.85375865498912,147.03279155646368
3,1963-01-01,119.93754760322008,231.1568264980581,174.42968908332398
4,1964-01-01,149.73575081038632,255.88296996883753,204.742237927786
5,1965-01-01,175.75587073138422,287.1748386965404,230.22911259606218
6,1966-01-01,197.0219479143441,308.1680635056171,254.74942513636267
7,1967-01-01,228.9086238772293,335.07739894146346,282.1673717879821
8,1968-01-01,261.78014482394696,362.5186612004354,312.5009697571876
9,1969-01-01,284.8431966945156,392.0146624409508,338.07278036351215
10,1970-01-01,324.51521754233266,429.05132291384894,376.36601881654786
11,1971-01-01,361.6849723136569,471.92084601140925,417.5358429700333
12,1972-01-01,403.7453045606901,513.0504699830166,461.6947137807235
13,1973-01-01,448.6592295646323,553.8349440219214,501.0658448280809
14,1974-01-01,506.59697275409474,616.3204335061829,562.7907175274568
15,1975-01-01,575.970315751093,683.3573141290298,627.3921759272764
16,1976-01-01,644.3547628481862,753.1600282658742,698.1898695395856
17,1977-01-01,711.2769675173703,813.5607914864339,764.2728064647291
18,1978-01-01,811.3194519500514,917.8277367371093,863.5254036607005
19,1979-01-01,912.1087519640275,1018.6972398467552,965.6545865571163
20,1980-01-01,1014.880126082912,1126.9872702134162,1070.7715751261085
21,1981-01-01,1116.4845457361419,1224.1643532024923,1171.267832473568
22,1982-01-01,1254.4135288068123,1359.2380421722676,1304.958087069837
23,1983-01-01,1388.7572182924107,1496.8512320394157,1441.524927366495
24,1984-01-01,1599.9829586201377,1705.001116673447,1653.191725783917
25,1985-01-01,1807.8141456168191,1912.2830578640314,1860.6942281055517
26,1986-01-01,2016.8289406760032,2120.072179823606,2066.7328578411634
27,1987-01-01,2225.337576346854,2330.312319242921,2275.6869142391406
28,1988-01-01,2430.170126409055,2537.161046158192,2487.5566219548073
29,1989-01-01,2638.2033141415764,2748.399802877316,2695.0980717871316
30,1990-01-01,2843.911579505719,2949.6355594663946,2901.17554261938
31,1991-01-01,2971.241231085687,3079.8293222027983,3025.670350481164
32,1992-01-01,3100.7941276216984,3206.6417751719505,3153.080809660511
33,1993-01-01,3210.0295788836406,3322.115510344159,3266.902035786573
34,1994-01-01,3322.4432494135717,3436.0279360636787,3379.515349097738
35,1995-01-01,3380.443979475455,3486.101923072924,3433.669615380883
36,1996-01-01,3437.1894448370845,3542.951059528566,3490.7395329813817
37,1997-01-01,3487.295435221908,3595.2485149741196,3543.0227487921575
38,1998-01-01,3540.7253520869267,3646.314139623208,3594.2661884280737
39,1999-01-01,3597.1087255701364,3700.5455438636227,3648.3400032740037
40,2000-01-01,3652.924639903521,3762.888801799176,3705.3087774326023
41,2001-01-01,3707.3646781812295,3810.3036530349564,3757.5249074536614
42,2002-01-01,3757.903971031449,3860.7536040582254,3808.701444771469
43,2003-01-01,3812.049769596505,3916.635402610478,3862.754567789906
44,2004-01-01,3866.8198770821155,3972.549960076274,3919.7276218274496
45,2005-01-01,3920.5026817910516,4025.768632197276,3971.948043452905
46,2006-01-01,3974.724945880466,4078.335464927598,4023.223837989213
47,2007-01-01,4021.1875092778473,4133.796017812193,4077.3762182255346
48,2008-01-01,4115.035632943917,4225.3858219797785,4171.268452261674
49,2009-01-01,4210.326236594541,4312.711679965367,4260.509202324212
50,2010-01-01,4298.0528185842195,4401.958225274326,4348.609199342237
51,2011-01-01,4382.384681655241,4493.612980602739,4439.585782060856
52,2012-01-01,4478.664258773007,4586.957078162411,4533.478016096851
53,2013-01-01,4570.136347543637,4678.057650576206,4622.718766159414
54,2014-01-01,4661.080847909323,4763.469696910127,4710.818763177256
55,2015-01-01,4748.6159733085415,4857.434744953556,4801.795345895844
56,2016-01-01,4840.734512287853,4948.020349142978,4895.687579932042
57,2017-01-01,4929.85312463492,5040.706608424844,4984.9283299943945
58,2018-01-01,5020.84188851539,5125.577689223919,5073.028327012421
59,2019-01-01,5110.007999350449,5216.626712137034,5164.004909730638
60,2020-01-01,5205.080989518935,5311.509042857659,5257.897143767161
61,2021-01-01,5295.211391951864,5398.687925037708,5347.137893829334
62,2022-01-01,5376.815367154204,5496.853128205452,5435.237890847488
63,2023-01-01,5457.898602043377,5601.124884296885,5526.214473566041
64,2024-01-01,5535.71522690316,5708.695308707236,5620.10670760196
65,2025-01-01,5599.677316457483,5822.938108909697,5709.347457664777
66,2026-01-01,5657.530120675854,5953.73581028547,5797.447454682514
67,2027-01-01,5718.6185684057655,6082.512574865416,5888.424037400812
68,2028-01-01,5765.818337467119,6216.600635213829,5982.316271437248
69,2029-01-01,5819.326793317438,6335.7396471139255,6071.557021499517
70,2030-01-01,5846.188207546634,6472.320961230373,6159.657018517741
