,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,325.0649467416186,2659.687295840917,1408.464444239589
1,1961-01-01,910.8046431870232,3166.8537545750173,2012.9425594524494
2,1962-01-01,1291.7500858516457,3689.365561367113,2471.4462136555794
3,1963-01-01,1700.1958878918467,4058.826729973976,2929.3755949143233
4,1964-01-01,2147.5820969405077,4593.311434839879,3386.9529524520904
5,1965-01-01,2819.65461515191,5197.008439979696,3991.431075105821
6,1966-01-01,3212.212436729832,5640.658020938547,4449.934736729437
7,1967-01-01,3830.3211942043713,6038.2536446439535,4908.833749396477
8,1968-01-01,4220.33438344465,6541.495667392216,5367.3807383424355
9,1969-01-01,4785.496506177229,7111.648841901423,5973.234090432651
10,1970-01-01,5176.983547484873,7595.352285427388,6434.843795206878
11,1971-01-01,5687.379127285418,8007.045258494349,6895.879227114349
12,1972-01-01,6377.828165797737,8838.753868067057,7560.592641289199
13,1973-01-01,7242.838873708431,9495.933411552101,8372.77430910697
14,1974-01-01,8382.833360384408,10817.687675843099,9599.020446047518
15,1975-01-01,9751.219401648794,12120.90598094181,10824.692310121218
16,1976-01-01,10842.682453881898,13306.315382530884,12052.48086959735
17,1977-01-01,12188.539208171267,14660.311465782483,13429.280354347351
18,1978-01-01,13462.923960651897,15837.951316175784,14659.572795487244
19,1979-01-01,14668.037136630546,17091.268497364585,15889.290963760233
20,1980-01-01,16675.085648319182,19104.52944423614,17885.748921957587
21,1981-01-01,18870.890174331114,21237.229861459993,20033.32374898702
22,1982-01-01,21164.513187894947,23541.273262634666,22407.43840319783
23,1983-01-01,23630.257538048878,25907.92715949158,24780.978784541534
24,1984-01-01,27047.422914463616,29362.255112579638,28193.11380502266
25,1985-01-01,30619.226903711235,32995.36290635033,31761.833095969345
26,1986-01-01,34077.05286735845,36344.636625780244,35176.47890630056
27,1987-01-01,37523.47748826479,39826.36243972373,38590.738451351936
28,1988-01-01,40941.2190785795,43272.19806721641,42004.645972682614
29,1989-01-01,44417.07442382034,46707.00705399254,45573.5537872035
30,1990-01-01,47773.0889076118,50156.49938121588,48988.3876060167
31,1991-01-01,49699.625569212745,52047.757910637905,50837.42152603222
32,1992-01-01,51473.79442925447,53864.60219657843,52686.10342232666
33,1993-01-01,53546.070476677094,55861.55073065365,54683.9002666193
34,1994-01-01,55420.32375163991,57705.15209679604,56531.915768129096
35,1995-01-01,57194.57071175385,59573.967140805165,58379.356995454924
36,1996-01-01,59011.835925412546,61451.486714981496,60226.44619905851
37,1997-01-01,61089.9210565658,63358.29310509299,62224.24304108049
38,1998-01-01,62957.96341184849,65201.45553044648,64072.25854032498
39,1999-01-01,64744.4633530919,67145.98297974277,65919.7000288595
40,2000-01-01,66585.14716625723,69035.63325953948,67767.76728551752
41,2001-01-01,68562.7551473301,71006.67776095802,69766.54486114196
42,2002-01-01,70377.55386190454,72757.80931432403,71616.4697839754
43,2003-01-01,72264.2178368131,74639.65458362909,73465.82043394283
44,2004-01-01,74133.77981294379,76483.56559725362,75315.96076829125
45,2005-01-01,76150.10317287169,78478.06408766215,77316.81710126878
46,2006-01-01,78317.07193210299,80698.99818022206,79448.29130173296
47,2007-01-01,80394.20181358373,82708.80242875003,81579.1912293284
48,2008-01-01,82975.14176818504,85302.18867207321,84152.0864907391
49,2009-01-01,85721.97467144202,88100.58832963165,86877.67790126521
50,2010-01-01,88288.61341810941,90742.1997269561,89451.49945926337
51,2011-01-01,90855.87039456898,93236.21501666543,92024.74674439536
52,2012-01-01,93371.99432926178,95838.45471604883,94597.64200580551
53,2013-01-01,96164.9922608097,98479.32977121613,97323.23341633166
54,2014-01-01,98675.85168383113,101111.70982205182,99897.05497432894
55,2015-01-01,101341.03487523075,103620.74102218798,102470.3022594609
56,2016-01-01,103851.47524669199,106170.78774755097,105043.19752087195
57,2017-01-01,106627.95542215329,108962.35302318241,107768.78893139718
58,2018-01-01,109226.09053311811,111451.29599108177,110342.61048939537
59,2019-01-01,111697.94405033051,114066.11963928015,112915.8577745255
60,2020-01-01,114289.4227767349,116568.53427575681,115488.75303593819
61,2021-01-01,117045.10084415035,119305.83102473475,118214.34444646248
62,2022-01-01,119584.42171569346,121954.60444913703,120788.16600446125
63,2023-01-01,122056.68908791748,124720.99607451905,123361.41328959301
64,2024-01-01,124547.82807586638,127465.23072424877,125934.30855100266
65,2025-01-01,127060.69340338114,130543.19271854319,128659.89996153001
66,2026-01-01,129383.87300773265,133159.5346601745,131233.7215195269
67,2027-01-01,131571.1325443245,136257.4460830459,133806.96880465743
68,2028-01-01,133584.89965706333,139365.15618204357,136379.86406606977
69,2029-01-01,135766.81373470894,142632.42321635477,139105.4554765945
70,2030-01-01,137569.2820473049,145828.08106203345,141679.27703459375
